state_fips,dem,other,gop,votes,pct_dem,pct_gop,pct_other,pct_non_dem
01,843473,32268,1434159,2309900,36.51556344430495,62.08749296506342,1.396943590631629,63.48443655569505
02,150262,13442,185769,349473,42.99674080687206,53.15689624091131,3.8463629522166234,57.00325919312794
04,1672143,52016,1661686,3385845,49.38628318780098,49.077438571464434,1.5362782407345876,50.61371681219902
05,423311,34394,759625,1217330,34.77372610549317,62.40091018869165,2.8253637058151857,65.22627389450683
06,10933242,370257,5871037,17174536,63.65960629154698,34.18454507300809,2.15584863544494,36.34039370845302
08,1803921,87939,1364202,3256062,55.4019241648347,41.89729802442337,2.700777810741933,44.5980758351653
09,1080387,28572,714973,1823932,59.23395170433986,39.19954252680473,1.5665057688554178,40.76604829566014
10,296268,7139,200603,504010,58.78216702049562,39.80139282950736,1.4164401499970238,41.21783297950438
11,614530,16490,36344,667364,92.08318099268166,5.445903584850247,2.4709154224680985,7.916819007318338
12,5297045,101680,5668731,11067456,47.86145072544223,51.21981962250403,0.9187296520537329,52.13854927455777
13,2472434,62534,2458378,4993346,49.51457399507264,49.23307938204162,1.2523466228857365,50.48542600492736
15,366070,11471,196800,574341,63.737396424772044,34.265358036427834,1.9972455388001205,36.262603575227956
16,287031,26966,554128,868125,33.063326133909285,63.83043916486682,3.1062347012239018,66.93667386609071
17,3405165,117570,2419926,5942661,57.30034070595648,40.72125265095889,1.9784066430846383,42.69965929404352
18,1241734,63865,1729394,3034993,40.913899966161374,56.98181181966482,2.1042882141738053,59.086100033838626
19,758881,31962,897467,1688310,44.94915033376572,53.157713926944695,1.8931357392895853,55.05084966623428
20,551199,29761,753370,1334330,41.30904648775041,56.46054574205781,2.230407770191782,58.69095351224959
21,772223,36623,1326347,2135193,36.16642617318435,62.1183658807424,1.7152079460732588,63.83357382681565
22,856034,36252,1255776,2148062,39.85145680152621,58.46088241400853,1.687660784465253,60.14854319847379
23,420357,24031,341949,786337,53.45761422901377,43.486316935359774,3.0560688356264554,46.54238577098623
24,1917406,56170,960681,2934257,65.34553721776926,32.74017920039042,1.9142835818403092,34.65446278223074
25,2319174,80558,1149302,3549034,65.34662671588946,32.383516190602855,2.269857093507698,34.65337328411054
26,2807309,88786,2649537,5545632,50.621985014512326,47.77700720134333,1.60100778414435,49.378014985487674
27,1716312,68310,1483750,3268372,52.51274946670698,45.39721916599457,2.0900313672984594,47.48725053329302
28,515777,18798,746783,1281358,40.25237287315488,58.280589811746594,1.4670373150985125,59.74762712684512
29,1242851,55617,1711848,3010316,41.286396511196834,56.86605658675036,1.8475469020528077,58.713603488803166
30,244783,17365,343590,605738,40.41070561860078,56.72254340985706,2.8667509715421517,59.58929438139922
31,374169,20668,555509,950346,39.371870876501816,58.453342256399246,2.17478686709893,60.628129123498184
32,703486,32000,669890,1405376,50.056781957284024,47.66624732455941,2.2769707181565644,49.943218042715976
33,424937,13856,365660,804453,52.82309842837307,45.45448895087718,1.7224126207497519,47.17690157162693
34,2506955,68641,1815124,4390720,57.09667207200641,41.340008016908385,1.5633199110851976,42.90332792799359
35,501460,20453,401815,923728,54.28654322484541,43.499276843399784,2.2141799317548023,45.71345677515459
36,3908816,101873,2919415,6930104,56.40342482594778,42.12656837473146,1.4700067993207606,43.59657517405222
37,2684302,81736,2758775,5524813,48.58629604296109,49.93426926848022,1.4794346885586898,51.41370395703891
38,114902,11322,235595,361819,31.756762359080092,65.11404873707572,3.129188903844187,68.24323764091992
39,2657494,94753,3119170,5871417,45.26154418941799,53.12465457656985,1.6138012340121644,54.73845581058201
40,503890,36529,1020280,1560699,32.28617433598664,65.37327184806296,2.340553815950417,67.71382566401337
41,1333563,71985,952542,2358090,56.55267610650993,40.39464142589978,3.0526824675902957,43.44732389349007
42,3445191,85711,3363064,6893966,49.97400625416488,48.78271810449892,1.243275641336206,50.02599374583512
44,306192,7580,199830,513602,59.61659027807524,38.90755877118859,1.4758509507361732,40.38340972192476
45,1091541,36685,1385103,2513329,43.430088142061784,55.11029395674024,1.4596179011979729,56.569911857938216
46,150471,11095,261043,422609,35.60525213613529,61.76938967225024,2.625358191614471,64.39474786386471
47,1139376,60318,1849820,3049514,37.36254367089313,60.659501809140735,1.9779545199661324,62.63745632910687
48,5235216,170805,5873085,11279106,46.41516801065617,52.0704832457466,1.514348743597232,53.58483198934383
49,560267,62273,865100,1487640,37.66146379500417,58.15251001586405,4.18602618913178,62.33853620499583
50,242820,11904,112704,367428,66.08641693066397,30.67376465593259,3.2398184134034427,33.91358306933603
51,2413973,79963,1962571,4456507,54.16737817308488,44.03832418528682,1.7942976416282976,45.83262182691512
53,2361607,105373,1577621,4044601,58.38912169581128,39.005602777628745,2.605275526559975,41.61087830418872
54,235847,13306,545051,794204,29.6960226843481,68.62858912823405,1.6753881874178422,70.3039773156519
55,1630716,56567,1610151,3297434,49.45409066565093,48.8304238993108,1.715485435038275,50.54590933434907
56,73491,9715,193559,276765,26.553574332014524,69.9362274854118,3.5101981825736637,73.44642566798548
