route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Choose the Sword,0. The Bubba Nest > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/200660125/choose-the-sword,3,Trad,5.8,1,65,38.10257,-81.09713
Poot's Corner,Entrance Walls. > Smoke Hole Canyon > Eastern WV > West Virginia,https://www.mountainproject.com/route/201562649/poots-corner,2,Trad,5.8 PG13,1,40,38.80891,-79.28054
Let It Be,Reeds Creek > Eastern WV > West Virginia,https://www.mountainproject.com/route/201563621/let-it-be,2.5,Sport,5.8,1,30,38.785,-79.288
Five Ten,South Nuttall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/201986086/five-ten,2,Trad,5.8,1,80,38.0416,-81.0376
Pink Kung Fu,Reeds Creek > Eastern WV > West Virginia,https://www.mountainproject.com/route/202147380/pink-kung-fu,2,Sport,5.8,1,35,38.785,-79.288
Vinho Verde,Carnifex Ferry > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/202218823/vinho-verde,2,Trad,5.8,1,50,38.19693,-80.94463
Konie,Carnifex Ferry > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/202234530/konie,2,Trad,5.8,1,60,38.19693,-80.94463
Rockdale,Eminence Wall > Terry Buttress > Needleseye Roped Climbing > Needleseye Boulder Park > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/200609606/rockdale,3,Trad,5.8+,1,60,37.98097,-81.12532
Solo Blues,Entrance Walls. > Smoke Hole Canyon > Eastern WV > West Virginia,https://www.mountainproject.com/route/201562905/solo-blues,2,Sport,5.8+,1,35,38.80891,-79.28054
Gone Girl Arete,Reeds Creek > Eastern WV > West Virginia,https://www.mountainproject.com/route/201563558/gone-girl-arete,2,Trad,5.8+,1,30,38.785,-79.288
The Smoke Eater,Reeds Creek > Eastern WV > West Virginia,https://www.mountainproject.com/route/201563604/the-smoke-eater,2,Sport,5.8+,1,30,38.785,-79.288
Unbearable Lightness,Reeds Creek > Eastern WV > West Virginia,https://www.mountainproject.com/route/201563661/unbearable-lightness,2,TR,5.8+,1,30,38.785,-79.288
Aperitif,Copperhead Cove > Smoke Hole Canyon > Eastern WV > West Virginia,https://www.mountainproject.com/route/201925256/aperitif,2,Sport,5.8+,1,25,38.08601,-79.60281
Unknown,Reeds Creek > Eastern WV > West Virginia,https://www.mountainproject.com/route/201991026/unknown,2,Sport,5.8+,1,75,38.785,-79.288
Sin,Reeds Creek > Eastern WV > West Virginia,https://www.mountainproject.com/route/125865616/sin,2,Trad,5.9-,1,40,38.785,-79.288
Angel’s Wing,Lower Broadway > South Peak - East Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/201083943/angels-wing,4,Trad,5.9- PG13,1,80,38.83449,-79.36664
Chimp Goes to Jugtown,2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/123788195/chimp-goes-to-jugtown,2.7,Trad,5.9,1,80,38.15323,-80.93233
Salad Day,3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/124076257/salad-day,3,Sport,5.9,1,55,38.14295,-80.91755
Pernicious Twits,Entrance Walls. > Smoke Hole Canyon > Eastern WV > West Virginia,https://www.mountainproject.com/route/124228418/pernicious-twits,2.4,Sport,5.9,1,40,38.80891,-79.28054
Fly Wheel,Carnifex Ferry > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/124373906/fly-wheel,3,Sport,5.9,1,40,38.19693,-80.94463
Street Twin Zośka,Circus Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/124483473/street-twin-zoska,2.3,Trad,5.9,1,35,38.24291,-80.8361
The Gatekeeper,Copperhead Cove > Smoke Hole Canyon > Eastern WV > West Virginia,https://www.mountainproject.com/route/125054044/the-gatekeeper,2,Sport,5.9,1,30,38.08601,-79.60281
Key Master,Copperhead Cove > Smoke Hole Canyon > Eastern WV > West Virginia,https://www.mountainproject.com/route/125054062/key-master,2.5,Sport,5.9,1,30,38.08601,-79.60281
Going on a Bender,Copperhead Cove > Smoke Hole Canyon > Eastern WV > West Virginia,https://www.mountainproject.com/route/125054087/going-on-a-bender,2.5,Sport,5.9,1,40,38.08601,-79.60281
P. Mohican,Circus Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/125568561/p-mohican,2,Trad,5.9,1,55,38.24291,-80.8361
An Ordinary Monster,Reeds Creek > Eastern WV > West Virginia,https://www.mountainproject.com/route/126326727/an-ordinary-monster,2,Trad,5.9,1,70,38.785,-79.288
Tomahawk,Long Point > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/127263754/tomahawk,3,Trad,5.9,1,70,38.22643,-80.85637
Corridor finger crack,South East Area > Devil's Nose > Eastern WV > West Virginia,https://www.mountainproject.com/route/127348592/corridor-finger-crack,3,TR,5.9,1,60,39.60816,-78.11311
New Yo-yo,0. The Bubba Nest > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/200228903/new-yo-yo,2,Trad,5.9,1,70,38.10257,-81.09713
Spacewalk,Reeds Creek > Eastern WV > West Virginia,https://www.mountainproject.com/route/200531826/spacewalk,2.8,Sport,5.9,1,75,38.785,-79.288
Leaning Tower,Reeds Creek > Eastern WV > West Virginia,https://www.mountainproject.com/route/200532572/leaning-tower,2.5,Sport,5.9,1,30,38.785,-79.288
Mud Lizard,5.10 Wall > Terry Buttress > Needleseye Roped Climbing > Needleseye Boulder Park > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/200605424/mud-lizard,2,Trad,5.9,1,50,37.98074,-81.12593
The Rash,Eminence Wall > Terry Buttress > Needleseye Roped Climbing > Needleseye Boulder Park > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/200660089/the-rash,2,Trad,5.9,1,70,37.98097,-81.12532
Rocambole,4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/201736762/rocambole,2.3,Sport,5.9,1,45,38.14336,-80.91556
Stoat's Aren't Dangerous,South Nuttall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/201938305/stoats-arent-dangerous,2,Trad,5.9,1,80,38.0416,-81.0376
Ice on the Mountain,Reeds Creek > Eastern WV > West Virginia,https://www.mountainproject.com/route/201968461/ice-on-the-mountain,2,Sport,5.9,1,55,38.785,-79.288
Stress Intolerance,South Nuttall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/201980281/stress-intolerance,2,Trad,5.9,1,80,38.0416,-81.0376
Lady Slipper,Entrance Walls. > Smoke Hole Canyon > Eastern WV > West Virginia,https://www.mountainproject.com/route/124228443/lady-slipper,2.7,Sport,5.9+,1,45,38.80891,-79.28054
Areted Development,Halfmoon Run Rocks > Eastern WV > West Virginia,https://www.mountainproject.com/route/124863937/areted-development,2,TR,5.9+,1,35,39.02745,-78.63185
Pickled Pigs Feet,Pork Palace > Smoke Hole Canyon > Eastern WV > West Virginia,https://www.mountainproject.com/route/125056411/pickled-pigs-feet,3,Trad,5.9+,1,75,38.81352,-79.28219
Umpferstandisch,Reeds Creek > Eastern WV > West Virginia,https://www.mountainproject.com/route/125865637/umpferstandisch,3,Trad,5.9+,1,50,38.785,-79.288
All in a Days Work,Piney Creek Watershed > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/126194686/all-in-a-days-work,2.7,Sport,5.9+,1,75,37.79566,-81.14446
Guacamole Toasters,Reeds Creek > Eastern WV > West Virginia,https://www.mountainproject.com/route/126901288/guacamole-toasters,3,Trad,5.9+,1,70,38.785,-79.288
