route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Shanklin's Ceiling,G. The Bozoo Roof > Main Area Bouldering > Bozoo Bouldering > Bozoo > Southern WV > West Virginia,https://www.mountainproject.com/route/106536692/shanklins-ceiling,3.9,Boulder,V5,1,15,37.4778,-80.8678
Loki,07. The Cave > Meadow Top Boulders > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/119656369/loki,3.8,Boulder,V5,1,25,38.15368,-80.93441
Windy Corner,Warm Up Boulder > First Set Boulders > Roadside > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/107035323/windy-corner,2.5,Boulder,V4-,1,NA,39.63593,-79.81293
Honky,Ronski Feint > Interp Boulders > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/115172867/honky,3.6,Boulder,V5,1,NA,38.07878,-81.07696
Hercules,Demi-God Boulder > 5th Pull Off (School Bus Area) > Darnell Hollow > University Research Forest > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/119696289/hercules,3.9,Boulder,V7,1,10,39.69077,-79.80159
Electric Avenue,Electric Avenue Boulder > Electric Avenue Area > Tilted Tree > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/107505026/electric-avenue,3.8,Boulder,V4 PG13,1,25,39.63235,-79.80456
Product of Pressure,The Diamond and The Cave Area > In-Between Area > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/116192248/product-of-pressure,3.9,Boulder,V5+,1,NA,39.63499,-79.80994
Raiders of the Lost Tomb,Tomb Raider > Tomb Raider Area > Upper Rock City > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/107495194/raiders-of-the-lost-tomb,3.8,Boulder,V5+,1,NA,39.63807,-79.81754
Achilles,Demi-God Boulder > 5th Pull Off (School Bus Area) > Darnell Hollow > University Research Forest > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/119698543/achilles,3.8,Boulder,V6,1,NA,39.69077,-79.80159
Powered by Bacon,09. Bacon Corridor > Meadow Top Boulders > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/117070742/powered-by-bacon,3.4,Boulder,V4,1,13,38.15371,-80.93504
Moonstruck (aka Lunacy),Moonchild Boulder > Sunset Wall Area > Roadside > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/120795602/moonstruck-aka-lunacy,3.9,Boulder,V10-,1,NA,39.63494,-79.81085
Humpy,Mushroom Boulder (Picnic Table) > Upper Rock City > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/114279356/humpy,3.4,Boulder,V4,1,12,39.63972,-79.81768
Elephant in the Room,Elephant in the Room Boulder > Lower Hawk's Nest > Lower New River Gorge Bouldering > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/115964096/elephant-in-the-room,3.5,Boulder,V5-,1,10,38.11669,-81.13185
Thomas Pinch-Ons,12. Friends of Coal Boulder > Meadow Top Boulders > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/117003389/thomas-pinch-ons,3,Boulder,V6-7,1,NA,38.15439,-80.93714
The Black,Black and White Boulder > Sunshine Boulders > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/114232093/the-black,3.8,Boulder,V9,1,16,38.07358,-81.08592
Geometric Equation,Mellifluous > Fern Point Bouldering > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/117938212/geometric-equation,3.8,Boulder,V8,1,10,38.05534,-81.06356
The Yoke,Ganja Bloc Aka Moon Board > Darkside East > Darnell Hollow > University Research Forest > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/120192342/the-yoke,4,Boulder,V9,1,15,39.68889,-79.80131
Blind Faith,Blind Faith Boulder > Darnell Hollow > University Research Forest > Cheat Canyon > Northern WV > West Virginia,https://www.mountainproject.com/route/119696186/blind-faith,4,Boulder,V8,1,12,39.69213,-79.80508
Bat Cave Traverse,Bat Cave Boulder > Cotton Bottom > Lower New River Gorge Bouldering > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/108578251/bat-cave-traverse,3.9,Boulder,V8,1,25,38.11765,-81.14388
Ape Rage,Ape Rage Boulder > Bozooka Area > Bozoo Bouldering > Bozoo > Southern WV > West Virginia,https://www.mountainproject.com/route/106507375/ape-rage,3.9,Boulder,V5-6,1,12,37.4769,-80.8646
Corsair,03. Corsair Boulder > Meadow Top Boulders > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/120849607/corsair,3.4,Boulder,V4,1,7,38.15325,-80.93077
Octagon Control,Fayette Station Boulders > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/116218257/octagon-control,3.6,Boulder,V10,1,10,38.068,-81.08255
F-5,Fern Creek Boulders > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/112352282/f-5,4,Boulder,V10,1,10,38.06019,-81.06851
Road to Nowhere,Road to Nowhere Corridor > Road to Nowhere area > Woodshed Boulders > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/121904274/road-to-nowhere,3.6,Boulder,V8-9,1,10,39.62904,-79.79188
Above the Coffin,The Diamond and The Cave Area > In-Between Area > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/122395513/above-the-coffin,3.9,Boulder,V8,1,15,39.63499,-79.80994
Kingbird Highway,Bird Watcher Boulders > First Area Boulders > Rhododendron Trail Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/123123958/kingbird-highway,4,Boulder,V7,1,12,39.64273,-79.82041
The White,Black and White Boulder > Sunshine Boulders > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/114232102/the-white,3.7,Boulder,V7 PG13,1,15,38.07358,-81.08592
Souvenir,Souvenir Roof Boulder > Interp Boulders > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/110536407/souvenir,4,Boulder,V6,1,35,38.0788,-81.07699
Coral,Coral Boulder > Coral Area > Tilted Tree > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/114251090/coral,3.8,Boulder,V8,1,NA,39.63325,-79.80646
Diesel Power,Tractor Trailer Boulder > Greenbrier Boulders > Furnace Road Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/120456143/diesel-power,3.8,Boulder,V8,1,NA,39.65596,-79.81936
Tomb Raider Roof (sit-start),Tomb Raider > Tomb Raider Area > Upper Rock City > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/107495199/tomb-raider-roof-sit-start,3.4,Boulder,V7,1,15,39.63807,-79.81754
Iron Pig,Pig Iron Boulder > Furnace Trail Boulders > Furnace Road Areas > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/119899684/iron-pig,3.5,Boulder,V7,1,NA,39.65123,-79.82384
The Question Mark,First Wall Right > First Wall > Tilted Tree > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/113328732/the-question-mark,3.8,Boulder,V5+,1,15,39.63359,-79.80548
Gundercling,Gundercling Boulder > Casey Jones > Lower New River Gorge Bouldering > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/121528799/gundercling,3.7,Boulder,V4,1,15,38.11359,-81.14357
Roadside Euphoria,Roadisde Euphoria Boulder > Roadside > Entryway Boulders > Bozoo Bouldering > Bozoo > Southern WV > West Virginia,https://www.mountainproject.com/route/106588708/roadside-euphoria,3.9,Boulder,V6,1,12,37.4733,-80.8574
