route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Party in My Mind,B) Party Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106039953/party-in-my-mind,3.9,Trad,5.10b,1,90,38.05569,-81.06276
Burning Calves,5) Burning Buttress > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106001499/burning-calves,3.8,Trad,5.10b,1,70,38.05238,-81.03324
Marshall's Madness - Crack of Dawn,South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/105910406/marshalls-madness-crack-of-dawn,3.8,Trad,5.10a,2,200,38.83453,-79.36677
Fairtracer,7. Seven Eleven Wall > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/107636251/fairtracer,3.8,Trad,5.10d,1,90,38.05238,-81.07272
Rapscallion's Blues,Junkyard Wall > Junkyard Area > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105976636/rapscallions-blues,3.8,Trad,5.10c,1,65,38.08299,-81.08043
Black and Tan,M) Fantasy Area > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105977657/black-and-tan,3.7,Trad,5.10a,1,80,38.05596,-81.05393
Springboard,7) Orchard Wall > Fern Buttress > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105963436/springboard,3.7,Trad,5.10b,1,70,38.06056,-81.06663
"Decameron, The",01. Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106184767/decameron-the,3.6,Sport,5.10b,1,90,38.10049,-81.09596
Kinesthetica,01. Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105987545/kinesthetica,3.6,Sport,5.10c,1,90,38.10049,-81.09596
The Rico Suave Arete aka Rico Suave,3. Rico Suave Buttress > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105963848/the-rico-suave-arete-aka-rico-suave,3.5,Sport,5.10a,1,70,38.04716,-81.06756
Wham Bam Thanks for the Jam,5) Burning Buttress > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106036569/wham-bam-thanks-for-the-jam,3.5,Trad,5.10b,1,70,38.05238,-81.03324
Angel's Arete,2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105944188/angels-arete,3.5,"Trad, TR",5.10a R,1,70,38.07178,-81.08006
Remission,G) Diamond Point > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106037625/remission,3.5,Trad,5.10b,1,90,38.05317,-81.05956
The Entertainer,Junkyard Wall > Junkyard Area > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105943593/the-entertainer,3.4,"Trad, TR",5.10a,1,65,38.08299,-81.08043
The Tree Route,2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105948012/the-tree-route,3.5,"Trad, TR",5.10a,1,85,38.07178,-81.08006
Castor,Upper Broadway > South Peak - East Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/105868616/castor,3.4,Trad,5.10a,1,80,38.8344,-79.36659
Latch Key Kids,Whippoorwill > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/107540073/latch-key-kids,3.4,Sport,5.10b,1,70,38.2338,-80.8552
Pollux,Upper Broadway > South Peak - East Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/105868626/pollux,3.4,Trad,5.10a,1,45,38.8344,-79.36659
Floaters,1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106550348/floaters,3.4,Sport,5.10d,1,80,38.14319,-80.91967
Strike A Scowl,G) Diamond Point > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105963042/strike-a-scowl,3.3,Sport,5.10b,1,75,38.05317,-81.05956
Cottonmouth,Cotton Top > Cotton Hill > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106886454/cottonmouth,3.3,Sport,5.10a,1,60,38.1151,-81.14094
Essence,Cotton Club > Cotton Hill > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/117081063/essence,3.2,Sport,5.10c,1,35,38.1138,-81.13935
"She Got the Bosch, I Got Drilled",Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106002567/she-got-the-bosch-i-got-drilled,3.2,Sport,5.10a,1,90,38.2422,-80.83949
Badass Tattoo,01. Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106418047/badass-tattoo,3.2,Sport,5.10b,1,90,38.10049,-81.09596
First Steps,7. Seven Eleven Wall > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105966939/first-steps,3.3,Sport,5.10c,1,90,38.05238,-81.07272
Baby Has a Bolt Gun,Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106818549/baby-has-a-bolt-gun,3.1,Sport,5.10c,1,80,38.2422,-80.83949
Alleluja,4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/109532099/alleluja,3.1,Sport,5.10c,1,106,38.14336,-80.91556
Orangeaid,Upper Broadway > South Peak - East Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/106145721/orangeaid,3.5,Trad,5.10b,1,80,38.8344,-79.36659
Brain Tweezers,3) The Brain > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106023161/brain-tweezers,3.1,Sport,5.10c,1,60,38.05452,-81.03346
St. Pauli Girl,12. Beer Wall > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106310004/st-pauli-girl,3,Sport,5.10b/c,1,50,38.09026,-81.08717
Triple Treat,7) Orchard Wall > Fern Buttress > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105963432/triple-treat,3.6,Trad,5.10,1,70,38.06056,-81.06663
Flight Path,The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/107094773/flight-path,3,Sport,5.10b,1,40,38.24137,-80.84379
"By the Way, I Did Your Mom",2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106892109/by-the-way-i-did-your-mom,3.1,Trad,5.10a/b,1,60,38.15323,-80.93233
Rodent's Party,3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/110967550/rodents-party,3,Sport,5.10c,1,65,38.14295,-80.91755
Cottonhead,Cotton Top > Cotton Hill > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106759846/cottonhead,2.9,Sport,5.10d,1,40,38.1151,-81.14094
Orange Oswald,Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105918472/orange-oswald,2.8,Sport,5.10a,1,70,38.2422,-80.83949
Layback and Enjoy It,01. Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106138623/layback-and-enjoy-it,3,Sport,5.10d,1,60,38.10049,-81.09596
Going Ballistic,The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106603133/going-ballistic,2.9,Sport,5.10d,1,50,38.24137,-80.84379
Can I Do It Till I Need Glasses,G) Diamond Point > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106037604/can-i-do-it-till-i-need-glasses,3.4,Trad,5.10c,1,90,38.05317,-81.05956
Strong Arming the Little Guy,Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106156848/strong-arming-the-little-guy,2.8,Sport,5.10b/c,1,70,38.2422,-80.83949
High Times,2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105951052/high-times,2.8,Trad,5.10+,1,40,38.07178,-81.08006
Premarital Bliss,B) Party Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106039930/premarital-bliss,3.1,Trad,5.10a,1,80,38.05569,-81.06276
The Green Piece,6. Butcher's Branch > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105944381/the-green-piece,2.8,Sport,5.10b,1,NA,38.05092,-81.07276
Rod Serling Crack,5) Burning Buttress > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106127068/rod-serling-crack,3.7,Trad,5.10b,1,75,38.05238,-81.03324
Biohazard,B) Party Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106023208/biohazard,2.8,Trad,5.10a,1,65,38.05569,-81.06276
Team Jesus,Junkyard Wall > Junkyard Area > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105943753/team-jesus,2.8,Trad,5.10a,1,65,38.08299,-81.08043
Chewy,The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105993756/chewy,2.7,Sport,5.10b,1,40,38.24137,-80.84379
The Undeserved,N) The Undeserved Area > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106575442/the-undeserved,3.7,Trad,5.10b/c,1,90,38.05632,-81.05225
Lady Punk,1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106960810/lady-punk,2.7,Sport,5.10c,1,80,38.14319,-80.91967
King Lichen Me,4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/109023567/king-lichen-me,2.7,Sport,5.10a,1,55,38.14336,-80.91556
With a Little Help from My Friends,E) Kaymoor Slabs > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106046077/with-a-little-help-from-my-friends,2.8,Sport,5.10a,1,80,38.05426,-81.06106
Low Voltage,6. Butcher's Branch > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105966917/low-voltage,2.7,Sport,5.10b,1,70,38.05092,-81.07276
Orange Express,Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/107260051/orange-express,2.8,Sport,5.10b,1,75,38.2422,-80.83949
Zeitgeist,01. Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106138634/zeitgeist,2.6,Sport,5.10a,1,85,38.10049,-81.09596
Springer,6. Butcher's Branch > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105966922/springer,2.6,Sport,5.10b,1,75,38.05092,-81.07276
The Good Book,01. Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106875873/the-good-book,2.5,Sport,5.10a,1,60,38.10049,-81.09596
Sunshine,Southwest Corner > South Peak - West Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/105910397/sunshine,3.1,Trad,5.10a PG13,1,100,38.83453,-79.36677
Frog Hunt,3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/112305851/frog-hunt,2.6,Sport,5.10,1,60,38.14295,-80.91755
