route_id,route,location,url,avg_stars,rating,rating_simple,rating_int,pitches,length,x,y,region_1,region_2,region_3,region_4,x_diff,y_diff,description,protection,text,bad_tags,feature_tags,other_tags,skill,good_tags,bad_ind,good_ind,fun_ind,pretty_ind,boulder_ind,rope_ind,trad_ind,sport_ind,tr_ind
118750600,Chrome Dome,3. Piedmont Region > Bold Moon preserve boulder,https://www.mountainproject.com/route/118750600/chrome-dome,4,V2,v2,2,1,-20,-79.65761,36.17114,3. Piedmont Region,Bold Moon preserve boulder,-,NA,0,0,Start on the lowest shelf on the left side of the boulder.  Work through the low shelf.  Up and left.  You can exit direct.  But left felt more classic,Crashpad,chrome dome: start on the lowest shelf on the left side of the boulder.  work through the low shelf.  up and left.  you can exit direct.  but left felt more classic,-,-,-,-,classic,0,1,0,0,1,0,0,0,0
118750549,Straight to the Dome.,3. Piedmont Region > Bold Moon preserve boulder,https://www.mountainproject.com/route/118750549/straight-to-the-dome,2.7,V2-,v2,2,1,20,-79.65761,36.17114,3. Piedmont Region,Bold Moon preserve boulder,-,NA,0,0,work hard not to dab on the ground.,"Crash Pad, and Rug/scratchpad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0
123772163,"Today, Today",3. Piedmont Region > Bold Moon preserve boulder,https://www.mountainproject.com/route/123772163/today-today,2,V1+,v1,1,1,15,-79.65761,36.17114,3. Piedmont Region,Bold Moon preserve boulder,-,NA,0,0,Crux is the start for sure. Start with the right hand in the triangular hole and left hand on the ledge to the left of it with the left foot underneath on the little dihedral chip. Heel hook and reach the left hand to a small crimp then reach the right to a ledge to the right of the crimp. Then use what you got to top out from there.,Crash Pad,"today, today: crux is the start for sure. start with the right hand in the triangular hole and left hand on the ledge to the left of it with the left foot underneath on the little dihedral chip. heel hook and reach the left hand to a small crimp then reach the right to a ledge to the right of the crimp. then use what you got to top out from there.",-,"crimp, crux, dihedral, ledge",-,heel hook,-,0,0,0,0,1,0,0,0,0
118750669,Dome Pincher,3. Piedmont Region > Bold Moon preserve boulder,https://www.mountainproject.com/route/118750669/dome-pincher,4,V4,v4,4,1,20,-79.65761,36.17114,3. Piedmont Region,Bold Moon preserve boulder,-,NA,0,0,Pinch Start hold.,Crashpad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0
118763859,Dome Pincher Direct,3. Piedmont Region > Bold Moon preserve boulder,https://www.mountainproject.com/route/118763859/dome-pincher-direct,3,V5,v5,5,1,12,-79.65761,36.17114,3. Piedmont Region,Bold Moon preserve boulder,-,NA,0,0,Start on the good pinch under the roof (same start as Dome Pincher). Move right to a good undercling in the roof before making moves directly up the face.  Finding a way to get your feet out of the roof is the crux.,-,dome pincher direct: start on the good pinch under the roof (same start as dome pincher). move right to a good undercling in the roof before making moves directly up the face.  finding a way to get your feet out of the roof is the crux.,-,"crux, face, roof",-,-,good,0,1,0,0,1,0,0,0,0
119198369,Life is a Highway,3. Piedmont Region > Cedar Mountain Boulders,https://www.mountainproject.com/route/119198369/life-is-a-highway,3,V1-,v1,1,1,7,-79.93089,36.43697,3. Piedmont Region,Cedar Mountain Boulders,-,NA,0,0,"Sit start on the lower right of the boulder and traverse left utilizing two pockets, then a rail to a sloper finish.",pad(s),"life is a highway: sit start on the lower right of the boulder and traverse left utilizing two pockets, then a rail to a sloper finish.",-,"pocket, sloper, traverse",-,-,-,0,0,0,0,1,0,0,0,0
126224989,Kung Fu Panda (Eliminate),3. Piedmont Region > Clark's Creek,https://www.mountainproject.com/route/126224989/kung-fu-panda-eliminate,2,V3+,v3,3,1,10,-80.77886,35.32912,3. Piedmont Region,Clark's Creek,-,NA,0,0,Eliminate start - avoid placing your feet on the angled block below the boulder or the wall to the left. Start with a right heal. Left hand on a diagonal crimp. Right hand on the angled portion just above the roof (this rock is too small for me to call it a dihedral). First move is a throw to a crimp above where you'll likely blow the heal. A few more crimps lead to the top out.,Bring a pad if you want,kung fu panda (eliminate): eliminate start - avoid placing your feet on the angled block below the boulder or the wall to the left. start with a right heal. left hand on a diagonal crimp. right hand on the angled portion just above the roof (this rock is too small for me to call it a dihedral). first move is a throw to a crimp above where you'll likely blow the heal. a few more crimps lead to the top out.,-,"crimp, dihedral, roof",-,-,-,0,0,0,0,1,0,0,0,0
116166090,Eye Sockets,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Eye Sockets,https://www.mountainproject.com/route/116166090/eye-sockets,2.7,V3,v3,3,1,8,-81.36216,35.17488,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,"Sit start on obvious big crimp, move up to the eye sockets and top out.",-,"eye sockets: sit start on obvious big crimp, move up to the eye sockets and top out.",-,crimp,-,-,-,0,0,0,0,1,0,0,0,0
116166115,Oedipus Face,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Eye Sockets,https://www.mountainproject.com/route/116166115/oedipus-face,2,V5-6,v6,6,1,8,-81.36216,35.17488,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,Start on low small crimps staying on left side of the face,-,oedipus face: start on low small crimps staying on left side of the face,-,"crimp, face",-,-,-,0,0,0,0,1,0,0,0,0
202162866,Roman’s Variation,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Eye Sockets,https://www.mountainproject.com/route/202162866/romans-variation,2,V7,v7,7,1,NA,-81.36216,35.17488,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,"NOTE: This climb is an eliminate, but a pretty cool one IMO. The deep pocket feature on “Eye Sockets” (and everything else to the right of it) is off.Start on a good left hand crimp and thin right hand crimp, both at chest height. Move through  the shallow two finger pocket and up to the good sharp slot, or just huck to the lip!",-,"roman’s variation: note: this climb is an eliminate, but a pretty cool one imo. the deep pocket feature on “eye sockets” (and everything else to the right of it) is off.start on a good left hand crimp and thin right hand crimp, both at chest height. move through  the shallow two finger pocket and up to the good sharp slot, or just huck to the lip!",-,"crimp, pocket",thin,-,"cool, good",0,1,0,0,1,0,0,0,0
127313588,Unknown (Its),3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > His & Hers Boulder,https://www.mountainproject.com/route/127313588/unknown-its,2,V3,v3,3,1,8,-81.36227,35.17505,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,-1.0999999999228294e-4,1.699999999971169e-4,"Stand start on cool right hand sidepull with a thumb catch and left hand sloper crimp jug thingy. This is below that big jug shelf just to the left of the arete. Go to jug and top out straight up, slightly left of arete. Also, I just named this line because, while it's probably been done before, I haven't found it anywhere else and I thought it was quite fun and wanted to share the line with other people.",Pad,"unknown (its): stand start on cool right hand sidepull with a thumb catch and left hand sloper crimp jug thingy. this is below that big jug shelf just to the left of the arete. go to jug and top out straight up, slightly left of arete. also, i just named this line because, while it's probably been done before, i haven't found it anywhere else and i thought it was quite fun and wanted to share the line with other people.",-,"arete, crimp, jug, sloper",thin,-,"cool, fun",0,1,1,0,1,0,0,0,0
