route_id,route,location,url,avg_stars,route_type,rating,pitches,length,y,x
112038837,Men Are From Moore's,The Pit Area > Central Area > Sentinel Buttress Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/112038837/men-are-from-moores,2.7,Boulder,V3,1,10,35.44931,-82.2116
111808713,Air Jesus,Hound Ears > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/111808713/air-jesus,3.6,Boulder,V3,1,15,35.6037,-79.2773
107597355,The Horn,Classic Boulder > Blowing Rock Boulders > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/107597355/the-horn,3.5,Boulder,V2,1,20,36.14179,-81.70671
107508292,Carolina Bamboo,Front Door Boulder > 107 Boulders > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/107508292/carolina-bamboo,3.4,Boulder,V3,1,15,35.19565,-83.13872
107704042,Y-Axis,Y-Axis Boulder > Bethlehem > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/107704042/y-axis,2.6,Boulder,V1-,1,10,35.17508,-81.36241
118750600,Chrome Dome,Bold Moon preserve boulder > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/118750600/chrome-dome,4,Boulder,V2,1,-20,36.17114,-79.65761
120595649,The Harvest,The Cluster > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/120595649/the-harvest,3.5,Boulder,V3+,1,20,35.4501,-82.2195
113663169,Monkey's Brain,Mushroom Boulder > Blowing Rock Boulders > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/113663169/monkeys-brain,3.1,Boulder,V3,1,NA,36.00765,-81.83629
106650472,Come Out and Play,Come Out & Play Blocks > East Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106650472/come-out-and-play,2.5,Boulder,V2,1,NA,35.44897,-82.2143
118912553,Rona,Lower Tier > Eagle Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/118912553/rona,4,Boulder,V1,1,12,35.4736,-82.23673
118723716,Gnarcissus,Carrboro High School Retaining Wall > Carrboro/University Lake boulders > 4. Eastern Region > North Carolina,https://www.mountainproject.com/route/118723716/gnarcissus,2.5,"TR, Boulder",5.4 V0- PG13,1,20,35.89306,-79.08592
115350360,Jenga,Jenga Boulder > The Valley Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/115350360/jenga,4,Boulder,V2-3,1,20,36.40027,-80.28447
118715674,Crux #3 (The Finger Crack),NCSU Traverse Wall > NC States Campus > Raleigh area climbing > 4. Eastern Region > North Carolina,https://www.mountainproject.com/route/118715674/crux-3-the-finger-crack,4,Boulder,V2,1,NA,35.78376,-78.67237
120619399,Water You Talkin Bout,Creek Bed Boulder > Northside Boulders > Looking Glass Boulders > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/120619399/water-you-talkin-bout,2.5,Boulder,V3-,1,10,35.30752,-82.78843
121812497,Beep Bops Big Birthday,Beep Bop Boulder > Looking Glass Boulders > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/121812497/beep-bops-big-birthday,4,Boulder,V3-4,1,12,35.30446,-82.79644
118912604,Rona Direct,Lower Tier > Eagle Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/118912604/rona-direct,4,Boulder,V2,1,12,35.4736,-82.23673
121812511,Slurpee Slab,Beep Bop Boulder > Looking Glass Boulders > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/121812511/slurpee-slab,4,Boulder,V2-3,1,8,35.30446,-82.79644
121966021,Trad Problem,Trad Boulder > Weaver Knob Boulders > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/121966021/trad-problem,4,Boulder,V0 R,1,40,35.96517,-82.48083
120407530,No Fault Line,Tatanka Boulder > Buffalo Creek Park > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/120407530/no-fault-line,3.5,Boulder,V2,1,NA,35.48153,-82.18871
