state,crag,region_1,region_2,example_location,x,y,n,n_boulder,n_routes,mean_rating,median_rating
Utah,Utah > Southwest Utah > 07,Southwest Utah,Saint George,8 Mile,-113.58656,37.4463,1,0,1,3,3
Utah,Utah > Southwest Utah > 08,Southwest Utah,Saint George,Anasazi Boulders,-113.8035775,37.1343625,4,1,3,2.575,2.15
Utah,Utah > Southwest Utah > 09,Southwest Utah,Saint George,Bird’s Boulders,-113.60684571428571,37.14829642857143,14,5,9,2.2214285714285715,2
Utah,Utah > Southwest Utah > 10,Southwest Utah,Saint George,Browse,-113.32363,37.34934,1,1,0,2,2
Utah,Utah > Southwest Utah > 11,Southwest Utah,Saint George,Chuckwalla Wall,-113.5535537037037,37.23704,27,18,9,2.6259259259259258,2.6
Utah,Utah > Southwest Utah > 12,Southwest Utah,Saint George,Crawdad Canyon / Veyo,-113.688227,37.335266,10,0,10,2.3,2.3
Utah,Utah > Southwest Utah > 13,Southwest Utah,Saint George,Garth Rocks,-113.58180172839506,37.06011049382716,81,73,8,2.466666666666667,2.4
Utah,Utah > Southwest Utah > 14,Southwest Utah,Saint George,Pine Valley,-113.535175,37.406215,4,0,4,1.975,2
Utah,Utah > Southwest Utah > 15,Southwest Utah,Saint George,Pioneer Park,-113.62259739130435,37.185497391304345,23,12,11,2.6652173913043478,2.8
Utah,Utah > Southwest Utah > 16,Southwest Utah,Saint George,Schoolyard Boulders,-113.74531962962963,37.09093,27,4,23,2.4185185185185185,2.4
Utah,Utah > Southwest Utah > 17,Southwest Utah,Zion National Park,East Side,-113.10735666666666,37.39060666666666,3,1,2,2.4333333333333336,2.5
Utah,Utah > Southwest Utah > 18,Southwest Utah,Zion National Park,Mount Carmel Tunnel,-112.99456,37.23461833333333,6,4,2,2.5833333333333335,2.55
Virginia,Virginia > Southwest Virginia (Appalachia) > 00,Southwest Virginia (Appalachia),Appalachia,Ben's Branch,-82.75722,36.90322,2,0,2,2,2
Virginia,Virginia > Southwest Virginia (Appalachia) > 01,Southwest Virginia (Appalachia),Atkins Bouldering,(1) Roadside Boulders,-81.45,36.911,3,3,0,2.6666666666666665,3
Virginia,Virginia > Southwest Virginia (Appalachia) > 02,Southwest Virginia (Appalachia),Blacksburg Vicinity,Cascades Bouldering,-80.59171222222223,37.357865,18,18,0,2.3055555555555554,2
Virginia,Virginia > Southwest Virginia (Appalachia) > 03,Southwest Virginia (Appalachia),Blacksburg Vicinity,Mill Creek,-80.79532705882353,37.31174294117647,17,17,0,2.6941176470588237,2.5
Virginia,Virginia > Southwest Virginia (Appalachia) > 04,Southwest Virginia (Appalachia),Bluefield Boulders,- Private Property- Old House Boulders,-81.53778,36.6584625,16,16,0,2.5625,2
Virginia,Virginia > Southwest Virginia (Appalachia) > 05,Southwest Virginia (Appalachia),Breaks Interstate Park,Breaks Bouldering,-82.3447075862069,37.234445862068966,29,1,28,2.5,2.4
Virginia,Virginia > Southwest Virginia (Appalachia) > 06,Southwest Virginia (Appalachia),Burkes Garden,North Ridge,-81.30272,37.082586666666664,3,3,0,2.3333333333333335,2
Virginia,Virginia > Southwest Virginia (Appalachia) > 07,Southwest Virginia (Appalachia),Devil's Marbleyard,Californication Boulder,-79.471952,37.580972,5,5,0,2.34,2
Virginia,Virginia > Southwest Virginia (Appalachia) > 08,Southwest Virginia (Appalachia),Grayson County Rec Park,Nature Loop Area,-81.12645499999999,36.6289,4,4,0,2.25,2
Virginia,Virginia > Southwest Virginia (Appalachia) > 09,Southwest Virginia (Appalachia),Grayson Highlands State Park,Boneyard Area,-81.49094394957983,36.619162773109245,119,119,0,2.3252100840336136,2
Virginia,Virginia > Southwest Virginia (Appalachia) > 10,Southwest Virginia (Appalachia),Grayson Highlands State Park,Picnic Area,-81.38134,36.92023,1,1,0,2,2
Virginia,Virginia > Southwest Virginia (Appalachia) > 11,Southwest Virginia (Appalachia),Grayson Highlands State Park,Picnic Area,-81.49425727272728,36.61858272727273,44,44,0,2.4704545454545452,2
Virginia,Virginia > Southwest Virginia (Appalachia) > 12,Southwest Virginia (Appalachia),Guest River Gorge,(1) Mile One,-82.424592,36.90453622222222,45,27,18,2.591111111111111,2.3
Virginia,Virginia > Southwest Virginia (Appalachia) > 13,Southwest Virginia (Appalachia),Guest River Gorge,(2) Mile Two,-81.88869,36.37206,1,1,0,4,4
Virginia,Virginia > Southwest Virginia (Appalachia) > 14,Southwest Virginia (Appalachia),Guest River Gorge,(2) Mile Two,-82.4187505,36.903648,40,28,12,2.3975,2
Virginia,Virginia > Southwest Virginia (Appalachia) > 15,Southwest Virginia (Appalachia),Harkening Hill,Herald Cracks,-79.61796806451613,37.45729322580645,31,31,0,2.403225806451613,2
Virginia,Virginia > Southwest Virginia (Appalachia) > 16,Southwest Virginia (Appalachia),High Knob Landform,HKL East,-82.65210910714286,36.89873142857143,56,51,5,2.575,2.3
Virginia,Virginia > Southwest Virginia (Appalachia) > 17,Southwest Virginia (Appalachia),High Knob Landform,HKL West,-82.9039975,36.8582325,4,4,0,2.25,2
