state_name,county_name,county_fips,sqmi_land,sqmi_water,x,y
Illinois,Massac,17127,237.15092564966,4.936165034628,-88.70994272177397,37.22069643494265
Minnesota,Carlton,27017,861.190459606634,13.966641778002,-92.67595425243798,46.592244405228016
North Carolina,Vance,37181,252.395449217062,16.28990399885,-78.40671281858891,36.36871569139843
Tennessee,Henry,47079,561.902102408924,31.499064484072,-88.30095982653312,36.33169046919051
California,Glenn,06021,1313.966997764498,13.009067505088,-122.3911833378496,39.5978313982555
Illinois,Kendall,17093,320.237929708642,1.98322257555,-88.42850879925415,41.590984369777914
Iowa,Iowa,19095,586.45484133238,1.037397000394,-92.06432552919624,41.68633459721675
Louisiana,Allen,22003,762.08381097964,4.037720738606,-92.82477487762264,30.653808010440084
Indiana,Greene,18055,542.467114221206,3.443882735138,-86.96221641525499,39.036380448414754
New Hampshire,Belknap,33001,401.847089752424,68.162932796316,-71.41708403454895,43.51611863103297
South Dakota,Hughes,46065,741.5267281401959,59.198417718622,-99.99635721465249,44.391263789716184
Wisconsin,Dodge,55027,875.698591292842,31.402161376316,-88.7092583275531,43.41576908881075
Mississippi,Sharkey,28125,431.719829291768,3.400192977226,-90.81599542485887,32.880938903829694
Indiana,Miami,18103,373.842085433308,3.546201309546,-86.04520103024274,40.76923309518374
Kansas,Stevens,20189,727.259380085942,0.179512719472,-101.31194309565265,37.192278418237265
Tennessee,Fayette,47047,704.775008495484,1.45739412277,-89.41395599704963,35.196093624505124
Alabama,Chambers,01017,596.5540650141401,6.559382244358001,-85.39069118947279,32.91358934783065
Indiana,Porter,18127,418.112830329808,103.714601864992,-87.06796521837109,41.45980948260324
Massachusetts,Franklin,25011,699.207522289126,25.327610116071998,-72.5828792985483,42.583694224833494
Montana,Liberty,30051,1429.987202418046,17.147357776042,-111.02448450105369,48.55985403086398
Texas,Kleberg,48273,881.305785773288,208.897266623218,-97.69892081722008,27.424519566663363
Florida,Bradford,12007,293.965915644978,6.524654299968,-82.1661276381545,29.950762090723476
Illinois,Fulton,17057,865.683091899272,16.960426492742,-90.20839370375928,40.47281059152784
Minnesota,Kanabec,27065,521.609463716128,12.066529974563998,-93.29293390952554,45.945757576423844
Kansas,Grant,20067,574.80779457843,0.336384417664,-101.30797471463922,37.56233881316922
South Dakota,Davison,46035,435.633084645246,1.314505880712,-98.14447400435418,43.67480708002512
Texas,Armstrong,48011,909.12255880367,4.704140126544,-101.35750561017319,34.96511646565456
Virginia,Portsmouth,51740,33.30060444691,13.38162929405,-76.36506540956178,36.863207163144374
Puerto Rico,Coamo,72043,78.012805242742,0.014695428222,-66.36053235603129,18.09840774583911
Nebraska,Richardson,31147,551.840647224804,2.73267937622,-95.71757706624935,40.12490693223773
Michigan,Clinton,26037,567.348944095546,7.21547031498,-84.60144695655507,42.944022419487574
Minnesota,Wadena,27159,536.34694462356,6.953651073862001,-94.96960260063634,46.58575442417475
Texas,Gillespie,48171,1058.201839095314,3.4751500473020003,-98.94676028333426,30.318372094105722
Georgia,Habersham,13137,276.86656231669804,2.190115718352,-83.53108658987443,34.63402772254724
Iowa,Pottawattamie,19155,951.26835273297,7.871535219482,-95.5390650193055,41.33659594678738
Massachusetts,Nantucket,25019,46.192208140538,257.463015959248,-70.08776140570735,41.29421893183694
Minnesota,Clay,27027,1045.175447579588,7.453078257984,-96.4875683580691,46.89283909498998
