route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Men in Granite,Main Wall > Little Bearwallow Falls > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/125422970/men-in-granite,3.3,Sport,5.8,2,190,35.46771,-82.3394
Dichotomy,Hidden Wall > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/126413777/dichotomy,2,Trad,5.8,2,380,35.2948,-82.78819
Outshine,Starshine Area > North Face > Whiteside Mountain > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/126736527/outshine,3,Trad,5.8,1,110,35.08798,-83.13864
Rain and Shine,Starshine Area > North Face > Whiteside Mountain > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/126736577/rain-and-shine,3,Trad,5.8,1,120,35.08798,-83.13864
Shoeshine,Starshine Area > North Face > Whiteside Mountain > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/126736619/shoeshine,2.5,Trad,5.8,1,100,35.08798,-83.13864
Raggedy Anne,Cedar Rock - North > Cedar Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/127011089/raggedy-anne,2,Trad,5.8,2,180,35.2599,-82.80602
Under the Weather,Underlook > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/127245223/under-the-weather,2,Trad,5.8,1,150,35.16955,-83.02227
Line Up,Heart Wall > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/127262599/line-up,2,Trad,5.8,2,250,35.14941,-83.02957
Sneaky Pete,Woody Wall > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200699185/sneaky-pete,3,Trad,5.8,1,165,35.16807,-83.0312
Cold Start,Woody Wall > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200699228/cold-start,3,Trad,5.8,1,165,35.16807,-83.0312
Trickle Down Theory,Overlook > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200706097/trickle-down-theory,4,Trad,5.8,1,150,35.17048,-83.02412
Desk Jockey Dilemma,Stone Depot > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200895134/desk-jockey-dilemma,3,Trad,5.8,3,310,35.2591,-82.8004
Magic Carpet Ride,Magic Mike Wall > The Cookbook > The Cookbook Area > Cooks Wall > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/201004343/magic-carpet-ride,3,Trad,5.8,1,80,36.37838,-80.28665
Dancing On Quicksand,Creepy Corridor > The Mojo Dojo > Cooks Wall > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/201009073/dancing-on-quicksand,4,Trad,5.8,1,70,36.37947,-80.29041
Up for Debeight,John Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/125242059/up-for-debeight,2,Trad,5.8+,2,200,35.27825,-82.79183
Thirsty Camel,Razors Edge Canyon > Gold Coast Cliffs > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/126074427/thirsty-camel,3,Trad,5.8+,4,625,35.87312,-81.90373
Eyeshine,Starshine Area > North Face > Whiteside Mountain > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/126736551/eyeshine,3,Trad,5.8+,1,120,35.08798,-83.13864
Gegenschein,Starshine Area > North Face > Whiteside Mountain > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/126736666/gegenschein,2.7,Trad,5.8+,1,120,35.08798,-83.13864
Greasy Chicken,Woody Wall > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200698294/greasy-chicken,3,Trad,5.8+,1,100,35.16807,-83.0312
Big Corner,Shortoff Mountain > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/201485385/big-corner,2,Trad,5.8+,4,250,35.83139,-81.90257
Lost Llama,Razors Edge Canyon > Gold Coast Cliffs > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/126074138/lost-llama,3.5,Trad,5.9-,4,525,35.87312,-81.90373
Gazelle Chimney,Razors Edge Canyon > Gold Coast Cliffs > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/126075721/gazelle-chimney,3,Trad,5.9-,1,180,35.87312,-81.90373
Women On Top,Woody Wall > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200699073/women-on-top,3,Trad,5.9-,1,130,35.16807,-83.0312
Magic Mike,Magic Mike Wall > The Cookbook > The Cookbook Area > Cooks Wall > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/201004258/magic-mike,3,Trad,5.9-,1,80,36.37838,-80.28665
Coffee and Contemplation,The ToLL Slab > Upper Boulders Area (roped climbs) > Buffalo Creek Park > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/124254499/coffee-and-contemplation,2.3,Sport,5.9,1,80,35.49074,-82.19334
Hawkins,The ToLL Slab > Upper Boulders Area (roped climbs) > Buffalo Creek Park > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/124254527/hawkins,2,Sport,5.9,1,50,35.49074,-82.19334
All Tough: No Love,Amphitheater > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/124344780/all-tough-no-love,3,Trad,5.9 R,4,450,35.871,-81.89291
Funky Crack,south wall > Bluejay Canyon > Gold Coast Cliffs > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/124699195/funky-crack,2,Trad,5.9,1,NA,35.88116,-81.90287
Bluejay Slab,north wall > Bluejay Canyon > Gold Coast Cliffs > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/124699216/bluejay-slab,2,Trad,5.9,1,NA,35.88116,-81.90287
unnamed crack/flake,Moonshine Canyon > Gold Coast Cliffs > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/124699522/unnamed-crackflake,2,Trad,5.9,1,NA,35.87043,-81.90403
Vegitator,Moonshine Canyon > Gold Coast Cliffs > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/124699550/vegitator,2,Trad,5.9,1,NA,35.87043,-81.90403
The Crows Nest,Better Late Than Never Wall > Ship Rock > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/125162284/the-crows-nest,2.5,Trad,5.9,1,70,36.099,-81.7815
Decrimped,Section 4b > Rocky Face Recreational Area > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/125615012/decrimped,2,"Sport, TR",5.9,1,20,35.96351,-81.11935
Mantle Jam,Section 4b > Rocky Face Recreational Area > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/125615056/mantle-jam,2,"Sport, TR",5.9,1,20,35.96351,-81.11935
Waxed Woodpecker,Zen Canyon > Gold Coast Cliffs > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/125836452/waxed-woodpecker,3.7,Trad,5.9,4,280,35.87389,-81.90412
