106615401,Location,"Start in the obvious cave on the huge, heavily chalked jug.","Location`Start in the obvious cave on the huge, heavily chalked jug."
106615401,Protection,Good Landing,Protection`Good Landing
111787452,Description,"Start on obvious large ledge. Fire up to first slot, work straight up to good top out.","Description`Start on obvious large ledge. Fire up to first slot, work straight up to good top out."
111787452,Location,On the far side of the water tower,Location`On the far side of the water tower
111787452,Protection,"Flat landing, lots of pads are nice.","Protection`Flat landing, lots of pads are nice."
107754953,Description,Crimp and side pulls get you up to a slopey finish,Description`Crimp and side pulls get you up to a slopey finish
107754953,Location,The crack in the middle of the main face of boulder,Location`The crack in the middle of the main face of boulder
107754953,Protection,flat surface for pad,Protection`flat surface for pad
113830075,Description,"Sit start on the lowest good flake (same start as Ishtar), then traverse left and up using the crack inside the dihedral and the good pinch on the arete.  The mail slot below the left lip is good, but the jug up right is better.","Description`Sit start on the lowest good flake (same start as Ishtar), then traverse left and up using the crack inside the dihedral and the good pinch on the arete.  The mail slot below the left lip is good, but the jug up right is better."
113830075,Protection,Crashpad.  Good landing.,Protection`Crashpad.  Good landing.
118568679,Description,Fun overhanging jug haul. Start on the giant jug under the overhanging block and follow the jugs to the top.,Description`Fun overhanging jug haul. Start on the giant jug under the overhanging block and follow the jugs to the top.
107774794,Description,"Sit start with a left undercling and a right sidepull. Crimps to the left are on; separate, leaning boulder to the left is off.","Description`Sit start with a left undercling and a right sidepull. Crimps to the left are on; separate, leaning boulder to the left is off."
107774794,Location,Start at the base of formation,Location`Start at the base of formation
107774794,Protection,Pad,Protection`Pad
106924032,Description,Sit start and climb the overhanging bulge.,Description`Sit start and climb the overhanging bulge.
106924032,Location,Right end of boulder.,Location`Right end of boulder.
106924032,Protection,Boulder pad(s).,Protection`Boulder pad(s).
109916014,Description,"Sit/squat-start on the lower of two stacked boulders on chalked up ledges.  Reach up and out to the lip of the higher boulder, turn it and top out over the short face.  Very fun.  I think one should avoid back-stemming at any point.","Description`Sit/squat-start on the lower of two stacked boulders on chalked up ledges.  Reach up and out to the lip of the higher boulder, turn it and top out over the short face.  Very fun.  I think one should avoid back-stemming at any point."
109916014,Location,This problem lies within the small cluster of stacked boulders just west of the Masterlock boulder.  (This is just left of the main overhanging face.)  Step into the cluster of boulders to find the visibly chalked-up start holds.,Location`This problem lies within the small cluster of stacked boulders just west of the Masterlock boulder.  (This is just left of the main overhanging face.)  Step into the cluster of boulders to find the visibly chalked-up start holds.
109916014,Protection,"The landing may not be great if you took a genuine fall, due to the rocks at the base.  You'd probably want a pad and an active spotter if you're not confident on the moves.","Protection`The landing may not be great if you took a genuine fall, due to the rocks at the base.  You'd probably want a pad and an active spotter if you're not confident on the moves."
110131750,Description,Sit start on the face at a low horizontal slot. Work out right to the arete and climb to the top using edges and jugs.,Description`Sit start on the face at a low horizontal slot. Work out right to the arete and climb to the top using edges and jugs.
110131750,Location,"The Gym, Driver Area. This is a long vertical face against the hillside.","Location`The Gym, Driver Area. This is a long vertical face against the hillside."
110131750,Protection,Pads.,Protection`Pads.
107597364,Description,Jump onto jugs and power up the arete moving left for top out,Description`Jump onto jugs and power up the arete moving left for top out
107597364,Location,Prominent feature sticking out of Classic Boulder,Location`Prominent feature sticking out of Classic Boulder
107597364,Protection,pad,Protection`pad
111418892,Description,"Climb the slab up the middle.  Micro crimps, good feet needed.  Commit at top to some slopey holds  and then back to a jug on the right.","Description`Climb the slab up the middle.  Micro crimps, good feet needed.  Commit at top to some slopey holds  and then back to a jug on the right."
111418892,Location,"North slab face of big Cluster boulder, in the middle just to the right of the tree.","Location`North slab face of big Cluster boulder, in the middle just to the right of the tree."
111418892,Protection,"Pads, pads, and more pads.","Protection`Pads, pads, and more pads."
107726829,Description,Start on two horns and power up to the jug,Description`Start on two horns and power up to the jug
107726829,Protection,pad,Protection`pad
112038837,Description,Sit start in the middle of the boulder. Move up and left and topout just to the left of the pointed tip of the boulder.,Description`Sit start in the middle of the boulder. Move up and left and topout just to the left of the pointed tip of the boulder.
112038837,Location,In the Master Lock area across from the Master Lock boulder. The Men are from Moore's boulder on the right side of the notch that leads from the Master Lock area to Boone Lunge and the corridor.,Location`In the Master Lock area across from the Master Lock boulder. The Men are from Moore's boulder on the right side of the notch that leads from the Master Lock area to Boone Lunge and the corridor.
112038837,Protection,Pads,Protection`Pads
111808713,Description,"Start really high on obvious jug, step up and reach through crimps to the jesus hold at the top","Description`Start really high on obvious jug, step up and reach through crimps to the jesus hold at the top"
111808713,Location,Boulder 47. Near the road.,Location`Boulder 47. Near the road.
111808713,Protection,A pad and spotters,Protection`A pad and spotters
107597355,Description,"Move up crimps and pockets to a long, gutsy deadpoint to a jug for top out","Description`Move up crimps and pockets to a long, gutsy deadpoint to a jug for top out"
107597355,Location,Chalked up jug on lower left hand corner,Location`Chalked up jug on lower left hand corner
107597355,Protection,pad,Protection`pad
107508292,Description,"Sit start in middle of face, up on sidepulls, trend left on slopey ledge, big move to horn, keep it together for the mantle.","Description`Sit start in middle of face, up on sidepulls, trend left on slopey ledge, big move to horn, keep it together for the mantle."
107508292,Location,The vertical face of the boulder right next to the road. Number 1 on the map.,Location`The vertical face of the boulder right next to the road. Number 1 on the map.
107508292,Protection,Crash pad,Protection`Crash pad
107704042,Description,Follow crack up using foot-chips to juggy finish,Description`Follow crack up using foot-chips to juggy finish
107704042,Location,Crack on the right side of the vertical face that you see on approach trail,Location`Crack on the right side of the vertical face that you see on approach trail
107704042,Protection,pad,Protection`pad
118750600,Description,Start on the lowest shelf on the left side of the boulder.  Work through the low shelf.  Up and left.  You can exit direct.  But left felt more classic,Description`Start on the lowest shelf on the left side of the boulder.  Work through the low shelf.  Up and left.  You can exit direct.  But left felt more classic
118750600,Protection,Crashpad,Protection`Crashpad
120595649,Description,"Stand start on the lowest credit card crimps to the right of Mike's Slab. Climb up and right to better edges, then to great edges the next move up. Interesting hand-foot matches on the good edges lead upwards to a slightly heady but fun finish. Starting on the higher crimps makes the climb V3.","Description`Stand start on the lowest credit card crimps to the right of Mike's Slab. Climb up and right to better edges, then to great edges the next move up. Interesting hand-foot matches on the good edges lead upwards to a slightly heady but fun finish. Starting on the higher crimps makes the climb V3."
