route_id,route,location,url,avg_stars,rating,rating_simple,rating_int,pitches,length,x,y,region_1,region_2,region_3,region_4,x_diff,y_diff,description,protection,text,feature_tags,good_tags,other_tags,bad_tags,skill,bad_ind,good_ind,fun_ind,pretty_ind,boulder_ind,rope_ind,tr_ind,trad_ind,sport_ind
108315817,West Pole Direct Finish,Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area),https://www.mountainproject.com/route/108315817/west-pole-direct-finish,3,5.8,5.8,8,1,50,-79.36677,38.83453,Seneca Rocks,South Peak - West Face,South Peak West Face (Main Area),NA,0,0,"Left-facing finger crack arches into a sustained fist and off-width crack. Loose block about half-way up that would be a great hold. Move right onto a balancy position to avoid (the hands are good, just find them),then back into the crack. Even the topout is fun!","Standard Seneca rack plus a few larger pieces (1-2 BD #4s) for the off-width sections. Takes good gear including hexes.  After your party is up, you can belay them over the top of the fin and down the scramble (4th class) or the direct down climb to thr summit notch.  Note: you can use the rap anchor at the base of the pitch  to build a belay, but on busy days, please just look left to thr crack and the build an easy gear anchor to keep folks moving off the summit.","west pole direct finish: left-facing finger crack arches into a sustained fist and off-width crack. loose block about half-way up that would be a great hold. move right onto a balancy position to avoid (the hands are good, just find them),then back into the crack. even the topout is fun!",crack,"fun, good, great",-,-,balance,0,1,1,0,0,1,0,1,0
119364686,Pleasant Exposure,Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area),https://www.mountainproject.com/route/119364686/pleasant-exposure,3.3,5.8,5.8,8,1,80,-79.36677,38.83453,Seneca Rocks,South Peak - West Face,South Peak West Face (Main Area),NA,0,0,"This climb starts after the second pitch of Pleasant Overhang. At the bottom edge of the face to the right of third pitch of Pleasant O, traverse right past a solid pin until you reach the edge of exposed face above the Pleasant O roof, where you can clip a bolt. The bolt is only about 5 feet from the pin but it is not visible until you reach the arete. Follow line of 8 bolts straight up the left edge of the face to 2 bolt anchor where the route rejoins Pleasant Overhang pitch 3.FA info based on Tom Cecil's comment at  mountainproject.com/route/1…","Trad protection until you reach the arete, than a closely bolted sport route with 2 bolt anchor at the top. 2 ropes required to rap down from this anchor, or finish on Pleasant Overhangs pitch 3 to get to the summit.","pleasant exposure: this climb starts after the second pitch of pleasant overhang. at the bottom edge of the face to the right of third pitch of pleasant o, traverse right past a solid pin until you reach the edge of exposed face above the pleasant o roof, where you can clip a bolt. the bolt is only about 5 feet from the pin but it is not visible until you reach the arete. follow line of 8 bolts straight up the left edge of the face to 2 bolt anchor where the route rejoins pleasant overhang pitch 3.fa info based on tom cecil's comment at  mountainproject.com/route/1…","arete, exposed, face, roof, traverse",-,-,-,-,0,0,0,0,0,1,0,1,0
110718320,Pleasant Overhangs - Variation: Direct Finish,Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area),https://www.mountainproject.com/route/110718320/pleasant-overhangs-variation-direct-finish,3.5,5.9 A3 PG13,5.9,9,1,135,-79.36677,38.83453,Seneca Rocks,South Peak - West Face,South Peak West Face (Main Area),NA,0,0,Climb the route to the mid-point of the roof.  Using aid surmount the roof and a short piece of the face above. From a pocket on the face free climb the crack to a bolt. Climb the face to the right of the bolt then regain the crack. (135 ft.),med and med/large chocks mostly..,pleasant overhangs - variation: direct finish: climb the route to the mid-point of the roof.  using aid surmount the roof and a short piece of the face above. from a pocket on the face free climb the crack to a bolt. climb the face to the right of the bolt then regain the crack. (135 ft.),"crack, face, pocket, roof",-,-,-,-,0,0,0,0,0,1,0,1,0
107787630,Crusher Critter,Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area),https://www.mountainproject.com/route/107787630/crusher-critter,2.5,5.9-,5.9,9,1,35,-79.36677,38.83453,Seneca Rocks,South Peak - West Face,South Peak West Face (Main Area),NA,0,0,"Start up the short, right facing corner to gain a small ledge below the crack.  Plug a few more pieces in the finger crack and then follow it up around the EXTREMELY loose, huge block (crux).  This block is so loose it moved when I barely grazed it with my shoulder.   You could very easily link Crusher and Crispy Critters into one long pitch without too much drag.",Small cams (Metolius TCU 01 to BD .5/1).Right above the block is a perfect hand crack that takes a number 2 to protect upper moves and top out.  A number one kinda of works but I would suggest changing it to include num 2.,"crusher critter: start up the short, right facing corner to gain a small ledge below the crack.  plug a few more pieces in the finger crack and then follow it up around the extremely loose, huge block (crux).  this block is so loose it moved when i barely grazed it with my shoulder.   you could very easily link crusher and crispy critters into one long pitch without too much drag.","crack, crux, ledge",-,-,-,-,0,0,0,0,0,1,0,1,0
110715410,Triple S - Variation: Direct Finish,Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area),https://www.mountainproject.com/route/110715410/triple-s-variation-direct-finish,2.9,5.8,5.8,8,1,150,-79.36677,38.83453,Seneca Rocks,South Peak - West Face,South Peak West Face (Main Area),NA,0,0,Start same as Triple S.  From the top of the corner it is possible to traverse left into a shabby looking crack.,med and med/large chocks mostly..,triple s - variation: direct finish: start same as triple s.  from the top of the corner it is possible to traverse left into a shabby looking crack.,"crack, traverse",-,-,-,-,0,0,0,0,0,1,0,1,0
106522969,Cockfight,Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area),https://www.mountainproject.com/route/106522969/cockfight,2.7,5.9+ PG13,5.9,9,1,90,-79.36677,38.83453,Seneca Rocks,South Peak - West Face,South Peak West Face (Main Area),NA,0,0,"This climb starts about ten feet left of 'Breakneck' and 30' right of 'Triple S'.  Follow flakes and edges to the obvious right facing corner. A #5 HB and a small wire are your only protection until you reach the corner where a #2 Camalot comes in way handy. Follow the corner up and past two bolts to the second right facing and slightly overhanging flake (TCU's).Move right to jugs and last bolt,make a long reach to a jug. Follow the corners to a two bolt anchor.",Gold camalot is the biggest piece you'll need. Bring a standard Seneca rack including HB's.,"cockfight: this climb starts about ten feet left of 'breakneck' and 30' right of 'triple s'.  follow flakes and edges to the obvious right facing corner. a #5 hb and a small wire are your only protection until you reach the corner where a #2 camalot comes in way handy. follow the corner up and past two bolts to the second right facing and slightly overhanging flake (tcu's).move right to jugs and last bolt,make a long reach to a jug. follow the corners to a two bolt anchor.","flake, jug",-,-,-,-,0,0,0,0,0,1,0,1,0
106032016,Monkey See Monkey Do,Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area),https://www.mountainproject.com/route/106032016/monkey-see-monkey-do,2.5,5.9,5.9,9,2,100,-79.36677,38.83453,Seneca Rocks,South Peak - West Face,South Peak West Face (Main Area),NA,0,0,"This is a great route to reach Back to the Front.  Although it's listed in the guidebook as 2 pitches, they are easily combined to make a nice long pitch.  P1:  5.7 face climbing.  P2:  Watch out for a few loose blocks at the start of the second pitch on the corner/arete.  Crux moves are around the bolt and up the shallow corner/crack.  Finish on Old Man's Traverse Ledge 10 Ft. left of Prune's finish.",2 bolts and a pin.  Standard Seneca rack.  Mostly smaller gear.  Well protected except for the very easy moves at the start of the first pitch.,"monkey see monkey do: this is a great route to reach back to the front.  although it's listed in the guidebook as 2 pitches, they are easily combined to make a nice long pitch.  p1:  5.7 face climbing.  p2:  watch out for a few loose blocks at the start of the second pitch on the corner/arete.  crux moves are around the bolt and up the shallow corner/crack.  finish on old man's traverse ledge 10 ft. left of prune's finish.","arete, crack, crux, face, ledge, traverse","great, nice",-,-,-,0,1,1,0,0,1,0,1,0
110715109,Cockscomb Overhang Direct,Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area),https://www.mountainproject.com/route/110715109/cockscomb-overhang-direct,2.9,5.9,5.9,9,1,100,-79.36677,38.83453,Seneca Rocks,South Peak - West Face,South Peak West Face (Main Area),NA,0,0,Start at the first aid box on the first pitch of 'Old Ladies'.  #1. Climb the overhanging crack to the overhang. Pull the overhang and continue up to summit. (100 ft.),med and med/large chocks mostly..,cockscomb overhang direct: start at the first aid box on the first pitch of 'old ladies'.  #1. climb the overhanging crack to the overhang. pull the overhang and continue up to summit. (100 ft.),crack,-,-,-,-,0,0,0,0,0,1,0,1,0
107629228,Blackbird,Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area),https://www.mountainproject.com/route/107629228/blackbird,3,5.10a/b,5.10b,10,1,100,-79.36677,38.83453,Seneca Rocks,South Peak - West Face,South Peak West Face (Main Area),NA,0,0,Crux is getting off the ledge. Pro can be placed just off ledge. sporty,bring double TCU's. Route end's anchors for cast of thousands,blackbird: crux is getting off the ledge. pro can be placed just off ledge. sporty,"crux, ledge",-,-,-,-,0,0,0,0,0,1,0,1,0
120624698,Pleasant Surprise,Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area),https://www.mountainproject.com/route/120624698/pleasant-surprise,3.3,5.9,5.9,9,1,90,-79.36677,38.83453,Seneca Rocks,South Peak - West Face,South Peak West Face (Main Area),NA,0,0,"Fun and mostly sustained climbing. Start on the flake protruding from the ledge. Follow bolts up through a bulge (crux). make more face moves till you can easily traverse up and rigt to a ledge with bolt anchors.For what it's worth, the route was done with the blessing of Mike Whitman, who was on the FA team for the nearby climb, A Better Way.","Bolts, Bolt anchor w/rings. #1 C4 useful but not necessary","pleasant surprise: fun and mostly sustained climbing. start on the flake protruding from the ledge. follow bolts up through a bulge (crux). make more face moves till you can easily traverse up and rigt to a ledge with bolt anchors.for what it's worth, the route was done with the blessing of mike whitman, who was on the fa team for the nearby climb, a better way.","crux, face, flake, ledge, traverse",fun,-,-,-,0,1,1,0,0,1,0,0,1
