route_id,field,value,info
110593810,Location,To the right of the cave is a sloping buttress which rises to meet a large roof.,Location`To the right of the cave is a sloping buttress which rises to meet a large roof.
110593810,Protection,Standard rack of medium to large chocks and cams should do it.. No special needs.,Protection`Standard rack of medium to large chocks and cams should do it.. No special needs.
113660750,Description,Rapid oxygenation might be needed to sustain the burn up this beautiful steep face.  Start on the right side of the tree growing out of the base of the wall.  Follow a short broken crack/flake into a clean face about 25 feet. When handholds run thin head right then back left again.  Aim for the 2-foot wide overhanging block and figure out how to surmount it; there are at least two options here and either option will be the crux of the climb.  Note there are some loose rocks below and one above the overhang.  Catch a breath of Air and head to the top moving up and then slightly left.,Description`Rapid oxygenation might be needed to sustain the burn up this beautiful steep face.  Start on the right side of the tree growing out of the base of the wall.  Follow a short broken crack/flake into a clean face about 25 feet. When handholds run thin head right then back left again.  Aim for the 2-foot wide overhanging block and figure out how to surmount it; there are at least two options here and either option will be the crux of the climb.  Note there are some loose rocks below and one above the overhang.  Catch a breath of Air and head to the top moving up and then slightly left.
113660750,Location,"Center of the North East Area on approximately a 20 foot wide left facing wall,                     .","Location`Center of the North East Area on approximately a 20 foot wide left facing wall,                     ."
113660750,Protection,"With such an overhanging top-rope route I suggest setting up by first rappelling a single line and adding two fixed cams above the 2-foot wide overhanging block.  Rappelling also helps with getting the rope to be on the right side of the tree.  The next step is to untie the single line at the top, clip it into a top system, and toss it to the other side of the tree so the belayer is not standing under the climber in the rockfall zone.  A number 3 Camalot is useful in a horizontal crack about 12ft below the lip.  on the right side of the 2-foot wide overhanging block is a thin vertical crack and a 0 TCU fits tightly in.  Even with the gear in place a fall off the beginning will result in a swing into the tree.","Protection`With such an overhanging top-rope route I suggest setting up by first rappelling a single line and adding two fixed cams above the 2-foot wide overhanging block.  Rappelling also helps with getting the rope to be on the right side of the tree.  The next step is to untie the single line at the top, clip it into a top system, and toss it to the other side of the tree so the belayer is not standing under the climber in the rockfall zone.  A number 3 Camalot is useful in a horizontal crack about 12ft below the lip.  on the right side of the 2-foot wide overhanging block is a thin vertical crack and a 0 TCU fits tightly in.  Even with the gear in place a fall off the beginning will result in a swing into the tree."
107536973,Description,"Start on the Alcoa Presents ledge. Move left of Orangeaid approximately 15 feet to a right facing flake and crack system. Climb the flake and crack, then trend slightly left up the face just before the end of the flake. Finally, head right on easy ground just below the summit to belay on a fixed chain anchor right (north) of the true summit."" However - there are actually two ways to finish the pitch. Moving slightly left just before the flake ends (as described above) is easier and safer, and is what most people do to finish. Staying with the flake system, and moving up and right past the end of the flake offers harder climbing and NO gear until a short vertical slot for a bomber cam about 15 feet above the very end of the flake - borderline R rated.   This is indeed an Old School 5.9+ - we all know what that means! I agree that it really is every bit of 5.10b, and frankly even harder to hang around on and place gear on than Orangeaid.","Description`Start on the Alcoa Presents ledge. Move left of Orangeaid approximately 15 feet to a right facing flake and crack system. Climb the flake and crack, then trend slightly left up the face just before the end of the flake. Finally, head right on easy ground just below the summit to belay on a fixed chain anchor right (north) of the true summit."" However - there are actually two ways to finish the pitch. Moving slightly left just before the flake ends (as described above) is easier and safer, and is what most people do to finish. Staying with the flake system, and moving up and right past the end of the flake offers harder climbing and NO gear until a short vertical slot for a bomber cam about 15 feet above the very end of the flake - borderline R rated.   This is indeed an Old School 5.9+ - we all know what that means! I agree that it really is every bit of 5.10b, and frankly even harder to hang around on and place gear on than Orangeaid."
107536973,Location,"10 feet left of Orangeaid, on the Alcoa Ledge.","Location`10 feet left of Orangeaid, on the Alcoa Ledge."
107536973,Protection,PG,Protection`PG
110598584,Description,"Start: From any of the ledges at the base of the overhangs that lie to the right of 'Tonys Nightmare'.  #1. Climb up the left facing corner near the left side of the roof. Continue up overhanging corners to a small pedestal beneath the main roof. Climb through the roof, then step up to a belay. (85-90 ft.)","Description`Start: From any of the ledges at the base of the overhangs that lie to the right of 'Tonys Nightmare'.  #1. Climb up the left facing corner near the left side of the roof. Continue up overhanging corners to a small pedestal beneath the main roof. Climb through the roof, then step up to a belay. (85-90 ft.)"
110598584,Location,"Start: From any of the ledges at the base of the overhangs that lie to the right of 'Tonys Nightmare' in the 'South End' area of Seneca Rocks, WV. Between 'The Daydream' and 'Ye Gods and Little Fishes'","Location`Start: From any of the ledges at the base of the overhangs that lie to the right of 'Tonys Nightmare' in the 'South End' area of Seneca Rocks, WV. Between 'The Daydream' and 'Ye Gods and Little Fishes'"
110598584,Protection,Rack of med and med\large chocks and cams.  Few extra biners maybe..,Protection`Rack of med and med\large chocks and cams.  Few extra biners maybe..
107911007,Description,Climbs the tallest part of this crag and through roof. tricky routefinding.,Description`Climbs the tallest part of this crag and through roof. tricky routefinding.
107911007,Location,"15 yards right of Goldfinger, below the high roof.","Location`15 yards right of Goldfinger, below the high roof."
107911007,Protection,Standard rack. Anchors.,Protection`Standard rack. Anchors.
107963388,Description,bouldery route just to the right of The Bully.  Climb steep orange face up and right to thin right facing dihedral.  Climb straight up this to small bulge.  pull this to the top.,Description`bouldery route just to the right of The Bully.  Climb steep orange face up and right to thin right facing dihedral.  Climb straight up this to small bulge.  pull this to the top.
107963388,Location,on shorter wall just left & uphill of Tastes Like Chicken,Location`on shorter wall just left & uphill of Tastes Like Chicken
107963388,Protection,Thin to Win.  Very specific gear; this route was led in Hed-point style.,Protection`Thin to Win.  Very specific gear; this route was led in Hed-point style.
110334694,Description,"Climb the wide crack at the beginning and head up the undulating face. Easy, fun climbing takes you to a thin crack where you reach the crux. Place some gear and figure out how to reach the next good horizontal. Finish up at new anchors perched on the arete.","Description`Climb the wide crack at the beginning and head up the undulating face. Easy, fun climbing takes you to a thin crack where you reach the crux. Place some gear and figure out how to reach the next good horizontal. Finish up at new anchors perched on the arete."
110334694,Location,Climber's left of Dyno Pleas and Insistent Irony.,Location`Climber's left of Dyno Pleas and Insistent Irony.
110334694,Protection,Good gear throughout. Standard double rack up to #3. New anchors with rings.,Protection`Good gear throughout. Standard double rack up to #3. New anchors with rings.
107911577,Description,Nice finger crack.,Description`Nice finger crack.
107911577,Location,"It is on the far left tip of the Iceberg proper, looking at it as you come up the trail. Walk down the Corridor between the Iceberg and the main wall, The start is under the little cave on your left near the ledge with the big tree.","Location`It is on the far left tip of the Iceberg proper, looking at it as you come up the trail. Walk down the Corridor between the Iceberg and the main wall, The start is under the little cave on your left near the ledge with the big tree."
107911577,Protection,"Standard rack, shares anchors with Icecapdes","Protection`Standard rack, shares anchors with Icecapdes"
106270977,Description,"This route must be done in 2 pitches due to the 50 ft traverse required to reach the dihedral and roof pitch.    P1:  Climb up the wide crack to reach a large ledge to the right(30-40 ft).  P2:  This is the money pitch!!  After traversing about 50 ft to the right, set up a belay at the base of a left facing corner.  Climb up the crack in the corner to reach the first roof.  Traverse a few feet to the right and pull the roof following a .5-.75"" crack to the next roof.  At the base of this roof, traverse a bit to the left and pull up and follow the short crack to the anchors.    If this second pitch were more easily accessible, this would surely be a classic climb for the area!","Description`This route must be done in 2 pitches due to the 50 ft traverse required to reach the dihedral and roof pitch.    P1:  Climb up the wide crack to reach a large ledge to the right(30-40 ft).  P2:  This is the money pitch!!  After traversing about 50 ft to the right, set up a belay at the base of a left facing corner.  Climb up the crack in the corner to reach the first roof.  Traverse a few feet to the right and pull the roof following a .5-.75"" crack to the next roof.  At the base of this roof, traverse a bit to the left and pull up and follow the short crack to the anchors.    If this second pitch were more easily accessible, this would surely be a classic climb for the area!"
106270977,Location,"Approaching from the south entrance to Beauty Mountain and walking downstream, look for a large ledge about 30 ft up.  Once you locate this ledge, you will see the obvious dihedral.","Location`Approaching from the south entrance to Beauty Mountain and walking downstream, look for a large ledge about 30 ft up.  Once you locate this ledge, you will see the obvious dihedral."
106270977,Protection,"Some hands to wide gear for the first pitch.  Mostly larger stoppers and cams (.5 to 1.5"") for the second pitch.  As of 10/08, there was a cable anchor slung around a large tree at the top.","Protection`Some hands to wide gear for the first pitch.  Mostly larger stoppers and cams (.5 to 1.5"") for the second pitch.  As of 10/08, there was a cable anchor slung around a large tree at the top."
107899525,Description,"Start same as K.P. Corner. Undercling the flake to the left, then crank laybacks to second bulge with crack.","Description`Start same as K.P. Corner. Undercling the flake to the left, then crank laybacks to second bulge with crack."
