route_id,field,value,info
109727231,Protection,3 bolts + possible thin gear before the first bolt.,Protection`3 bolts + possible thin gear before the first bolt.
107019082,Description,"The guidebook describes this route as a ""technical face climb"" which is a pretty accurate description. Good moves, lots of fun. Fair grade.","Description`The guidebook describes this route as a ""technical face climb"" which is a pretty accurate description. Good moves, lots of fun. Fair grade."
107019082,Location,"If you're standing at Hubba Bubba, look right.","Location`If you're standing at Hubba Bubba, look right."
107019082,Protection,"3 bolts, bolt anchor at the top.","Protection`3 bolts, bolt anchor at the top."
122178279,Description,Climb a dirty bulge to get established on the wall.  A few bolts of easy climbing leads through a small roof and into thought provoking sequences to the anchor.,Description`Climb a dirty bulge to get established on the wall.  A few bolts of easy climbing leads through a small roof and into thought provoking sequences to the anchor.
122178279,Location,First route to the right of Crescent Corner,Location`First route to the right of Crescent Corner
122178279,Protection,7 bolts.  Bolt anchors,Protection`7 bolts.  Bolt anchors
107860492,Description,"Climb up the left trending ramp start for Back to the Front.  From the stance where BTTF traverses right, go straight up over the roof to a slab.  There is gear at the lip.  Go pretty much straight up to the steep rock above aiming for a bolt which is at the crux.  Above that, a small horizontal or two leads to a vertical crack finishing just left of BTTF.  Build a gear anchor and descend as per BTTF.  A little history on the multiple names.  We climbed it ground up after rapping it to see if it was worth doing.  I was too much of a chicken to commit to the crux on lead since there was no gear to prevent smacking the slab if you blew it so I made a runout traverse right, up 6 feet then back left to the horizontals above the crux.  My wife followed, climbing the crux.  That winter we went back to put in a bolt at the crux on lead but, I bit off more than I reckoned by trying a direct start up the face below the ramp start to BTTF.  15 or so feet up with no pro (after finding the first horizontal to be a shallow flare), I was just about to pull up to the second horizontal when a hold blew and I pitched, bouncing off of Old Man's traverse ledge, falling 30+ feet total and breaking my foot.  With no pro in the fall smashed my wife into her anchor, the tree at the top of P2 of Prune, with a side collision that drove the side of her helmet into her head splitting it open, filling her helmet with blood and dazing her.  She still held the fall super solid and is my hero.  After extracting ourselves from that mess which happened on a Monday in late winter with no one around, we drove to the Petersburg hospital where a foreign exchange doc/intern/whatever tried telling my wife she was suffering from an STD and not a mild concussion.  I got a pink cast.  Needless to say, the bolt never got put in.  Some time in the next year a guy who was guiding there bolted the crux on lead after cleaning off so much lichen you could see a streak down the wall from the parking lot and not knowing it had been climbed already gave it the name in parenthesis.  So...Im not sure who really got the FA and dont really care that much but (and Im obviously biased here) I totally like our name the best since the route is Right to the Left of Back to the Front.","Description`Climb up the left trending ramp start for Back to the Front.  From the stance where BTTF traverses right, go straight up over the roof to a slab.  There is gear at the lip.  Go pretty much straight up to the steep rock above aiming for a bolt which is at the crux.  Above that, a small horizontal or two leads to a vertical crack finishing just left of BTTF.  Build a gear anchor and descend as per BTTF.  A little history on the multiple names.  We climbed it ground up after rapping it to see if it was worth doing.  I was too much of a chicken to commit to the crux on lead since there was no gear to prevent smacking the slab if you blew it so I made a runout traverse right, up 6 feet then back left to the horizontals above the crux.  My wife followed, climbing the crux.  That winter we went back to put in a bolt at the crux on lead but, I bit off more than I reckoned by trying a direct start up the face below the ramp start to BTTF.  15 or so feet up with no pro (after finding the first horizontal to be a shallow flare), I was just about to pull up to the second horizontal when a hold blew and I pitched, bouncing off of Old Man's traverse ledge, falling 30+ feet total and breaking my foot.  With no pro in the fall smashed my wife into her anchor, the tree at the top of P2 of Prune, with a side collision that drove the side of her helmet into her head splitting it open, filling her helmet with blood and dazing her.  She still held the fall super solid and is my hero.  After extracting ourselves from that mess which happened on a Monday in late winter with no one around, we drove to the Petersburg hospital where a foreign exchange doc/intern/whatever tried telling my wife she was suffering from an STD and not a mild concussion.  I got a pink cast.  Needless to say, the bolt never got put in.  Some time in the next year a guy who was guiding there bolted the crux on lead after cleaning off so much lichen you could see a streak down the wall from the parking lot and not knowing it had been climbed already gave it the name in parenthesis.  So...Im not sure who really got the FA and dont really care that much but (and Im obviously biased here) I totally like our name the best since the route is Right to the Left of Back to the Front."
107860492,Location,Start is the same as for Back to the Front off of Old Man's traverse pitch.,Location`Start is the same as for Back to the Front off of Old Man's traverse pitch.
107860492,Protection,Standard Seneca rack will do but I enjoyed having an extra green alien/blue TCU.,Protection`Standard Seneca rack will do but I enjoyed having an extra green alien/blue TCU.
107961007,Description,"Scramble up to the flake. Layback up the thin flake to the roof, then pump through some steep moves on good holds to the anchors.","Description`Scramble up to the flake. Layback up the thin flake to the roof, then pump through some steep moves on good holds to the anchors."
107961007,Location,Left of King of Swing. The line of bolts up the right facing flake below the roof.,Location`Left of King of Swing. The line of bolts up the right facing flake below the roof.
107961007,Protection,4 bolts.  Bring a green BD camalot to protect between the 2nd and 3rd bolts and it makes it a lot safer. 2 bolt anchor.,Protection`4 bolts.  Bring a green BD camalot to protect between the 2nd and 3rd bolts and it makes it a lot safer. 2 bolt anchor.
