route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Moon Barrel,Alpha Wall > Mile Two Routes > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/108804953/moon-barrel,4,Trad,5.9+,1,80,36.89936,-82.42035
Unknown  1,Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/107081046/unknown-1,2.5,Trad,5.7,1,40,38.9422,-78.3017
Toilet Bowl,Tunnel Turret Wall > Mile 1 Routes > (1) Mile One > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118807550/toilet-bowl,3.3,Sport,5.8,1,50,36.90348,-82.42151
The Mortar the Merrier,A) Main Wall > Manchester Wall > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/107784666/the-mortar-the-merrier,2.5,"Sport, TR",5.8,1,NA,37.5296,-77.4459
The Joys of Road Bikeing,Eastern Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118950086/the-joys-of-road-bikeing,4,Trad,5.9+,1,100,37.28329,-82.30227
Pincer Perfect,Whale's Lip > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/107760170/pincer-perfect,3.9,Trad,5.9+,1,105,38.5515,-78.3106
Copper Head Road,Tunnel Turret Wall > Mile 1 Routes > (1) Mile One > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/120134347/copper-head-road,4,Sport,5.8+,1,90,36.90348,-82.42151
Ejector Seat,Raven's Roost Cliff > Raven's Roost > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/107083590/ejector-seat,4,TR,5.9+,1,NA,37.93393,-78.95297
Twin Cracks,Boucher Rocks > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/110679318/twin-cracks,4,"Trad, TR",5.9,1,45,38.96861,-77.183090000000007
Dancing Climb,Boucher Rocks > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/110679293/dancing-climb,4,"Trad, TR",5.8,1,40,38.96861,-77.183090000000007
PachydermAbrasion,Pachyderm Routes > Labyrinth > HKL East > High Knob Landform > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/108348443/pachydermabrasion,4,TR,5.8,1,NA,36.9097,-82.6302
McKenna,C) Second Pillar > Manchester Wall > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/108060902/mckenna,2.9,"Trad, Sport",5.8,1,NA,37.53023,-77.44534
Rainy Day Woman,(1) Lower Hidden > Hidden Rocks > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/107847755/rainy-day-woman,3.6,Trad,5.9+ PG13,1,55,38.45563,-79.11399
Hooked on a Feeling,A) Main Wall > Manchester Wall > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/106175783/hooked-on-a-feeling,2.3,"Sport, TR",5.7+,1,NA,37.5296,-77.4459
B-52,Microdome > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/109575397/b-52,3.5,"Trad, TR",5.9,1,40,38.99472,-77.25121
Semi-Pro,Business Time Crag > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/117630092/semi-pro,3.1,Sport,5.8+,1,75,37.29192,-82.30887
Fun and Games,A) Main Wall > Manchester Wall > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/107784677/fun-and-games,2.5,Sport,5.8,1,NA,37.5296,-77.4459
Chasm Crack,Reflector Oven > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/108055560/chasm-crack,2.6,Trad,5.8,1,85,38.55,-78.3089
Happiness,"Fetish Wall > Iron Gate, VA > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/107094179/happiness,3.3,Trad,5.9+,1,NA,37.8109,-79.7985
Flaky,Seclusion > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106951522/flaky,2.6,TR,5.9,1,45,38.98996,-77.24799
Psoriasis,Right Sector > Crescent Rocks > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106154365/psoriasis,2.9,"Trad, TR",5.9,1,40,39.13925,-77.83794
Voodoo Doll,B) First Pillar > Manchester Wall > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/106175777/voodoo-doll,2.3,Sport,5.7,1,NA,37.52985,-77.44566
Kopley's Corner,Bent Tree Area > Little Stony Man Mountain > Central District > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/108222454/kopleys-corner,3.1,"Trad, TR",5.7,1,100,38.62113,-78.37413
The Pox,Sandbox > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/109575539/the-pox,2.8,TR,5.7,1,45,38.99353,-77.24948
Archer Left,Alpha Wall > Mile Two Routes > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/108770767/archer-left,3.7,Trad,5.9+,1,NA,36.89936,-82.42035
Pork Belly Tacos,Towers > Towers/Lodges > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/114006433/pork-belly-tacos,3.3,Sport,5.9,1,70,37.15917,-82.40307
Kimberly,Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/107248823/kimberly,2.1,"Trad, Sport",5.7,1,65,38.9422,-78.3017
Upright,Tunnel Turret Wall > Mile 1 Routes > (1) Mile One > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118919132/upright,3.5,Sport,5.8,1,60,36.90348,-82.42151
Crescent Crack,Washington Wall > Crescent Rocks > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/105852414/crescent-crack,2.8,"Trad, TR",5.9,1,50,39.13925,-77.83794
The Bishop,Froopy Land Cliff > Froopy Land > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/113988112/the-bishop,2.7,Sport,5.9,1,60,37.28989,-82.30833
Executioner's song,Dihedrals > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106025518/executioners-song,2.2,TR,5.8,1,40,38.99207,-77.24862
Take It for Granite,A) Main Wall > Manchester Wall > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/107784671/take-it-for-granite,2.3,"Sport, TR",5.9-,1,NA,37.5296,-77.4459
Stinky Pinky,Chambers Ridge > Goshen Pass > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/107079826/stinky-pinky,3.5,"Trad, TR",5.9,1,NA,37.94267,-79.45147
Romeo's Right,Romeo's Ladder > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106854496/romeos-right,2.4,"Trad, TR",5.8,1,35,38.98922,-77.24759
ERT (Echo Rock Traverse),Echo Rock > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/107336200/ert-echo-rock-traverse,3.3,Trad,5.9,10,1200,38.9816,-77.242
The Diet Starts Tomorrow,Lodges > Towers/Lodges > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118203222/the-diet-starts-tomorrow,2.9,Sport,5.9,1,60,37.15873,-82.40324
Romeo's Nose,Romeo's Ladder > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106854509/romeos-nose,2.8,"Trad, TR",5.9,1,35,38.98922,-77.24759
Made For TV,Business Time Crag > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/117630107/made-for-tv,2.7,Sport,5.8-,1,65,37.29192,-82.30887
Rusty Bong,Skyline Wall (PATC Wall) > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106246965/rusty-bong,2.5,Trad,5.8,1,70,38.5517,-78.3115
Stretch Mark,Middle Sunset Wall > Sunset Walls > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/119034628/stretch-mark,3,Trad,5.9,1,60,38.55304,-78.3178
Socrates' Downfall,Cow's Hoof > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/109108270/socrates-downfall,3.1,"Trad, TR",5.8,1,40,38.9817,-77.243
River Castle,The Castle > Mile 1 Routes > (1) Mile One > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/119107063/river-castle,3.5,Sport,5.9+,1,45,36.90348,-82.42152
My Frooperhero!,Froopy Land Cliff > Froopy Land > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/114464799/my-frooperhero,2.7,Sport,5.9,1,50,37.28989,-82.30833
Brain Storm,Pinnacle Left > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/115847268/brain-storm,2.5,Sport,5.8+,1,50,37.12845,-82.41344
Dr. Needlepoint,Dr. Needlepoint > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106025529/dr-needlepoint,2.7,TR,5.9,1,40,38.98652,-77.24668
Froop Du Jour,Froopy Land Cliff > Froopy Land > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/114464816/froop-du-jour,2.8,Sport,5.9+,1,55,37.28989,-82.30833
Go Directly to Jail - aka Photo-Op Arete,Dihedrals > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106575891/go-directly-to-jail-aka-photo-op-arete,2.7,TR,5.7,1,60,38.99207,-77.24862
Kermit's Revenge,Raven's Roost Cliff > Raven's Roost > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/107083599/kermits-revenge,3.3,"Trad, TR",5.7,1,90,37.93393,-78.95297
Balcony Arête,Juliet's Balcony - Upper Balcony area > Juliet's Balcony > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/112779614/balcony-arete,3.1,"Trad, TR",5.9-,1,35,38.99127,-77.24831
Coffee Breakfast. .9+,State Line Overlook > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/112390782/coffee-breakfast-9,3.3,Trad,5.7,1,NA,37.29291,-82.30885
Dragon Cracks,The Dragon Area > Little Stony Man Mountain > Central District > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/107436862/dragon-cracks,3.1,Trad,5.8,1,70,38.62113,-78.37413
5.9 splitter,Mid Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/114358020/59-splitter,3.2,Trad,5.9+,1,50,37.28855,-82.30904
Something with an eagle,Tunnel Turret Wall > Mile 1 Routes > (1) Mile One > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/120146514/something-with-an-eagle,3.3,Sport,5.9+,1,80,36.90348,-82.42151
Eagle's Nest,Bird's Nest > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106763965/eagles-nest,2.6,TR,5.9,1,40,38.98789,-77.24715
House of Cards,Eastern Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/116718732/house-of-cards,2.4,Sport,5.8+,1,50,37.28329,-82.30227
Seclusion,Seclusion > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106721598/seclusion,2.4,TR,5.7,1,50,38.98996,-77.24799
Cow Pie,Cow's Hoof > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/110507137/cow-pie,3.1,"Trad, TR",5.8 PG13,1,25,38.9817,-77.243
Pulling Punches,Quarry > Belle Isle > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/107637265/pulling-punches,2.9,"Sport, TR",5.8,1,25,37.52831,-77.4559
The Shield Direct,Bent Tree Area > Little Stony Man Mountain > Central District > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/108361305/the-shield-direct,3.3,Trad,5.9+,1,100,38.62113,-78.37413
Handle With Care,Lodges > Towers/Lodges > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118045948/handle-with-care,3.1,Sport,5.9+,1,55,37.15873,-82.40324
Wall of Khazad-dum,The Dragon Area > Little Stony Man Mountain > Central District > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/107436880/wall-of-khazad-dum,3.3,Trad,5.7,1,70,38.62113,-78.37413
F.I.S.T.,Cow's Hoof > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/108177833/fist,2.8,"Trad, TR",5.9-,1,50,38.9817,-77.243
10 Hex Offwidth,Skyline Wall (PATC Wall) > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/113755567/10-hex-offwidth,3,Trad,5.9,1,70,38.5517,-78.3115
Groovy,Summit Crags > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/107125857/groovy,2.5,Trad,5.9,1,NA,38.5518,-78.3153
Humidor,Cigar Box > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/110093172/humidor,2.8,"Trad, TR",5.8,1,35,38.99299,-77.24916
Slabtastic,Beginner Slab > Wintergreen > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/108952426/slabtastic,2.3,TR,5.7,1,30,37.90612,-78.93727
Trad Practice 1,Desert Pony Buttress > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/117796962/trad-practice-1,2.6,Sport,5.8,1,50,37.2873,-82.30922
The Bottom Line,Business Time Crag > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/117630235/the-bottom-line,2.8,Sport,5.8+,1,60,37.29192,-82.30887
Snakes Above,B) First Pillar > Manchester Wall > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/107919734/snakes-above,2.3,Sport,5.7+,1,NA,37.52985,-77.44566
Executioner's Song - Var: The Dirge,Dihedrals > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/109594661/executioners-song-var-the-dirge,3,"Trad, TR",5.9,1,60,38.99207,-77.24862
Skid Row,Aid Box > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/107508911/skid-row,2.4,TR,5.9,1,NA,38.98854,-77.24734
Left Stuff,Juliet's Balcony - Upper Balcony area > Juliet's Balcony > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106576220/left-stuff,2.2,TR,5.7,1,25,38.99127,-77.24831
Piton Crack,Skyline Wall (PATC Wall) > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/107834461/piton-crack,2.3,Trad,5.7,1,65,38.5517,-78.3115
Sassafras,Main Crag > Love Gap > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/109174533/sassafras,2.9,Trad,5.9+ PG13,1,100,37.87602,-79.01713
Trad Practice 2,Desert Pony Buttress > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/117796967/trad-practice-2,2.4,Sport,5.8,1,60,37.2873,-82.30922
Possibilities,Lower Balcony > Juliet's Balcony > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106576247/possibilities,2.9,TR,5.9,1,25,38.99127,-77.24829
Snowblower,(1) Lower Hidden > Hidden Rocks > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106472304/snowblower,2.9,"Trad, TR",5.9+,1,60,38.45563,-79.11399
Salt and Pepper,Self Potential Wall > Wintergreen > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/120435145/salt-and-pepper,2.9,"Trad, TR",5.9,1,60,37.90597,-78.93764
Easy Peasy Lemon Squeezy,Tunnel Turret Wall > Mile 1 Routes > (1) Mile One > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118810242/easy-peasy-lemon-squeezy,3,Sport,5.8+,1,60,36.90348,-82.42151
Breaking Bad,Mid Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/114332817/breaking-bad,3.1,Trad,5.9-,1,40,37.28855,-82.30904
Longhorn,Bent Tree Area > Little Stony Man Mountain > Central District > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/109493910/longhorn,3,Trad,5.8,1,100,38.62113,-78.37413
Prajapati,Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106314487/prajapati,2.5,Sport,5.8,1,50,38.9422,-78.3017
Blokus,Pinnacle Left > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/114276530/blokus,2.1,Sport,5.8,1,50,37.12845,-82.41344
Bird Shit Overhang,IGR East side > Indian Graves Ridge > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/107907856/bird-shit-overhang,2.9,"Trad, Sport",5.9,1,50,38.8099,-78.4035
Bizarro World,Dihedrals > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/110483471/bizarro-world,3,TR,5.9+,1,60,38.99207,-77.24862
Crown of Thorns,C) Second Pillar > Manchester Wall > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/108060893/crown-of-thorns,2.9,Trad,5.8+,1,NA,37.53023,-77.44534
The Man's Route,Bird's Nest > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106763789/the-mans-route,1.8,"Trad, TR",5.8,1,50,38.98789,-77.24715
