route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Double Decker,Blood Pool > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/125989207/double-decker,2.8,Sport,5.10a,2,100,38.74906,-78.26129
Thrash Test Dummies,Thrash Wall > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/126287964/thrash-test-dummies,2,Trad,5.10a,1,50,38.55218,-78.305179999999993
Thrash-a-Ton,Thrash Wall > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/126288322/thrash-a-ton,3,Trad,5.10a,1,60,38.55218,-78.305179999999993
Ramen Rocket,Rebel Wall > Mile 3 Routes > (3) Mile Three > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/127337842/ramen-rocket,3,Sport,5.10a,1,55,36.87025,-82.24574
Uncle Garry's Great Escape,Middle Sunset Wall > Sunset Walls > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/200554811/uncle-garrys-great-escape,2.8,Trad,5.10a,1,35,38.55304,-78.3178
Stupendous Traverse,Lover's Leap > Hidden Rocks > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/200597610/stupendous-traverse,2,Trad,5.10a,1,50,38.45877,-79.13165
Racing the Flakes,The Upper Pavillion > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/202443310/racing-the-flakes,2,Sport,5.10a,1,65,37.2859,-82.29458
Comet,Galaxy Wall > Right side > Hidden Valley > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/202743062/comet,2,Sport,5.10a,1,50,36.83599,-82.08595
The Bow,Mini-Ship Wall > Right side > Hidden Valley > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/202743220/the-bow,3,Trad,5.10a,1,50,36.83601,-82.08664
Charlie's Toolbelt,The Pavilion > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/125597891/charlies-toolbelt,2.4,Sport,5.10-,1,65,37.28999,-82.31077
NC Trollin,Spatula City > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/125713931/nc-trollin,2,Trad,5.10-,1,70,37.2859,-82.29458
Cowboys Fringants,The Escape Room > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/125769624/cowboys-fringants,2,Sport,5.10-,-1,50,37.29008,-82.31143
Sharper Splinters,Aid Box > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/200691129/sharper-splinters,2,TR,5.10-,1,45,38.98854,-77.24734
Crimps Rule Everything Around Me (CREAM),The Bank > Mile Two Routes > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/202636824/crimps-rule-everything-around-me-cream,3.7,Sport,5.10-,1,80,36.88041,-82.43219
