state_fips,county_fips,dem,other,gop,votes,pct_dem,pct_gop,pct_other,pct_non_dem
01,01001,7450,425,19764,27639,26.954665508882375,71.5076522305438,1.537682260573827,73.04533449111763
01,01003,24344,1546,83055,108945,22.345220065170498,76.23571526917252,1.419064665656983,77.6547799348295
01,01005,4772,80,5605,10457,45.63450320359568,53.600459022664246,0.7650377737400784,54.36549679640432
01,01007,1982,83,7508,9573,20.704063511960726,78.42891465580279,0.8670218322364984,79.29593648803927
01,01009,2627,237,24595,27459,9.566990786263156,89.56990422083834,0.8631049928985033,90.43300921373684
01,01011,3439,21,1143,4603,74.71214425374755,24.831631544644797,0.4562242016076472,25.287855746252447
01,01013,3953,65,5448,9466,41.759983097401225,57.55334882738221,0.6866680752165646,58.240016902598775
01,01015,15118,661,34964,50743,29.79327197840096,68.904085292552665,1.302642729046371,70.20672802159905
01,01017,6356,165,8748,15269,41.626825594341476,57.29255353985199,1.080620865806536,58.373174405658524
01,01019,1619,94,10562,12275,13.189409368635438,86.04480651731161,0.7657841140529532,86.81059063136456
01,01021,3056,152,16052,19260,15.867082035306336,83.34371754932502,0.7892004153686396,84.13291796469366
01,01023,3126,41,4294,7461,41.89786891837555,57.552606889156955,0.5495241924674977,58.10213108162445
01,01025,5730,62,7310,13102,43.73378110212182,55.793008700961686,0.4732101969165013,56.26621889787818
01,01027,1262,62,5589,6913,18.25546072616809,80.84767828728484,0.8968609865470852,81.74453927383192
01,01029,672,66,6472,7210,9.320388349514563,89.76421636615811,0.9153952843273232,90.67961165048544
01,01031,5050,298,16832,22180,22.76825969341749,75.88818755635708,1.3435527502254283,77.23174030658251
01,01033,7057,300,17311,24668,28.607913085779145,70.17593643586834,1.2161504783525214,71.39208691422085
01,01035,2951,33,3435,6419,45.972892973983484,53.51300825673781,0.5140987692787038,54.027107026016516
01,01037,1794,52,3626,5472,32.78508771929825,66.26461988304094,0.9502923976608186,67.21491228070175
01,01039,2717,122,14579,17418,15.598805833046276,83.70076931909519,0.7004248478585371,84.40119416695373
01,01041,1700,53,4864,6617,25.691400936980507,73.50763185733716,0.8009672056823334,74.3085990630195
01,01043,4454,493,36804,41751,10.668007951905343,88.15118200761658,1.1808100404780724,89.33199204809466
01,01045,5154,264,14281,19699,26.163764658104473,72.49606579014163,1.340169551753896,73.83623534189553
01,01047,12228,110,5523,17861,68.46201220536365,30.92212082190247,0.6158669727338895,31.53798779463635
01,01049,4271,307,24744,29322,14.565854989427734,84.38714958051975,1.0469954300525204,85.43414501057227
01,01051,10304,498,30089,40891,25.198698980215696,73.58342911643149,1.217871903352816,74.8013010197843
01,01053,4894,123,10844,15861,30.85555765714646,68.36895529916146,0.7754870436920749,69.14444234285354
01,01055,11487,630,35343,47460,24.20353982300885,74.46902654867257,1.3274336283185841,75.79646017699115
01,01057,1390,71,7295,8756,15.87482868889904,83.31429876656007,0.8108725445408863,84.12517131110096
01,01059,2085,115,10364,12564,16.595033428844317,82.489652976759,0.9153135943966889,83.40496657115568
01,01061,1592,102,10844,12538,12.697399904290954,86.48907321741905,0.8135268782899984,87.30260009570904
01,01063,3880,16,875,4771,81.32466988052819,18.33997065604695,0.3353594634248585,18.67533011947181
01,01065,4687,45,3190,7922,59.16435243625347,40.26760918959859,0.5680383741479424,40.83564756374653
01,01067,2589,84,6593,9266,27.940859054608246,71.15260090654004,0.9065400388517159,72.05914094539176
01,01069,12738,628,32384,45750,27.842622950819674,70.78469945355191,1.3726775956284152,72.15737704918033
01,01071,3709,249,19644,23602,15.71476993475129,83.23023472587069,1.0549953393780187,84.28523006524871
01,01073,180936,5296,138443,324675,55.72834372834373,42.64048664048664,1.631169631169631,44.27165627165627
01,01075,978,41,6168,7187,13.607903158480589,85.82162237373035,0.5704744677890636,86.39209684151942
01,01077,11872,699,31578,44149,26.89075630252101,71.52596887811728,1.583274819361707,73.10924369747899
01,01079,3544,147,12266,15957,22.20968853794573,76.86908566773202,0.9212257943222409,77.79031146205426
01,01081,27600,1361,42019,70980,38.88419273034658,59.19836573682728,1.917441532826148,61.11580726965342
01,01083,13510,907,34337,48754,27.710546826927025,70.42909299749765,1.8603601755753374,72.28945317307297
01,01085,4968,27,1835,6830,72.73792093704246,26.866764275256223,0.3953147877013177,27.26207906295754
01,01087,7084,74,1539,8697,81.45337472691733,17.695757157640564,0.8508681154421065,18.546625273082668
01,01089,86885,4675,102395,193955,44.796473408780386,52.79317367430589,2.410352916913717,55.203526591219614
01,01091,5476,69,5337,10882,50.32163205293144,49.044293328432275,0.63407461863628,49.67836794706856
01,01093,1457,139,12190,13786,10.56869287683157,88.42303786450022,1.008269258668214,89.43130712316844
01,01095,5880,518,33094,39492,14.889091461561835,83.799250481110093,1.3116580573280665,85.11090853843817
01,01097,78754,2424,100605,181783,43.32308301656371,55.34345895930862,1.3334580241276686,56.67691698343629
01,01099,4425,66,6129,10620,41.66666666666667,57.711864406779654,0.6214689265536724,58.33333333333333
01,01101,64065,1289,33122,98476,65.05646045737032,33.63459116942199,1.3089483732076852,34.94353954262968
01,01103,13159,819,39504,53482,24.604539845181556,73.86410381062788,1.5313563441905689,75.39546015481844
01,01105,3849,30,1336,5215,73.80632790028763,25.618408437200387,0.5752636625119847,26.193672099712373
01,01107,4017,52,5590,9659,41.58815612382234,57.87348586810229,0.5383580080753702,58.41184387617766
01,01109,5613,163,8020,13796,40.68570600173963,58.13279211365613,1.181501884604233,59.31429399826037
01,01111,2203,73,8548,10824,20.35291943828529,78.97265336289726,0.6744271988174427,79.64708056171472
