"ID","h","s","v","hex3","area","radius","X","Y"
813,216.4959605354,0.978942110690333,0.199372061690173,"#012865",2.83722389500268,0.536163112587947,172.563248401349,-6.49094639841346
881,215.463923868639,0.978700500660754,0.246533577874845,"#01347C",7.8764893813964,0.893339368364222,169.728383932574,-11.3092605261381
822,214.168370574062,0.981358847980217,0.240793125831761,"#01357A",2.2272303523048,0.47504275127578,173.320814287197,-18.8140322962245
375,215.119235097044,0.984718043943037,0.251928396358543,"#013580",5.42244365384704,0.741220890991117,172.587342378729,-11.7137945417241
892,213.636351359234,0.978187921719334,0.243465994042695,"#01377B",18.1265414182841,1.35521313151932,143.695171604505,-12.3755665449846
814,214.005808304021,0.983145223007393,0.249634291689672,"#01377E",4.70674188450378,0.690574151584673,147.15846340452,-16.001280511311
60,212.794404775935,0.98289319813096,0.253486304454442,"#013B80",2.54418837022271,0.507720569880751,145.089679477927,-16.5549123648975
847,217.846752882914,0.957960836745542,0.196760140504013,"#022662",9.20654934431362,0.965825282764665,171.68534797255,-46.8433821297677
909,216.252910349161,0.953691934608401,0.204127373171491,"#022A66",5.49217407165164,0.745971566287551,172.895946674138,-87.4910257429294
1162,217.914148620544,0.961406452500452,0.220721718511966,"#022A6E",14.1375008428793,1.19684097487723,171.996257845226,-37.9794441840379
873,216.42151263633,0.962171230692117,0.210733399592442,"#022B69",42.4960560435821,2.07503028856613,167.172123424443,-5.82342304837694
890,217.280749749263,0.960817709114443,0.226723392383878,"#022C71",75.6063219269229,2.76776480729116,167.526181042069,-53.7489652266314
903,216.039427288663,0.971100784563348,0.235247726378133,"#023076",37.1939570193704,1.9412716835994,168.603338854103,-20.6803951447054
818,215.138630439787,0.968925791582275,0.231439907117531,"#023174",5.39729287024942,0.739499899985133,172.608694645373,-58.5713037614095
880,215.718343613044,0.96035488346374,0.240395852785559,"#023278",41.0163677913799,2.03858454162001,151.581675818029,-51.8731566860825
802,214.923074637034,0.967422911233548,0.238950621034331,"#023378",2.23418496328932,0.475783842681093,171.503273985703,-15.7512731118688
797,214.372209459555,0.962369477897958,0.241242602335443,"#023579",2.51797073539514,0.50509778784608,147.829874750639,-9.33718781318276
781,214.350906504871,0.96699783143666,0.243682132209609,"#02357A",2.31345005281907,0.484150284156745,158.271989535536,-57.319636148693
840,214.799096095335,0.975475989849653,0.246954633676656,"#02357C",5.9547945905663,0.776754038459516,151.0016105147,-15.8540374370089
894,212.864270416389,0.972086064475255,0.234794081031105,"#023676",4.17048223579262,0.65004476498919,173.06493989949,-63.8757419439535
1333,214.672665529143,0.965722507780747,0.249471361971362,"#02367D",8.07823579709965,0.904707915685521,134.077408273107,-30.0472215275253
901,212.629197366694,0.970432980492745,0.241949175825509,"#02387A",26.6773486675667,1.64407437284242,137.494633852405,-12.3755665449846
885,213.527413559086,0.968201178977381,0.246037680535552,"#02387B",4.13307846823474,0.64712317412391,171.148715678624,-26.3773238673993
884,213.854910277717,0.964790998541902,0.249425064876631,"#02387D",6.7206945960275,0.825196177504579,149.981323267838,-12.3708455683144
1393,213.673287955676,0.968848630728455,0.249128126148093,"#02387D",3.86465845154192,0.625756956560286,147.012340279682,-11.4302187140091
1429,213.006296198563,0.966254108023641,0.247846368460936,"#02397C",4.42441427660514,0.669542299955493,147.374784290835,-98.1418096010319
1381,212.96317096901,0.968654351320009,0.24889802972074,"#02397D",2.5797316066556,0.511254789577462,169.501601873888,-59.3045762305403
300,213.700570457735,0.962868531488652,0.25169057149628,"#02397E",4.69606256726191,0.689790270860246,151.631731820138,-10.0123109168687
170,212.552182474312,0.965075618488327,0.251387684787339,"#023B7E",3.26428879962155,0.575101386651155,171.005594985568,-40.9498038972767
94,210.815618369897,0.968675915739312,0.264568831071631,"#024285",2.8586993557779,0.538188445068273,168.276376957868,-39.2715989601692
56,208.355736113215,0.966570486825131,0.284836828249818,"#024C8F",2.77154384112259,0.529920845503526,172.523687761453,-28.3371335625328
217,206.491202494328,0.975379786179872,0.293491674447557,"#025394",2.48892008913099,0.502175596203106,173.133313310819,-31.033629187926
800,218.93064656614,0.936376196795995,0.174973417308621,"#032056",3.90522704924825,0.629032771023821,172.159965269121,-99.9988606040989
777,217.731965275498,0.947384962690801,0.2136220941368,"#03296A",2.1137361696454,0.46278099638608,173.398054669184,-124.004397250672
782,216.791288685346,0.942383039212535,0.208549825158822,"#032A67",3.28199601696336,0.576659103065377,154.906682598775,-2.71652944968926
812,216.159635164768,0.947641953269959,0.210421249272608,"#032B69",7.84548986287299,0.891579676282638,156.816552024624,-97.5411429681332
785,216.945890091005,0.945497940603509,0.215810703457762,"#032B6B",1.82013556707522,0.429439506852337,147.807015225203,-47.9052288984482
845,216.205186282648,0.943950281772514,0.216732583184789,"#032C6B",3.89746965886302,0.62840770129439,160.641412725244,-61.2265956187643
853,216.042134739454,0.942202578609571,0.220231693687576,"#032E6D",3.09689105366763,0.560161286746032,151.913273464639,-2.71652944968926
863,216.045419726263,0.941892964732056,0.226950320072304,"#032F70",10.4127878016049,1.02714944631982,157.323401394234,-5.7769431396712
897,216.221726337574,0.943901920754387,0.23110702819757,"#032F73",50.5250146461055,2.26257691305508,167.127872832788,-63.4484164575308
112,216.105152999951,0.943306945688105,0.236664822043742,"#033175",1.97138280184538,0.446925988162606,152.020838514785,-46.153510656859
834,216.088622173102,0.946840701751399,0.235448211692084,"#033175",5.03184554264298,0.714025592178605,162.851253304678,-58.9541513714295
871,216.34715314514,0.948587711951044,0.239505068466285,"#033177",13.2546628512935,1.15886933209624,158.332607767739,-53.5587157565641
906,214.685011535098,0.956145980320893,0.232760363528458,"#033274",21.1344935840282,1.46334271639118,168.150201045815,-43.173210441135
878,214.99345003487,0.948237693562203,0.234776607864212,"#033275",14.85047894217,1.22664913650003,152.160705256727,-6.66628929385946
854,215.729716398335,0.957509090286203,0.240609654066618,"#033278",11.3923785177263,1.07437855335891,157.215379601675,-48.4937337512206
895,214.255872721935,0.951958829813333,0.233636940935096,"#033474",11.8176464496632,1.09424765302309,166.296847631954,-26.4827402807963
784,213.102653498005,0.956657615738607,0.231067009024766,"#033573",3.73863415407561,0.615469607451588,133.915682095655,-8.76195797637472
789,214.472294563339,0.956070422132085,0.241467155489647,"#033578",2.82941651682063,0.535424906500852,173.222287302927,-115.356260952182
819,213.127016992706,0.943834704604879,0.236611342249318,"#033675",11.7794153147548,1.09247622505281,153.926059018162,-36.0104412331924
877,213.563947081692,0.952408471280441,0.237285528202066,"#033676",102.336801130116,3.22007543710918,148.218991236295,-94.5128409782172
828,214.66637485622,0.959819728372799,0.247927104182326,"#03367C",2.94251924860213,0.546021550086377,154.96332092654,-15.7067943627068
891,212.897590331985,0.954268468731876,0.236393362900716,"#033776",11.1698580474307,1.06383421569461,136.550038637049,-5.1577369232941
899,213.360451283938,0.951157738307859,0.241222152804477,"#033778",25.8213273148875,1.61748182269868,156.839193269553,-29.5640342114733
1405,214.340093099585,0.946365870941124,0.248494554873231,"#03377B",2.60991759572021,0.514237240976707,154.160944954825,-53.9383819265827
273,214.437149804702,0.951067482031452,0.253177063349267,"#03377E",6.40238742909024,0.805417576448545,154.211201552321,-12.8808077847749
794,213.515460692034,0.953229204787224,0.245607874100682,"#03387A",2.06554062002162,0.45747461184411,155.326133514083,-25.3603654804961
869,213.428607166594,0.948235560573062,0.246182214113716,"#03387A",3.21074012198132,0.570364786366665,144.766724704461,-115.960336876203
88,214.472285205637,0.957115225885985,0.256791034311835,"#033880",2.69612441151948,0.52266099588754,169.268967307838,-14.8630243776829
893,212.403923757939,0.957638089906373,0.24389609662148,"#03397A",16.3538814038068,1.28724303104741,131.294096100305,-12.3755665449846
888,212.877654203543,0.959874319334562,0.245288524427484,"#03397B",15.5411624606055,1.25485018057393,141.212566694383,-6.66606295728191
1300,213.281873343635,0.952974186915355,0.248829246320235,"#03397C",4.79057532705635,0.696697037789834,160.468733916332,-57.55872007634
321,214.076150881752,0.948196408193656,0.25563141923436,"#03397F",36.9904111920867,1.93595254213501,154.127283748371,-20.0164434962274
838,212.041521328501,0.954253767035318,0.246926935293351,"#033B7B",10.4553853870355,1.02924828047038,131.998288213686,-5.5913451176184
180,213.990739771165,0.962446077176118,0.264810677476119,"#033B85",3.19990139263871,0.569401261537871,134.943334543703,-33.0133152708626
989,212.288486617424,0.946361614259708,0.255333780822535,"#033C7F",2.71113096081649,0.524113535371217,141.831652710662,-97.1349389833966
401,213.039989182537,0.955893948814959,0.261434040156467,"#033C82",3.04463710574407,0.555415371875294,152.996703775444,-25.3093107089842
166,213.499856828458,0.952719557091497,0.264359742485824,"#033C84",4.94205959485133,0.707626545418775,169.474202491492,-28.084986279992
192,212.735270021008,0.961297857175552,0.263340512972866,"#033D84",6.70918830869251,0.824489478838911,148.254427223517,-19.3018799548476
280,211.747243180099,0.953855152720907,0.257757170901635,"#033E80",5.04993157440104,0.71530765718754,151.313339078126,-39.8146668974006
156,211.922795666294,0.961364347482824,0.263036013437361,"#033F84",7.71632328873674,0.884209821808004,94.7320330875453,-16.2750336935827
1461,210.607314527358,0.948450588781081,0.255826059212927,"#03407F",2.6467014353662,0.517848358285684,117.516168259084,-7.30880076955936
450,210.482476820911,0.952425139220366,0.257455281562229,"#034180",15.1952369756133,1.24080594618778,120.644175684895,-7.2553243070843
260,209.139054586934,0.95209804018806,0.260920903368279,"#034482",1.48167995985369,0.387460407411528,117.334782496225,-11.4761981228454
159,208.284860918112,0.95756754297385,0.263363506596221,"#034783",2.26381681640282,0.47892859529095,119.671344652214,-11.011868057974
434,208.92094688094,0.949194246164255,0.269112001632547,"#034786",5.27260744418402,0.730908220726875,117.867382002842,-3.99202282613127
534,209.475902453439,0.951572267967167,0.27356342408606,"#034788",21.2583330094116,1.46762374700622,100.135841577876,-15.0761430736073
852,220.146469606169,0.903857769478736,0.178079589160601,"#042056",19.2269633381826,1.39574305775543,170.878571844675,-95.69220118729
835,218.935159196767,0.915086198939339,0.180636725026863,"#042258",5.06951911157048,0.716693572513228,172.502950877218,-91.4583372466468
829,218.478904160465,0.933707327799754,0.218096662511311,"#04296C",9.71241996389907,0.992004983240369,170.149032851514,-113.687033767039
859,217.598786229162,0.932520378680623,0.213184491389148,"#042A69",13.8510289512461,1.18465296522,171.964868948306,-119.169160898292
790,214.600619700667,0.928942496710722,0.201128152786169,"#042C63",1.54596683898111,0.395776692084525,172.177340218453,-3.99112512040965
780,217.942681367643,0.929823526391288,0.229591180770554,"#042C71",1.59319693631784,0.401776802918076,172.677148797302,-49.9312288654597
851,216.220792565682,0.935888487621448,0.220980660426363,"#042D6D",8.92428186633811,0.950904202249222,161.21808641701,-3.96305129374558
827,215.808218012025,0.928775551877761,0.221668970420412,"#042E6D",12.3587072168568,1.11901690939013,171.988103550456,-81.6735528013102
1164,215.628644100892,0.93592322174809,0.230586419339663,"#043072",6.90789865418523,0.836610105200361,167.734637493005,-36.9058851069214
860,215.990695667064,0.932395148348495,0.23531121001032,"#043174",22.0962248907859,1.49626724216021,152.843740282116,-120.751528246783
808,214.800671823687,0.928283760976013,0.229450831258429,"#043271",2.8703562302785,0.539284610133626,173.101519595852,-72.0212744622136
843,215.752258424716,0.934704208930451,0.23741246429251,"#043275",10.7559854875624,1.04393926108736,156.8590228132,-124.19949279718
908,216.056616304792,0.939483423575595,0.240465404934848,"#043277",15.2865196927976,1.24452732756101,160.242001941554,-129.479484651423
858,214.360596914509,0.937856605509121,0.230890895256704,"#043372",16.0685888984211,1.2759656917998,170.613382353964,-75.5652737244981
896,214.385235786669,0.939977659943227,0.233024635160204,"#043373",16.1579164264516,1.27950741206218,161.22518286423,-24.4896093807041
865,215.874914285756,0.931161178750628,0.245299751510824,"#043379",1.97827710744927,0.44770679925516,156.874106280947,-127.741560304155
861,214.471862227384,0.93376857030104,0.23882982285012,"#043476",11.2358120234786,1.06697037137948,147.163263023814,-5.82342304837694
833,213.357370791471,0.934726730904077,0.233034071048777,"#043573",5.0840883336384,0.717722681616266,144.090831440362,-101.095039148594
817,215.001573630287,0.941933048545523,0.246853288974193,"#04357A",3.08721634524807,0.559285628512396,160.344156990348,-125.220711695126
815,214.1238813139,0.938192009679202,0.24152753675209,"#043677",5.11393434199782,0.719826285016335,149.540419541166,-117.382186043584
830,214.622674127874,0.933144706657208,0.248565295399205,"#04367B",8.85487526891442,0.947199262695909,156.60039046748,-135.065895115036
143,214.017436515262,0.936456358032122,0.247609574569069,"#04377A",1.92593749570499,0.441744571767429,163.523795525293,-20.9480027807465
842,214.382434231075,0.930374825177114,0.249223467164644,"#04377B",6.17940571937983,0.791267781281278,149.796938956236,-45.6649512680195
904,214.410294776494,0.939811176034419,0.248755262338854,"#04377B",28.3888258767986,1.69599216980901,154.359406523054,-43.173210441135
825,213.051220624261,0.933178226328647,0.243617901706137,"#043878",4.35281291653023,0.66410251985405,145.628885266753,-44.4548136063183
1383,212.832395910302,0.937830232889208,0.249985340095634,"#043A7C",3.09713830990483,0.56018364797947,147.714680161091,-39.1715163364632
1396,213.03228705108,0.944658683147316,0.250129888267143,"#043A7C",2.12382386518097,0.463883981042653,92.9923458082246,-18.4537800441775
254,213.022760755993,0.94470788012806,0.25260435934852,"#043A7D",3.12280834249124,0.562500344488232,147.198941047586,-45.9762662289323
1051,213.103473778128,0.944121135624096,0.253516476034858,"#043A7E",1.56216049667534,0.397844128475523,156.946220372313,-120.891776501861
1055,213.693761441456,0.933947090672495,0.254800808055831,"#043A7E",8.05905436504501,0.903633181830055,166.142357937818,-128.677308198074
309,213.747937921041,0.940426140966056,0.256059762000772,"#043A7F",3.6789845907095,0.610539985039971,155.842856768315,-10.0123109168687
92,212.890949479234,0.930553174165785,0.253156051894442,"#043B7D",3.48767606416563,0.594453923346723,157.78395589499,-23.8183291780817
208,212.984382477345,0.932035113126953,0.257042094722314,"#043B7F",3.76620345603303,0.61773472624026,91.1388461620442,-17.7667957842456
265,214.14970093403,0.944107366832994,0.263991955756662,"#043B83",9.009381711897,0.955427244187141,132.175983854184,-35.1477677632612
1294,211.493423905706,0.942802044386087,0.247708926875594,"#043C7B",7.49253267400947,0.871293451719643,121.547809128624,-12.4812851599691
1295,211.317903560385,0.931521421742067,0.250292374096402,"#043D7B",1.64731697007646,0.408543884108252,123.512043015326,-9.96509112763526
181,212.719065666159,0.943144183220566,0.26291520302453,"#043D82",3.38402560008435,0.585553993476706,160.07990409078,-21.3989206489593
1012,211.260883710901,0.933414721201365,0.252273661915747,"#043E7C",1.7598092740733,0.422262902270458,140.77266925388,-94.9061953504115
1293,211.150653399713,0.940152481101881,0.251301316262152,"#043E7C",1.71291765826763,0.416599141402786,123.554185639175,-6.92836891367562
423,211.344182140918,0.940949323589302,0.253615614762008,"#043E7E",1.66202961945055,0.410364238562955,165.309969815143,-40.0204344176143
272,210.407954170605,0.937634144558559,0.257195325756722,"#04417F",4.21511144393921,0.653513642309236,146.627582943826,-117.730681031784
334,211.20000873216,0.940568542672248,0.26813987211046,"#044285",9.85199892141576,0.999107697878903,150.168952395173,-36.0777882975655
19,210.229255560617,0.933852903176541,0.263258726296614,"#044382",2.14272378333666,0.465943462177825,119.302695394487,-14.7458476361371
469,210.076441701899,0.944170739814987,0.264490750662896,"#044383",24.5680188606122,1.57773912631477,127.537939640361,-7.25696352294282
284,209.311556429677,0.934184658645873,0.26565418113475,"#044583",4.73213208970373,0.692434274484352,120.654958464438,-2.20138198508776
435,208.467713897901,0.946209754069204,0.270596927691368,"#044886",5.94577436066147,0.776165508053846,123.546225082272,-3.9939499992003
