ID,h,l,s,median_hex,area,radius,X,Y
3049,212.54901960784312,0.4294117647058823,0.6986301369863015,#2167BA,756.2098063803156,8.75328924829956,233.05899955221028,160.21967304324212
2714,212.56363636363636,0.43137254901960786,0.697926267281106,#2167BB,1.2209380218832595,0.3517198964106898,188.53969503922633,114.84435186618369
2838,212.72727272727272,0.43137254901960786,0.7,#2167BB,6.767568375481636,0.8280688607744239,137.5388344825492,70.98316658647003
2864,212.72727272727272,0.43137254901960786,0.7,#2167BB,9.745936629423378,0.9937151679411926,219.4934807944414,148.2873188562047
2888,212.54901960784312,0.43137254901960786,0.6993150684931507,#2167BB,15.857215331828344,1.2675455915635832,137.4701762525163,75.48737142896456
2955,212.72612270714737,0.43137254901960786,0.7000351246926588,#2167BB,1.5178439939586923,0.3921603626736237,246.56035679908373,180.4372283609235
2972,212.72727272727272,0.43137254901960786,0.7,#2167BB,9.320008579957674,0.9717583551881893,250.9522283653416,180.43722836092357
3059,212.54901960784312,0.43137254901960786,0.6972477064220184,#2167BB,1963.8627093602345,14.106058777115148,159.7283946644128,92.53514890256965
2809,212.90322580645162,0.43333333333333335,0.7013574660633484,#2167BC,5.797100419907458,0.7664000758341017,178.68466666430376,130.7680240856156
162,212.33766233766232,0.4294117647058823,0.6986301369863015,#2168BA,5.207868760276417,0.7264072047035057,264.00000000000006,181.00000000000006
3009,212.63814616755792,0.4323529411764706,0.6961538461538461,#2168BB,1.2625265387642424,0.35766001074687803,241.57235680715243,174.8669921281998
2840,212.6217008797654,0.4343137254901961,0.697525579878521,#2168BC,3.9880513690507264,0.6356682193870206,235.99905437910206,182.39163781234524
138,212.58278145695365,0.4294117647058823,0.6894977168949772,#2267B9,5.200435433019489,0.7258886095876474,255.99999999999991,183.00130022222626
2592,212.74521531100478,0.43137254901960786,0.6923423423423423,#2267BA,2.230752603699975,0.47541823084533513,190.28915406361065,116.26896804973306
372,212.94117647058823,0.43333333333333335,0.6923076923076922,#2267BB,8.132294273026371,0.90772996065506,190.9992771163293,120.07300443751589
2559,212.76197896377096,0.43333333333333335,0.6923076923076922,#2267BB,1.1949470392883237,0.34795610126939874,190.21462173013722,121.81432102611136
2935,212.83422459893046,0.4343137254901961,0.6930493273542602,#2267BC,1.700547433118321,0.41509213286147395,249.26451712521742,183.2124590341845
2932,212.45635159542445,0.4323529411764706,0.69159570529433545,#2268BA,2.146208857871817,0.4663222296044253,236.1361647207433,177.49314943042563
32,212.54901960784312,0.43333333333333335,0.6923076923076922,#2268BB,5.207868760276097,0.7264072047034834,212.9999999999999,146
257,212.54901960784312,0.43333333333333335,0.6923076923076922,#2268BB,4.251644082987692,0.6563395545860807,208.99999999999983,146
2644,212.54901960784312,0.43333333333333335,0.6923076923076922,#2268BB,0.9871534825894823,0.3162586904618152,188.45188780240048,127.89096982937234
2705,212.54784688995215,0.43333333333333335,0.6923013923013923,#2268BB,1.7852983721323552,0.4253099390082356,215.56117689681858,158.46691567293558
2708,212.46022189730797,0.4343137254901961,0.6885650224215246,#2268BB,1.2174357430949279,0.3512150772658645,244.2476540259829,182.76759610130154
2711,212.54901960784312,0.43333333333333335,0.6923076923076922,#2268BB,6.019978815396644,0.7809938406144995,141.06217920643124,72.78658944995384
2825,212.54901960784312,0.43333333333333335,0.6923076923076922,#2268BB,10.165442337567558,1.0148766673297194,189.0387569532699,124.79680762548628
2833,212.54901960784312,0.43333333333333335,0.6923076923076922,#2268BB,2.1708309855525707,0.4689895147480902,210.65558867458742,146.65843861164936
2885,212.54901960784312,0.43333333333333335,0.6923076923076922,#2268BB,10.215435720206147,1.0173691751736456,206.99943183543255,148.28731885620473
2941,212.54901960784312,0.43333333333333335,0.6923076923076922,#2268BB,72.61026081301611,2.71237120803065,213.3496488252119,152.49570749520393
2947,212.46022189730797,0.4343137254901961,0.6885650224215246,#2268BB,2.3350570929955685,0.48640595034882894,246.57367539238788,182.78452830571706
2978,212.54901960784312,0.43333333333333335,0.6923076923076922,#2268BB,35.40828727439498,1.8940986187074909,240.59201450405672,179.70391221767255
2989,212.72727272727272,0.43333333333333335,0.6936936936936937,#2268BB,174.18529142498878,4.201030814010463,180.74404977290854,119.14957061305999
331,212.72727272727272,0.43529411764705883,0.6930006930006929,#2268BC,8.126460293552386,0.9074043066710602,204.00411863970018,145.9986997777736
332,212.8235294117647,0.43529411764705883,0.6936936936936937,#2268BC,8.126460293552375,0.9074043066710596,198.99999999999994,146.0013002222262
2615,212.72727272727272,0.43529411764705883,0.6936936936936937,#2268BC,1.7022649663298903,0.41530169908324327,211.19390699511783,158.47932885414957
2626,212.72727272727272,0.43529411764705883,0.6936936936936937,#2268BC,2.234845139512072,0.47585413184366554,220.67245866805294,172.07660256821595
2647,212.72727272727272,0.43529411764705883,0.6936936936936937,#2268BC,3.016494754720897,0.5528424902259454,216.92120920346986,167.1008876830571
2663,212.72727272727272,0.43529411764705883,0.6936936936936937,#2268BC,1.5046658722672732,0.39045425745450735,178.31237803760038,127.74020604027338
2672,212.72727272727272,0.43529411764705883,0.6936936936936937,#2268BC,2.095130386796483,0.4607397211824141,203.62930762070923,146.83839230025825
2679,212.72727272727272,0.43529411764705883,0.6936936936936937,#2268BC,1.8165450729101678,0.4290157303956523,172.21339801181972,116.16983027620049
2682,212.72727272727272,0.43529411764705883,0.6936936936936937,#2268BC,1.558181052083611,0.3973370716736291,187.93419111443023,133.58496783361076
2709,212.72727272727272,0.43529411764705883,0.6936936936936937,#2268BC,3.447515433103434,0.5910214414953714,227.1462335019495,176.53245437390416
2760,212.72727272727272,0.43529411764705883,0.6936936936936937,#2268BC,1.1187351071168075,0.3366772419325555,218.9753713081598,169.574312978132
2786,212.72727272727272,0.43529411764705883,0.6936936936936937,#2268BC,5.105603146523287,0.7192397055320177,169.8093483768322,117.65398481297335
2823,212.74521531100478,0.43529411764705883,0.6936936936936937,#2268BC,4.705758992561554,0.6905020427644741,189.57246979323753,135.7540453189939
2872,212.78157894736842,0.43529411764705883,0.6891891891891893,#2268BC,4.660061369943512,0.6871411309539043,227.33221233629286,182.39163781234527
2884,212.72727272727272,0.43529411764705883,0.6936936936936937,#2268BC,5.881306993215207,0.7719462325295224,189.74798599106174,130.30990902515865
2916,212.72727272727272,0.43529411764705883,0.6936936936936937,#2268BC,1.673971805441039,0.41183589536511656,227.39525380313398,179.65426904001438
