subcounty_fips,county_fips,state_name,county_name,subcounty_name,n_lgbt,pct_lgbt,x,y,pct_dem,pct_temp_ideal,avg_daytime_temp,n_gym_10mi,n_boulder_60mi,n_route_200mi,gym_x,gym_y,gym_name,pct_temp_above_60,pct_not_poverty,pct_price_affordable,pct_cost_affordable
0603791400,06037,California,Los Angeles County,Inglewood,1578,0.00429842745109788,-118.33468721303232,33.92369012484233,0.648291893605534,0.6547945205479452,69.73968767123287,3,131,495,-118.3647939,33.9005747,Hangar 18 Indoor Climbing Gym - South Bay,0.7342465753424657,0.7455483491369095,0.15324330307726364,0.42251033090438783
0603791730,06037,California,Los Angeles County,Long Beach-Lakewood,9280,0.01638909983575578,-118.15628242074764,33.80945951818975,0.648291893605534,0.6547945205479452,69.73968767123287,1,142,493,-118.1615562,33.8051165,Hangar 18 Indoor Climbing Gym - Long Beach,0.7342465753424657,0.7899758048849407,0.17136960961474712,0.3704507764209257
0603791750,06037,California,Los Angeles County,Los Angeles,34076,0.01346198518059666,-118.35074287177656,34.021006090717684,0.648291893605534,0.6547945205479452,69.73968767123287,5,128,495,-118.370744,34.0330981,Cliffs of Id,0.7342465753424657,0.72671885641866,0.12342015717410681,0.24868521014581546
0603792400,06037,California,Los Angeles County,Pasadena,3442,0.01293547296027658,-118.15036705886278,34.1719846517935,0.648291893605534,0.6547945205479452,69.73968767123287,1,132,517,-118.2168608,34.0638374,The Stronghold Climbing Gym,0.7342465753424657,0.8571009808711338,0.05604672346353756,0.20147616712689365
0603792920,06037,California,Los Angeles County,Santa Monica,792,0.00865242803299284,-118.48102992408812,34.02342612697806,0.648291893605534,0.6547945205479452,69.73968767123287,2,92,495,-118.4171925,33.9763937,Sender One Climbing - Playa Vista,0.7342465753424657,0.8380073196045228,0.04685278048050301,0.11172248803827756
0603793100,06037,California,Los Angeles County,South Bay Cities,1360,0.00967909528926972,-118.3909636136461,33.884214488771,0.648291893605534,0.6547945205479452,69.73968767123287,2,113,494,-118.3647939,33.9005747,Hangar 18 Indoor Climbing Gym - South Bay,0.7342465753424657,0.9312143706097118,0.042685820966363974,0.14971209213051828
0603793200,06037,California,Los Angeles County,Southwest San Gabriel Valley,1796,0.0057610449432075,-118.113107728201,34.05930826677276,0.648291893605534,0.6547945205479452,69.73968767123287,1,137,513,-118.2168608,34.0638374,The Stronghold Climbing Gym,0.7342465753424657,0.7766632771877375,0.11750536415529733,0.3611300082351677
0603793380,06037,California,Los Angeles County,Torrance,456,0.00317772249283966,-118.34159793098866,33.83463972514151,0.648291893605534,0.6547945205479452,69.73968767123287,1,114,493,-118.3647939,33.9005747,Hangar 18 Indoor Climbing Gym - South Bay,0.7342465753424657,0.8969470170523837,0.06889926794527801,0.23222210754463823
0607590195,06075,California,San Francisco County,Bayview,452,0.0113522202129797,-122.386574563041,37.731274478933635,0.8033447156569817,0.6575342465753424,62.8897901369863,1,99,289,-122.2887373,37.8156283,Pacific Pipe,0.6602739726027398,0.7310377737592928,0.094130502653762,0.24235065565808644
0607590734,06075,California,San Francisco County,Downtown-Northeast Neighborhoods-Treasure Island,2776,0.02356276472036192,-122.39939160120774,37.80096408075382,0.8033447156569817,0.6575342465753424,62.8897901369863,2,102,291,-122.2887373,37.8156283,Pacific Pipe,0.6602739726027398,0.7220934871363941,0.13940625352748615,0.1317209674195483
0607591976,06075,California,San Francisco County,Mission-Bernal,2898,0.03661124867350548,-122.415576735538,37.75293126212364,0.8033447156569817,0.6575342465753424,62.8897901369863,1,99,288,-122.2887373,37.8156283,Pacific Pipe,0.6602739726027398,0.834162918793269,0.05929526123936801,0.13614444319838515
0607593067,06075,California,San Francisco County,SoMa-Potrero-Mission Bay,2010,0.03192452470577024,-122.39614888756948,37.77000739000972,0.8033447156569817,0.6575342465753424,62.8897901369863,1,99,291,-122.2887373,37.8156283,Pacific Pipe,0.6602739726027398,0.8398532424834422,0.09831383027734264,0.1120122237893747
0607593625,06075,California,San Francisco County,Western Addition-Buena Vista-Eureka Valley,7446,0.05330985007947076,-122.43641611391878,37.76332047223813,0.8033447156569817,0.6575342465753424,62.8897901369863,1,102,288,-122.2887373,37.8156283,Pacific Pipe,0.6602739726027398,0.865408021535862,0.07101608992726482,0.10698337881419007
0801390342,08013,Colorado,Boulder County,Boulder,1164,0.00941488587281814,-105.23334275814116,40.007671268644465,0.7654804996176395,0.4520547945205479,56.15255780821918,4,360,1013,-105.2505912,40.0216772,The Spot Bouldering Gym,0.452054794520548,0.7716485756345342,0.17037092939889065,0.3379062760433361
0801392052,08013,Colorado,Boulder County,Lafayette-Louisville,770,0.00961550468911948,-105.10908817841228,39.998736750553775,0.7654804996176395,0.4520547945205479,56.15255780821918,4,366,1002,-105.1165199,39.96572219999999,The Spot Climbing Gym,0.452054794520548,0.912861049713408,0.1639483065953654,0.4164741147817398
0801392318,08013,Colorado,Boulder County,Longmont,1416,0.01271517469895746,-105.18134660486844,40.178139086328535,0.7654804996176395,0.4520547945205479,56.15255780821918,1,326,993,-105.0417165,40.1624688,Longmont Climbing Collective,0.452054794520548,0.8599714447347863,0.37687520471667213,0.6150059737156511
0801490408,08014,Colorado,Broomfield County,Broomfield,930,0.01238183996804686,-105.05271632715292,39.95412013738426,0.6285323707200376,0.4876712328767123,64.4756197260274,2,348,1002,-105.1165199,39.96572219999999,The Spot Climbing Gym,0.589041095890411,0.9244042071628279,0.26734873146282234,0.5037500910216267
0803191007,08031,Colorado,Denver County,Denver,11750,0.01646271580168522,-104.87601104092808,39.76198354482948,0.7674261036256872,0.5123287671232877,64.77304383561643,4,398,989,-104.8875729,39.7484422,Übergrippen Indoor Climbing Crag - Denver,0.6082191780821917,0.827469337316143,0.397231761247128,0.5447593006877123
0911001080,09110,Connecticut,Capitol Planning Region,Andover,54,0.01715374841168996,-72.3760447889445,41.73309097174616,0.6011474524952137,NA,NA,1,628,278,-72.5500869,41.7893791,Stone Age Rock Gym,NA,0.9783989834815756,0.7776769509981851,0.570673712021136
0911002060,09110,Connecticut,Capitol Planning Region,Avon,236,0.01251591005515484,-72.85382227815646,41.790663423961306,0.6011474524952137,NA,NA,2,433,297,-72.83291919999999,41.7015422,Porcupine Hole Cliff,NA,0.9339732711073399,0.5704996034892942,0.3105110896817743
0911004300,09110,Connecticut,Capitol Planning Region,Berlin,44,0.00217714002968826,-72.77584048251893,41.61138502682778,0.6011474524952137,NA,NA,2,441,274,-72.83291919999999,41.7015422,Porcupine Hole Cliff,NA,0.9368629391390401,0.8488406222483122,0.5343781597573307
0911005910,09110,Connecticut,Capitol Planning Region,Bloomfield,430,0.01995637443727664,-72.74061324588006,41.84258243503687,0.6011474524952137,NA,NA,1,435,299,-72.719803,41.7251878,Central Rock Gym,NA,0.8959019817143918,0.94367308299148,0.7592255125284738
0911006260,09110,Connecticut,Capitol Planning Region,Bolton,68,0.01402640264026402,-72.4390176403144,41.766480616339365,0.6011474524952137,NA,NA,2,630,279,-72.5500869,41.7893791,Stone Age Rock Gym,NA,0.8910891089108911,0.8623693379790941,0.4679213002566296
0911022630,09110,Connecticut,Capitol Planning Region,East Hartford,352,0.0069294066695539,-72.61522129847826,41.76341822991256,0.6011474524952137,NA,NA,3,462,297,-72.58270420000001,41.72327689999999,Central Rock Gym,NA,0.7545572660340958,0.9824749938001157,0.8533207055759441
0911024800,09110,Connecticut,Capitol Planning Region,East Windsor,200,0.01792596576140538,-72.56717650772937,41.90488359006601,0.6011474524952137,NA,NA,1,595,287,-72.5500869,41.7893791,Stone Age Rock Gym,NA,0.890651608855427,0.9669137109581789,0.581825334382376
