area,route_id,route,location,url,avg_stars,grade,grade_simple,grade_int,pitches,length,x,y,region_1,region_2,region_3,region_4,x_diff,y_diff,description,protection,text,bad_tags,feature_tags,other_tags,skill,good_tags,bad_ind,good_ind,fun_ind,pretty_ind,boulder_ind,rope_ind,trad_ind,sport_ind,tr_ind
WV,106946228,Roy's Lament,The New River Gorge Region > New River Gorge Proper > Endless Wall > N) The Undeserved Area,https://www.mountainproject.com/route/106946228/roys-lament,2.9,5.9,5.9,9,1,90,-81.05225,38.05632,The New River Gorge Region,New River Gorge Proper,Endless Wall,NA,0.00167999999999324,3.600000000005821e-4,Start by stemming up the initial crack that leans slightly to the right. Lieback or handjam the vertical section of crack to the ledge. From the ledge continue up the obvious crack to a rightward traverse under the roof to the anchors of Celibate Mallard.,"Standard rack to 3"". A 4"" cam is helpful but not necessary.  Bolted anchor.",roy's lament: start by stemming up the initial crack that leans slightly to the right. lieback or handjam the vertical section of crack to the ledge. from the ledge continue up the obvious crack to a rightward traverse under the roof to the anchors of celibate mallard.,-,"crack, ledge, roof, traverse",-,-,-,0,0,0,0,0,1,1,0,0
WV,106575442,The Undeserved,The New River Gorge Region > New River Gorge Proper > Endless Wall > N) The Undeserved Area,https://www.mountainproject.com/route/106575442/the-undeserved,3.7,5.10b/c,5.10c,10,1,90,-81.05225,38.05632,The New River Gorge Region,New River Gorge Proper,Endless Wall,NA,0,0,"A very good route, follows a crack system trending right through a couple of scary moves with so so pro then back left at the second break, around the corner and up to a big ledge.","Cams, wires to protect the crux.  Bolted anchor.","the undeserved: a very good route, follows a crack system trending right through a couple of scary moves with so so pro then back left at the second break, around the corner and up to a big ledge.",-,"crack, ledge",scary,-,good,0,1,0,0,0,1,1,0,0
WV,106874818,Celibate Mallard,The New River Gorge Region > New River Gorge Proper > Endless Wall > N) The Undeserved Area,https://www.mountainproject.com/route/106874818/celibate-mallard,3.7,5.10c,5.10c,10,1,90,-81.05225,38.05632,The New River Gorge Region,New River Gorge Proper,Endless Wall,NA,0,0,"Start in an awkward, flared corner and continue directly up the sustained crack and corner system above, employing locks jams, liebacking and anything else you can come up with.  Finishes at shuts.","Gear to 4"".  Bolted anchor.","celibate mallard: start in an awkward, flared corner and continue directly up the sustained crack and corner system above, employing locks jams, liebacking and anything else you can come up with.  finishes at shuts.",-,crack,thin,-,-,0,0,0,0,0,1,1,0,0
WV,109094662,Mig Squadron,The New River Gorge Region > New River Gorge Proper > Endless Wall > N) The Undeserved Area,https://www.mountainproject.com/route/109094662/mig-squadron,3.6,5.10d,5.10d,10,1,80,-81.05225,38.05632,The New River Gorge Region,New River Gorge Proper,Endless Wall,NA,0,0,"Alternate finish to The Undeserved.  Start up that route, but when you can, traverse left on a few small holds and great feet.  Get established below a flaring corner and head straight up.","Standard rack.  Fixed bolt anchors, but you'll need directionals for TRing.","mig squadron: alternate finish to the undeserved.  start up that route, but when you can, traverse left on a few small holds and great feet.  get established below a flaring corner and head straight up.",-,traverse,-,-,great,0,1,1,0,0,1,1,0,0
WV,107953149,Oyster Cracker,The New River Gorge Region > New River Gorge Proper > Endless Wall > O) Kline Wall,https://www.mountainproject.com/route/107953149/oyster-cracker,3,5.10a,5.10a,10,1,75,-81.05105,38.05685,The New River Gorge Region,New River Gorge Proper,Endless Wall,NA,0.0011999999999972,5.29999999997699e-4,Right leaning orange colored flake. Cool moves and good gear up the flake to a small ledge just above two small roofs. Finishes up and to the right.,"Standard rack, mostly small to medium pro.  Bolted anchor.",oyster cracker: right leaning orange colored flake. cool moves and good gear up the flake to a small ledge just above two small roofs. finishes up and to the right.,-,"crack, flake, ledge, roof",-,-,"cool, good",0,1,0,0,0,1,1,0,0
WV,106263791,Skin the Thief,The New River Gorge Region > New River Gorge Proper > Endless Wall > O) Kline Wall,https://www.mountainproject.com/route/106263791/skin-the-thief,2,5.10a PG13,5.10a,10,1,50,-81.05105,38.05685,The New River Gorge Region,New River Gorge Proper,Endless Wall,NA,0,0,"Climb flake/crack to shallow corner, up & left through pocketed face, finish up & right to ring anchor",7 bolts to bolted anchor.,"skin the thief: climb flake/crack to shallow corner, up & left through pocketed face, finish up & right to ring anchor",-,"crack, face, flake, pocket",-,-,-,0,0,0,0,0,1,0,1,0
WV,123541544,Appetizer,The New River Gorge Region > New River Gorge Proper > Endless Wall > T) BBQ Babies Cave,https://www.mountainproject.com/route/123541544/appetizer,2.7,V0+,v0,0,1,10,-81.03875,38.05528,The New River Gorge Region,New River Gorge Proper,Endless Wall,NA,0.01230000000001041,-0.00156999999999385,Ascend the steep layback feature utilizing your hands and feet.,Pads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0
WV,112358317,Sweet Baby Rays,The New River Gorge Region > New River Gorge Proper > Endless Wall > T) BBQ Babies Cave,https://www.mountainproject.com/route/112358317/sweet-baby-rays,2.7,V7,v7,7,1,NA,-81.03875,38.05528,The New River Gorge Region,New River Gorge Proper,Endless Wall,NA,0,0,"Start on obvious jug triangle feature at about head high on the right side of the cave. Reach up and right to a nice edge, then left to a seam. Now maneuver this tricky section to reach the jug seams and finish on the good ledge right outside of the cave.",1-2 crash pads,"sweet baby rays: start on obvious jug triangle feature at about head high on the right side of the cave. reach up and right to a nice edge, then left to a seam. now maneuver this tricky section to reach the jug seams and finish on the good ledge right outside of the cave.",-,"jug, ledge",tricky,-,"good, nice",0,1,0,0,1,0,0,0,0
WV,112358352,Shoulder Shock,The New River Gorge Region > New River Gorge Proper > Endless Wall > T) BBQ Babies Cave,https://www.mountainproject.com/route/112358352/shoulder-shock,2,V6,v6,6,1,NA,-81.03875,38.05528,The New River Gorge Region,New River Gorge Proper,Endless Wall,NA,0,0,Starts sitting on a rock towards the middle-left side of the Bar B Que Cave. Hard first move up left to a decent side-pull edge. Hold the tension and come in right hand to a poor pinch. Move up into underclings and finish on the large undercling waco.,Crash Pads.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0
WV,117100727,High and Lively,The New River Gorge Region > New River Gorge Proper > Endless Wall > U) Upper Endless,https://www.mountainproject.com/route/117100727/high-and-lively,2.5,5.10b,5.10b,10,1,100,-81.05766,38.05508,The New River Gorge Region,New River Gorge Proper,Endless Wall,NA,-0.01891000000000531,-2.000000000066393e-4,"The route gets climbed maybe once a year by the curious climber seeking refuse from the beating The Cirque delivers. Alas, this route delivers quite a beating itself. The route takes a number of increasingly intimidating cracks, the finish is most likely the crux.Prepare for a little adventure, a crown of webbed insect carcasses will be your prize for this route-  enjoy.",Standard NRG rack singles on everything but #2 and #0.75 you will want 2 of each. No anchor-tree rappel.,"high and lively: the route gets climbed maybe once a year by the curious climber seeking refuse from the beating the cirque delivers. alas, this route delivers quite a beating itself. the route takes a number of increasingly intimidating cracks, the finish is most likely the crux.prepare for a little adventure, a crown of webbed insect carcasses will be your prize for this route-  enjoy.",-,"crack, crux",-,-,-,0,0,0,0,0,1,1,0,0
