route_id,route,location,url,avg_stars,rating,rating_simple,rating_int,pitches,length,x,y,region_1,region_2,region_3,region_4,x_diff,y_diff,description,protection,text,feature_tags,good_tags,other_tags,skill,bad_tags,bad_ind,good_ind,fun_ind,pretty_ind,sport_ind,trad_ind,boulder_ind,rope_ind,tr_ind
108420303,Burning Bright,Southwest Virginia (Appalachia) > Grayson Highlands State Park > Haw Orchard > Back of Beyond > Burning Boulder,https://www.mountainproject.com/route/108420303/burning-bright,3,V4,v4,4,1,7,-81.47622,36.6235,Southwest Virginia (Appalachia),Grayson Highlands State Park,Haw Orchard,NA,0,0,Stand start in the massive jug at the center of the thin crack line that runs vertically up the entirety of the steep face. Pull on and make a few steep moves to gain the slopey top out. Mantle over direct at the crack.,pads,burning bright: stand start in the massive jug at the center of the thin crack line that runs vertically up the entirety of the steep face. pull on and make a few steep moves to gain the slopey top out. mantle over direct at the crack.,"crack, face, jug, sloper",-,thin,mantle,-,0,0,0,0,0,0,1,0,0
108420331,Ignition Sequence,Southwest Virginia (Appalachia) > Grayson Highlands State Park > Haw Orchard > Back of Beyond > Burning Boulder,https://www.mountainproject.com/route/108420331/ignition-sequence,3,V4,v4,4,1,9,-81.47622,36.6235,Southwest Virginia (Appalachia),Grayson Highlands State Park,Haw Orchard,NA,0,0,"To the right of Burning Bright, past the middle blank section of the face, find the steep diagonal crack. Below the long jug rail is the undercling/sidepull sit start.  Start in the shallow but good undercling and the nice sidepull. Pop up to the long jug rail, and cross through to the thin crimp. Toss up to the notch at the lip for an easy top out with jugs.",pad/s,"ignition sequence: to the right of burning bright, past the middle blank section of the face, find the steep diagonal crack. below the long jug rail is the undercling/sidepull sit start.  start in the shallow but good undercling and the nice sidepull. pop up to the long jug rail, and cross through to the thin crimp. toss up to the notch at the lip for an easy top out with jugs.","crack, crimp, face, jug","easy, good, nice",thin,-,-,0,1,0,0,0,0,1,0,0
108945130,Calamity Arete,Southwest Virginia (Appalachia) > Grayson Highlands State Park > Haw Orchard > Back of Beyond > Calamity Boulder,https://www.mountainproject.com/route/108945130/calamity-arete,3,V3 R,v3,3,1,15,-81.47622,36.6235,Southwest Virginia (Appalachia),Grayson Highlands State Park,Haw Orchard,NA,0,0,"Sit start as per ""Calamity"" but instead of reaching up into the side-pull feature to top out direct, continue left off of the big jug/pinch to continue traversing the arête lip. Toss further left to a jug and top out over the slopey lip to better knobs.",pads!,"calamity arete: sit start as per ""calamity"" but instead of reaching up into the side-pull feature to top out direct, continue left off of the big jug/pinch to continue traversing the arête lip. toss further left to a jug and top out over the slopey lip to better knobs.","arete, jug, sloper",-,-,-,-,0,0,0,0,0,0,1,0,0
108908330,Calamity,Southwest Virginia (Appalachia) > Grayson Highlands State Park > Haw Orchard > Back of Beyond > Calamity Boulder,https://www.mountainproject.com/route/108908330/calamity,3,V4 X,v4,4,1,11,-81.47622,36.6235,Southwest Virginia (Appalachia),Grayson Highlands State Park,Haw Orchard,NA,0,0,"When climbing this one, don't fall.You can step off during the first few moves, but after that, just don't fall.Above the edgy blocks and the dark, deep, narrow pit, locate the low rails which are the low stand start to the line.Pull on and reach up to a nice incut crimp. Trend left to a large, flat ledge/pinch and match. Lurch up to the bad seam behind the large left facing feature, and then grab high to the positive top part of the feature (afterward bump you left up higher into a quality undercling in the seam). Pull high to gain two jams in a horizontal crack (jams also have positive edges). Top out.","There is no protecting this one. I suppose with an army of pads it would be less heady, but you would still have the pit to deal with...","calamity: when climbing this one, don't fall.you can step off during the first few moves, but after that, just don't fall.above the edgy blocks and the dark, deep, narrow pit, locate the low rails which are the low stand start to the line.pull on and reach up to a nice incut crimp. trend left to a large, flat ledge/pinch and match. lurch up to the bad seam behind the large left facing feature, and then grab high to the positive top part of the feature (afterward bump you left up higher into a quality undercling in the seam). pull high to gain two jams in a horizontal crack (jams also have positive edges). top out.","crack, crimp, ledge",nice,-,-,bad,1,1,0,0,0,0,1,0,0
108908448,Canis Dirus,Southwest Virginia (Appalachia) > Grayson Highlands State Park > Haw Orchard > Back of Beyond > Dire Wolf Boulders,https://www.mountainproject.com/route/108908448/canis-dirus,3,V7,v7,7,1,NA,-81.47622,36.6235,Southwest Virginia (Appalachia),Grayson Highlands State Park,Haw Orchard,NA,0,0,"The dire wolf (Canis dirus ""fearsome dog"") is an extinct carnivorous mammal of the genus Canis, and was of heavier build the extinct gray wolf. It was most common in North America and South America 10,000 years ago... Thanks Wikipedia.  On the right, longer section of the two boulders, walk past the long, feint middle seam and look for the low triangle/scoop jug under the wicked steepness to sit start matched on.  Pop up to a good incut/flake, and then move through smaller crimps to the right. Dyno to the left facing jug/lobe, and then top out direct.",pads,"canis dirus: the dire wolf (canis dirus ""fearsome dog"") is an extinct carnivorous mammal of the genus canis, and was of heavier build the extinct gray wolf. it was most common in north america and south america 10,000 years ago... thanks wikipedia.  on the right, longer section of the two boulders, walk past the long, feint middle seam and look for the low triangle/scoop jug under the wicked steepness to sit start matched on.  pop up to a good incut/flake, and then move through smaller crimps to the right. dyno to the left facing jug/lobe, and then top out direct.","crimp, flake, jug",good,-,dyno,-,0,1,0,0,0,0,1,0,0
113659931,Dream Thief,Southwest Virginia (Appalachia) > Grayson Highlands State Park > Haw Orchard > Back of Beyond > Dream Boulder,https://www.mountainproject.com/route/113659931/dream-thief,3,V8-9,v9,9,1,14,-81.47665,36.62346,Southwest Virginia (Appalachia),Grayson Highlands State Park,Haw Orchard,NA,-4.300000000085902e-4,-3.999999999848569e-5,"On the face to the left of the diagonal crack where Worm Burden is, find the high undercling shelf that is around head height.  Below this, find two low, feint crimp rails. These are the start holds.   Sit start on the feint crimps and make use of the large pocket as a foot hold.  Blast off the start to the undercling feature and continue on to top out at the deep crack over the lip as per ""Worm Burden""",pads,"dream thief: on the face to the left of the diagonal crack where worm burden is, find the high undercling shelf that is around head height.  below this, find two low, feint crimp rails. these are the start holds.   sit start on the feint crimps and make use of the large pocket as a foot hold.  blast off the start to the undercling feature and continue on to top out at the deep crack over the lip as per ""worm burden""","crack, crimp, face, pocket",-,-,-,-,0,0,0,0,0,0,1,0,0
113659902,Worm Burden,Southwest Virginia (Appalachia) > Grayson Highlands State Park > Haw Orchard > Back of Beyond > Dream Boulder,https://www.mountainproject.com/route/113659902/worm-burden,3,V4,v4,4,1,14,-81.47665,36.62346,Southwest Virginia (Appalachia),Grayson Highlands State Park,Haw Orchard,NA,0,0,This one is pretty crazy.   On the downhill-most face walk around to where you find the diagonal crack-seam.   Match the juggy bottom of the crack and follow it up using the knobby ramp for feet. Continue up the crack and top out still using the crack and any helpful ripples and knobs.,pads,worm burden: this one is pretty crazy.   on the downhill-most face walk around to where you find the diagonal crack-seam.   match the juggy bottom of the crack and follow it up using the knobby ramp for feet. continue up the crack and top out still using the crack and any helpful ripples and knobs.,"crack, face, jug",-,-,-,-,0,0,0,0,0,0,1,0,0
108972357,Dynosaur Direct,Southwest Virginia (Appalachia) > Grayson Highlands State Park > Haw Orchard > Back of Beyond > Evolution Block,https://www.mountainproject.com/route/108972357/dynosaur-direct,3,V2-3,v3,3,1,9,-81.47622,36.6235,Southwest Virginia (Appalachia),Grayson Highlands State Park,Haw Orchard,NA,4.300000000085902e-4,3.999999999848569e-5,"Sit start on the front left of the boulder in the obvious deep rail. Make a big move high to the slot, then mantle over the top lip",pad/s,"dynosaur direct: sit start on the front left of the boulder in the obvious deep rail. make a big move high to the slot, then mantle over the top lip",-,-,-,"dyno, mantle",-,0,0,0,0,0,0,1,0,0
109509466,Amanitas Arête,Southwest Virginia (Appalachia) > Grayson Highlands State Park > Haw Orchard > Back of Beyond > Fungi Boulder,https://www.mountainproject.com/route/109509466/amanitas-arete,3,V2,v2,2,1,12,-81.47622,36.6235,Southwest Virginia (Appalachia),Grayson Highlands State Park,Haw Orchard,NA,0,0,"This is a great climb up a sweeping, easy, tall arete.  Start very low at the left arete on a nice flat rail. Climb up through the higher big features and then the thinner holds before the crack above. Gain the good crack and follow the crack to the top. Top out with holds at the top of the crack.",pads,"amanitas arête: this is a great climb up a sweeping, easy, tall arete.  start very low at the left arete on a nice flat rail. climb up through the higher big features and then the thinner holds before the crack above. gain the good crack and follow the crack to the top. top out with holds at the top of the crack.","arete, crack","easy, good, great, nice",thin,-,-,0,1,1,0,0,0,1,0,0
109509458,Death Cap,Southwest Virginia (Appalachia) > Grayson Highlands State Park > Haw Orchard > Back of Beyond > Fungi Boulder,https://www.mountainproject.com/route/109509458/death-cap,3,V3-4,v4,4,1,11,-81.47622,36.6235,Southwest Virginia (Appalachia),Grayson Highlands State Park,Haw Orchard,NA,0,0,"At the left steep face, locate the low juggy ledge at the right corner. Start low matched here and break left off the start to a sloper and slopped flat edge. Continue up to the small lobe and left again to the far left arete. Use the higher steep crimp edge to help slap up the left arete, and climb to the apex of the steep face. Top out to the left side once at the top.",pads,"death cap: at the left steep face, locate the low juggy ledge at the right corner. start low matched here and break left off the start to a sloper and slopped flat edge. continue up to the small lobe and left again to the far left arete. use the higher steep crimp edge to help slap up the left arete, and climb to the apex of the steep face. top out to the left side once at the top.","arete, crimp, face, jug, ledge, sloper",-,-,-,-,0,0,0,0,0,0,1,0,0
109509481,Black Trumpet,Southwest Virginia (Appalachia) > Grayson Highlands State Park > Haw Orchard > Back of Beyond > Fungi Boulder,https://www.mountainproject.com/route/109509481/black-trumpet,3,V2-3,v3,3,1,13,-81.47622,36.6235,Southwest Virginia (Appalachia),Grayson Highlands State Park,Haw Orchard,NA,0,0,"Tall and pretty scary, although always on easy slab terrain.  Start low on a lower, long, flad rail. This climb is located and always stays in-between the left arete and the right arete/runnel. Stay and climb only on the face between the two and top out up top over the start.  Off the start rail, continue up past big moves and pasted feet to gain the big pockets higher up. Stand up to gain slopey higher holds to a sketchy final reach to the flat top.",pads!,"black trumpet: tall and pretty scary, although always on easy slab terrain.  start low on a lower, long, flad rail. this climb is located and always stays in-between the left arete and the right arete/runnel. stay and climb only on the face between the two and top out up top over the start.  off the start rail, continue up past big moves and pasted feet to gain the big pockets higher up. stand up to gain slopey higher holds to a sketchy final reach to the flat top.","arete, face, pocket, slab, sloper",easy,scary,-,-,0,1,0,0,0,0,1,0,0
108394869,Holocene,Southwest Virginia (Appalachia) > Grayson Highlands State Park > Haw Orchard > Back of Beyond > Holocene Boulder,https://www.mountainproject.com/route/108394869/holocene,3,V2,v2,2,1,9,-81.47622,36.6235,Southwest Virginia (Appalachia),Grayson Highlands State Park,Haw Orchard,NA,0,0,"Sit start on the front, long, jug ledge under the steep section. Reach out to fun slopey jugs at the lip, and balance over to walk off.",pads,"holocene: sit start on the front, long, jug ledge under the steep section. reach out to fun slopey jugs at the lip, and balance over to walk off.","jug, ledge, sloper",fun,-,balance,-,0,1,1,0,0,0,1,0,0
113659834,Kingdom Come,Southwest Virginia (Appalachia) > Grayson Highlands State Park > Haw Orchard > Back of Beyond > King Boulder,https://www.mountainproject.com/route/113659834/kingdom-come,3,V1,v1,1,1,18,-81.47669,36.6235,Southwest Virginia (Appalachia),Grayson Highlands State Park,Haw Orchard,NA,-4.7000000000707587e-4,0,"In between the King and Dream corridor you will find three trees growing beside the slab face of the King Boulder. This line climbs the face in-between the first two trees.  Stand start on small knobs with an interesting starting foot that is a white ""egg-like"" cobble.  Climb the tall slab through more fin knobs, nice in-cut rails and deep jugs higher up.   Gain the top spine and negotiate the spine back over to the uphill end to scramble off.",pads!,"kingdom come: in between the king and dream corridor you will find three trees growing beside the slab face of the king boulder. this line climbs the face in-between the first two trees.  stand start on small knobs with an interesting starting foot that is a white ""egg-like"" cobble.  climb the tall slab through more fin knobs, nice in-cut rails and deep jugs higher up.   gain the top spine and negotiate the spine back over to the uphill end to scramble off.","face, jug, slab","interesting, nice",-,-,-,0,1,0,0,0,0,1,0,0
113659842,King of The Castle,Southwest Virginia (Appalachia) > Grayson Highlands State Park > Haw Orchard > Back of Beyond > King Boulder,https://www.mountainproject.com/route/113659842/king-of-the-castle,3,V0-1,v1,1,1,18,-81.47669,36.6235,Southwest Virginia (Appalachia),Grayson Highlands State Park,Haw Orchard,NA,0,0,"To the further right of the inside face in the corridor between the King and Dream Boulders, this line climbs the slab face that is between the two lower trees.  Stand start with two knobs (left hand knob is red, right hand knob is whiteish). Climb up the fun, tall, slabbed face past crimp rails and knobs to the jugs higher up.  Gain the top spine lip of the boulder and negotiate the spine of the boulder to the uphill end to scramble off.",pads!,"king of the castle: to the further right of the inside face in the corridor between the king and dream boulders, this line climbs the slab face that is between the two lower trees.  stand start with two knobs (left hand knob is red, right hand knob is whiteish). climb up the fun, tall, slabbed face past crimp rails and knobs to the jugs higher up.  gain the top spine lip of the boulder and negotiate the spine of the boulder to the uphill end to scramble off.","crimp, face, jug, slab",fun,-,-,-,0,1,1,0,0,0,1,0,0
