year,film,category,winner,has_indicators,name,mpaa_rating,rating_imdb,rating_rtaudience,rating_rtcritic,release_date,format,genre_action,genre_adventure,genre_biography,genre_comedy,genre_crime,genre_drama,genre_family,genre_fantasy,genre_filmnoir,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_sci-fi,genre_sport,genre_thriller,genre_war,genre_western
1961,The Sundowners,BEST PICTURE,0,TRUE,"Fred Zinnemann, Producer",UNRATED,7.2,62,78,1961-02-28,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,Goliath Ii,SHORT FILM (Animated),0,TRUE,"Walt Disney, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,High Note,SHORT FILM (Animated),0,TRUE,Warner Bros.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Mouse And Garden,SHORT FILM (Animated),0,TRUE,Warner Bros.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Munro,SHORT FILM (Animated),1,TRUE,"William L. Snyder, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,A Place In The Sun,SHORT FILM (Animated),0,TRUE,"Frantisek Vystrecil, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,The Creation Of Woman,SHORT FILM (Live Action),0,TRUE,"Charles F. Schwep and Ismail Merchant, Producers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Day Of The Painter,SHORT FILM (Live Action),1,TRUE,"Ezra R. Baker, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Islands Of The Sea,SHORT FILM (Live Action),0,TRUE,"Walt Disney, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,A Sport Is Born,SHORT FILM (Live Action),0,TRUE,"Leslie Winik, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,The Last Voyage,VISUAL EFFECTS,0,TRUE,Visual Effects by A.J. Lohman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,The Time Machine,VISUAL EFFECTS,1,TRUE,"Visual Effects by Gene Warren, Tim Baar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,La Grande Olimpiade (Olympic Games 1960),DOCUMENTARY (Feature),0,TRUE,"dell Istituto Nazionale Luce, Comitato Organizzatore Del Giochi Della XVII Olimpiade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Le Ciel Et La Boue (Sky Above And Mud Beneath),DOCUMENTARY (Feature),1,TRUE,"Arthur Cohn and Rene Lafuite, Producers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Breaking The Language Barrier,DOCUMENTARY (Short Subject),0,TRUE,United States Air Force,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Cradle Of Genius,DOCUMENTARY (Short Subject),0,TRUE,"Jim O'Connor and Tom Hayes, Producers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Kahl,DOCUMENTARY (Short Subject),0,TRUE,Dido-Film-GmbH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,L'uomo In Grigio (The Man In Gray),DOCUMENTARY (Short Subject),0,TRUE,"Benedetto Benedetti, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Project Hope,DOCUMENTARY (Short Subject),1,TRUE,"Frank P. Bibas, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Harry And The Butler,INTERNATIONAL FEATURE FILM,0,TRUE,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Immortal Love,INTERNATIONAL FEATURE FILM,0,TRUE,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,The Important Man,INTERNATIONAL FEATURE FILM,0,TRUE,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Placido,INTERNATIONAL FEATURE FILM,0,TRUE,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Through A Glass Darkly,INTERNATIONAL FEATURE FILM,1,TRUE,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Breakfast At Tiffany's,MUSIC (Original Score),1,TRUE,Henry Mancini,NOT RATED,7.7,91,88,1961-10-05,NA,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1962,El Cid,MUSIC (Original Score),0,TRUE,Miklos Rozsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Fanny,MUSIC (Original Score),0,TRUE,"Morris Stoloff, Harry Sukman",NA,7.1,94,100,1961-06-28,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1962,The Guns Of Navarone,MUSIC (Original Score),0,TRUE,Dimitri Tiomkin,NA,7.6,86,95,1961-06-22,NA,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,Summer And Smoke,MUSIC (Original Score),0,TRUE,Elmer Bernstein,NA,7.9,60,85.0704483074108,1962-04,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1962,Babes In Toyland,MUSIC (Original Song Score or Adaptation Score),0,TRUE,George Bruns,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Flower Drum Song,MUSIC (Original Song Score or Adaptation Score),0,TRUE,"Alfred Newman, Ken Darby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Khovanshchina,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Dimitri Shostakovich,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Paris Blues,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Duke Ellington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,West Side Story,MUSIC (Original Song Score or Adaptation Score),1,TRUE,"Saul Chaplin, Johnny Green, Sid Ramin, Irwin Kostal",UNRATED,7.6,84,94,1961-12-23,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,Fanny,BEST PICTURE,0,TRUE,"Joshua Logan, Producer",NA,7.1,94,100,1961-06-28,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1962,The Guns Of Navarone,BEST PICTURE,0,TRUE,"Carl Foreman, Producer",NA,7.6,86,95,1961-06-22,NA,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,The Hustler,BEST PICTURE,0,TRUE,"Robert Rossen, Producer",UNRATED,8,93,98,1961-10-27,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1962,Judgment At Nuremberg,BEST PICTURE,0,TRUE,"Stanley Kramer, Producer",NOT RATED,8.3,93,90,1961-12-18,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
