route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Funkadelic,Funk Rock City > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105866459/funkadelic,2.9,Sport,5.10b,1,95,37.8029,-83.5762
Red Hot Chilli Pepper,Funk Rock City > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105869231/red-hot-chilli-pepper,2.9,"Trad, Sport",5.10d,1,90,37.8029,-83.5762
Drop the Anchor,Eastern Sky Bridge Ridge > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105870321/drop-the-anchor,2.1,Sport,5.9-,1,60,37.81596,-83.58104
Jack in the Pulpit,Eastern Sky Bridge Ridge > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105917977/jack-in-the-pulpit,3.1,Sport,5.10d,1,70,37.81596,-83.58104
Toxic Avenger,Wall of Denial > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105880984/toxic-avenger,3.1,Sport,5.10d,1,60,37.82158,-83.56031
Captain One Eye,Purple Valley > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105870336/captain-one-eye,2.5,Sport,5.10a,1,70,37.90083,-83.63815
Come In Your Lycra,Purple Valley > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105977711/come-in-your-lycra,3.1,Sport,5.10b,1,45,37.90083,-83.63815
5.11 Jimmy and Spike Go Craggin',Purple Valley > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106176804/511-jimmy-and-spike-go-craggin,2.6,Sport,5.10b,1,40,37.90083,-83.63815
A Way of Life,Purple Valley > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107717986/a-way-of-life,2.2,Sport,5.10b,1,60,37.90083,-83.63815
Coffee Talk,Purple Valley > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106641255/coffee-talk,2,Sport,5.10c,1,60,37.90083,-83.63815
Face Up To That Crack,Left Flank > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105860667/face-up-to-that-crack,2.7,"Trad, Sport",5.8,1,70,37.81449,-83.66388
Mr. Bungle,Left Flank > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105860693/mr-bungle,2.5,Sport,5.8,1,60,37.81449,-83.66388
Brother Stair,Left Flank > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105866353/brother-stair,2.1,Sport,5.9+,1,40,37.81449,-83.66388
Fast Food Christians,Left Flank > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105860661/fast-food-christians,1.8,Sport,5.10a,1,NA,37.81449,-83.66388
To Defy the Laws of Tradition,Left Flank > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105860648/to-defy-the-laws-of-tradition,3.3,Sport,5.10-,1,60,37.81449,-83.66388
Mercy Miss Percy,Military Wall > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105870271/mercy-miss-percy,1.5,Sport,5.9,1,50,37.8159,-83.66918
Sunshine,Military Wall > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105891673/sunshine,2.4,Sport,5.9,1,50,37.8159,-83.66918
Moonbeam,Military Wall > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105891677/moonbeam,2.3,Sport,5.9,1,50,37.8159,-83.66918
Stay Left,Military Wall > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105870266/stay-left,1.7,Sport,5.10a,1,50,37.8159,-83.66918
Danita Dolores,Military Wall > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105870198/danita-dolores,2.5,Sport,5.10,1,60,37.8159,-83.66918
In the Light,Military Wall > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105891681/in-the-light,2.5,Sport,5.10c,1,50,37.8159,-83.66918
Possum Lips,Military Wall > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105870248/possum-lips,2.7,Sport,5.10d,1,50,37.8159,-83.66918
