hex,rank,emoji,year,category,subcategory,name,source
\x{1F602},1,😂,2014,Smileys & Emotion,face-smiling,face with tears of joy,2019
\x{2764 FE0F},2,❤️,1995,Smileys & Emotion,emotion,red heart,2019
\x{1F60D},3,😍,2014,Smileys & Emotion,face-affection,smiling face with heart-eyes,2019
\x{1F923},4,🤣,2016,Smileys & Emotion,face-smiling,rolling on the floor laughing,2019
\x{1F60A},5,😊,2014,Smileys & Emotion,face-smiling,smiling face with smiling eyes,2019
\x{1F64F},6,🙏,2014,People & Body,hands,folded hands,2019
\x{1F495},7,💕,2014,Smileys & Emotion,emotion,two hearts,2019
\x{1F62D},8,😭,2014,Smileys & Emotion,face-concerned,loudly crying face,2019
\x{1F618},9,😘,2014,Smileys & Emotion,face-affection,face blowing a kiss,2019
\x{1F44D},10,👍,2014,People & Body,hand-fingers-closed,thumbs up,2019
\x{1F605},11,😅,2014,Smileys & Emotion,face-smiling,grinning face with sweat,2019
\x{1F44F},12,👏,2014,People & Body,hands,clapping hands,2019
\x{1F601},13,😁,2014,Smileys & Emotion,face-smiling,beaming face with smiling eyes,2019
\x{2665 FE0F},14,♥️,1995,Activities,game,heart suit,2019
\x{1F525},15,🔥,2015,Travel & Places,sky & weather,fire,2019
\x{1F970},16,🥰,2018,Smileys & Emotion,face-affection,smiling face with hearts,2019
\x{1F494},17,💔,2014,Smileys & Emotion,emotion,broken heart,2019
\x{1F496},18,💖,2014,Smileys & Emotion,emotion,sparkling heart,2019
\x{1F499},19,💙,2014,Smileys & Emotion,emotion,blue heart,2019
\x{1F622},20,😢,2014,Smileys & Emotion,face-concerned,crying face,2019
\x{1F914},21,🤔,2015,Smileys & Emotion,face-hand,thinking face,2019
\x{1F606},22,😆,2014,Smileys & Emotion,face-smiling,grinning squinting face,2019
\x{1F644},23,🙄,2014,Smileys & Emotion,face-neutral-skeptical,face with rolling eyes,2019
\x{1F4AA},24,💪,2014,People & Body,body-parts,flexed biceps,2019
\x{1F609},25,😉,2014,Smileys & Emotion,face-smiling,winking face,2019
\x{263A FE0F},26,☺️,1995,Smileys & Emotion,face-affection,smiling face,2019
\x{1F44C},27,👌,2014,People & Body,hand-fingers-partial,OK hand,2019
\x{1F917},28,🤗,2015,Smileys & Emotion,face-hand,hugging face,2019
\x{1F49C},29,💜,2014,Smileys & Emotion,emotion,purple heart,2019
\x{1F614},30,😔,2014,Smileys & Emotion,face-sleepy,pensive face,2019
\x{1F60E},31,😎,2014,Smileys & Emotion,face-glasses,smiling face with sunglasses,2019
\x{1F607},32,😇,2014,Smileys & Emotion,face-smiling,smiling face with halo,2019
\x{1F339},33,🌹,2014,Animals & Nature,plant-flower,rose,2019
\x{1F926},34,🤦,2016,People & Body,person-gesture,person facepalming,2019
\x{1F389},35,🎉,2014,Activities,event,party popper,2019
\x{203C FE0F},36,‼️,1995,Symbols,other-symbol,double exclamation mark,2019
\x{1F49E},37,💞,2014,Smileys & Emotion,emotion,revolving hearts,2019
\x{270C FE0F},38,✌️,1995,People & Body,hand-fingers-partial,victory hand,2019
\x{2728},39,✨,2010,Activities,event,sparkles,2019
\x{1F937},40,🤷,2016,People & Body,person-gesture,person shrugging,2019
\x{1F631},41,😱,2014,Smileys & Emotion,face-concerned,face screaming in fear,2019
\x{1F60C},42,😌,2014,Smileys & Emotion,face-sleepy,relieved face,2019
\x{1F338},43,🌸,2014,Animals & Nature,plant-flower,cherry blossom,2019
\x{1F64C},44,🙌,2014,People & Body,hands,raising hands,2019
\x{1F60B},45,😋,2014,Smileys & Emotion,face-tongue,face savoring food,2019
\x{1F497},46,💗,2014,Smileys & Emotion,emotion,growing heart,2019
\x{1F49A},47,💚,2014,Smileys & Emotion,emotion,green heart,2019
\x{1F60F},48,😏,2014,Smileys & Emotion,face-neutral-skeptical,smirking face,2019
\x{1F49B},49,💛,2014,Smileys & Emotion,emotion,yellow heart,2019
\x{1F642},50,🙂,2014,Smileys & Emotion,face-smiling,slightly smiling face,2019
\x{1F493},51,💓,2014,Smileys & Emotion,emotion,beating heart,2019
\x{1F929},52,🤩,2017,Smileys & Emotion,face-affection,star-struck,2019
\x{1F604},53,😄,2014,Smileys & Emotion,face-smiling,grinning face with smiling eyes,2019
\x{1F600},54,😀,2014,Smileys & Emotion,face-smiling,grinning face,2019
\x{1F5A4},55,🖤,2016,Smileys & Emotion,emotion,black heart,2019
\x{1F603},56,😃,2014,Smileys & Emotion,face-smiling,grinning face with big eyes,2019
\x{1F4AF},57,💯,2014,Smileys & Emotion,emotion,hundred points,2019
\x{1F648},58,🙈,2014,Smileys & Emotion,monkey-face,see-no-evil monkey,2019
\x{1F447},59,👇,2014,People & Body,hand-single-finger,backhand index pointing down,2019
\x{1F3B6},60,🎶,2014,Objects,music,musical notes,2019
\x{1F612},61,😒,2014,Smileys & Emotion,face-neutral-skeptical,unamused face,2019
\x{1F92D},62,🤭,2017,Smileys & Emotion,face-hand,face with hand over mouth,2019
\x{2763 FE0F},63,❣️,1995,Smileys & Emotion,emotion,heart exclamation,2019
\x{2757},64,❗,2009,Symbols,other-symbol,exclamation mark,2019
\x{1F61C},65,😜,2014,Smileys & Emotion,face-tongue,winking face with tongue,2019
\x{1F48B},66,💋,2014,Smileys & Emotion,emotion,kiss mark,2019
\x{1F440},67,👀,2014,People & Body,body-parts,eyes,2019
\x{1F62A},68,😪,2014,Smileys & Emotion,face-sleepy,sleepy face,2019
\x{1F611},69,😑,2014,Smileys & Emotion,face-neutral-skeptical,expressionless face,2019
\x{1F4A5},70,💥,2014,Smileys & Emotion,emotion,collision,2019
\x{1F64B},71,🙋,2014,People & Body,person-gesture,person raising hand,2019
\x{1F61E},72,😞,2014,Smileys & Emotion,face-concerned,disappointed face,2019
\x{1F629},73,😩,2014,Smileys & Emotion,face-concerned,weary face,2019
\x{1F621},74,😡,2014,Smileys & Emotion,face-negative,pouting face,2019
\x{1F92A},75,🤪,2017,Smileys & Emotion,face-tongue,zany face,2019
\x{1F44A},76,👊,2014,People & Body,hand-fingers-closed,oncoming fist,2019
\x{2600 FE0F},77,☀️,1995,Travel & Places,sky & weather,sun,2019
\x{1F973},78,🥳,2018,Smileys & Emotion,face-hat,partying face,2019
\x{1F625},79,😥,2014,Smileys & Emotion,face-concerned,sad but relieved face,2019
\x{1F924},80,🤤,2016,Smileys & Emotion,face-sleepy,drooling face,2019
\x{1F449},81,👉,2014,People & Body,hand-single-finger,backhand index pointing right,2019
\x{1F483},82,💃,2014,People & Body,person-activity,woman dancing,2019
\x{1F633},83,😳,2014,Smileys & Emotion,face-concerned,flushed face,2019
\x{270B},84,✋,1995,People & Body,hand-fingers-open,raised hand,2019
\x{1F61A},85,😚,2014,Smileys & Emotion,face-affection,kissing face with closed eyes,2019
\x{1F61D},86,😝,2014,Smileys & Emotion,face-tongue,squinting face with tongue,2019
\x{1F634},87,😴,2014,Smileys & Emotion,face-sleepy,sleeping face,2019
\x{1F31F},88,🌟,2010,Travel & Places,sky & weather,glowing star,2019
\x{1F62C},89,😬,2014,Smileys & Emotion,face-neutral-skeptical,grimacing face,2019
\x{1F643},90,🙃,2014,Smileys & Emotion,face-smiling,upside-down face,2019
\x{1F340},91,🍀,2014,Animals & Nature,plant-other,four leaf clover,2019
\x{1F337},92,🌷,2014,Animals & Nature,plant-flower,tulip,2019
\x{1F63B},93,😻,2014,Smileys & Emotion,cat-face,smiling cat with heart-eyes,2019
\x{1F613},94,😓,2014,Smileys & Emotion,face-concerned,downcast face with sweat,2019
\x{2B50},95,⭐,2008,Travel & Places,sky & weather,star,2019
\x{2705},96,✅,2010,Symbols,other-symbol,check mark button,2019
\x{1F97A},97,🥺,2018,Smileys & Emotion,face-concerned,pleading face,2019
\x{1F308},98,🌈,2010,Travel & Places,sky & weather,rainbow,2019
\x{1F608},99,😈,2014,Smileys & Emotion,face-negative,smiling face with horns,2019
\x{1F918},100,🤘,2015,People & Body,hand-fingers-partial,sign of the horns,2019
\x{1F4A6},101,💦,2014,Smileys & Emotion,emotion,sweat droplets,2019
\x{2714 FE0F},102,✔️,1995,Symbols,other-symbol,check mark,2019
\x{1F623},103,😣,2014,Smileys & Emotion,face-concerned,persevering face,2019
\x{1F3C3},104,🏃,2014,People & Body,person-activity,person running,2019
\x{1F490},105,💐,2014,Animals & Nature,plant-flower,bouquet,2019
\x{2639 FE0F},106,☹️,1995,Smileys & Emotion,face-concerned,frowning face,2019
\x{1F38A},107,🎊,2014,Activities,event,confetti ball,2019
\x{1F498},108,💘,2014,Smileys & Emotion,emotion,heart with arrow,2019
\x{1F620},109,😠,2014,Smileys & Emotion,face-negative,angry face,2019
\x{261D FE0F},110,☝️,1995,People & Body,hand-single-finger,index pointing up,2019
\x{1F615},111,😕,2014,Smileys & Emotion,face-concerned,confused face,2019
\x{1F33A},112,🌺,2014,Animals & Nature,plant-flower,hibiscus,2019
\x{1F382},113,🎂,2014,Food & Drink,food-sweet,birthday cake,2019
\x{1F33B},114,🌻,2014,Animals & Nature,plant-flower,sunflower,2019
\x{1F610},115,😐,2014,Smileys & Emotion,face-neutral-skeptical,neutral face,2019
\x{1F595},116,🖕,2014,People & Body,hand-single-finger,middle finger,2019
\x{1F49D},117,💝,2014,Smileys & Emotion,emotion,heart with ribbon,2019
\x{1F64A},118,🙊,2014,Smileys & Emotion,monkey-face,speak-no-evil monkey,2019
\x{1F639},119,😹,2014,Smileys & Emotion,cat-face,cat with tears of joy,2019
\x{1F5E3 FE0F},120,🗣️,2014,People & Body,person-symbol,speaking head,2019
\x{1F4AB},121,💫,2014,Smileys & Emotion,emotion,dizzy,2019
\x{1F480},122,💀,2014,Smileys & Emotion,face-negative,skull,2019
\x{1F451},123,👑,2014,Objects,clothing,crown,2019
\x{1F3B5},124,🎵,2014,Objects,music,musical note,2019
\x{1F91E},125,🤞,2016,People & Body,hand-fingers-partial,crossed fingers,2019
\x{1F61B},126,😛,2014,Smileys & Emotion,face-tongue,face with tongue,2019
\x{1F534},127,🔴,2015,Symbols,geometric,red circle,2019
\x{1F624},128,😤,2014,Smileys & Emotion,face-negative,face with steam from nose,2019
\x{1F33C},129,🌼,2014,Animals & Nature,plant-flower,blossom,2019
\x{1F62B},130,😫,2014,Smileys & Emotion,face-concerned,tired face,2019
\x{26BD},131,⚽,2009,Activities,sport,soccer ball,2019
\x{1F919},132,🤙,2016,People & Body,hand-fingers-partial,call me hand,2019
\x{2615},133,☕,2003,Food & Drink,drink,hot beverage,2019
\x{1F3C6},134,🏆,2014,Activities,award-medal,trophy,2019
\x{1F9E1},135,🧡,2017,Smileys & Emotion,emotion,orange heart,2019
\x{1F381},136,🎁,2014,Activities,event,wrapped gift,2019
\x{26A1},137,⚡,2003,Travel & Places,sky & weather,high voltage,2019
\x{1F31E},138,🌞,2010,Travel & Places,sky & weather,sun with face,2019
\x{1F388},139,🎈,2014,Activities,event,balloon,2019
\x{274C},140,❌,2010,Symbols,other-symbol,cross mark,2019
\x{270A},141,✊,1995,People & Body,hand-fingers-closed,raised fist,2019
\x{1F44B},142,👋,2014,People & Body,hand-fingers-open,waving hand,2019
\x{1F632},143,😲,2014,Smileys & Emotion,face-concerned,astonished face,2019
\x{1F33F},144,🌿,2014,Animals & Nature,plant-other,herb,2019
\x{1F92B},145,🤫,2017,Smileys & Emotion,face-hand,shushing face,2019
\x{1F448},146,👈,2014,People & Body,hand-single-finger,backhand index pointing left,2019
\x{1F62E},147,😮,2014,Smileys & Emotion,face-concerned,face with open mouth,2019
\x{1F646},148,🙆,2014,People & Body,person-gesture,person gesturing OK,2019
\x{1F37B},149,🍻,2014,Food & Drink,drink,clinking beer mugs,2019
\x{1F343},150,🍃,2014,Animals & Nature,plant-other,leaf fluttering in wind,2019
\x{1F436},151,🐶,2014,Animals & Nature,animal-mammal,dog face,2019
\x{1F481},152,💁,2014,People & Body,person-gesture,person tipping hand,2019
\x{1F630},153,😰,2014,Smileys & Emotion,face-concerned,anxious face with sweat,2019
\x{1F928},154,🤨,2017,Smileys & Emotion,face-neutral-skeptical,face with raised eyebrow,2019
\x{1F636},155,😶,2014,Smileys & Emotion,face-neutral-skeptical,face without mouth,2019
\x{1F91D},156,🤝,2016,People & Body,hands,handshake,2019
\x{1F6B6},157,🚶,2010,People & Body,person-activity,person walking,2019
\x{1F4B0},158,💰,2014,Objects,money,money bag,2019
\x{1F353},159,🍓,2014,Food & Drink,food-fruit,strawberry,2019
\x{1F4A2},160,💢,2014,Smileys & Emotion,emotion,anger symbol,2019
\x{1F1FA 1F1F8},161,🇺🇸,2010,Flags,country-flag,flag: United States,2019
\x{1F91F},162,🤟,2017,People & Body,hand-fingers-partial,love-you gesture,2019
\x{1F641},163,🙁,2014,Smileys & Emotion,face-concerned,slightly frowning face,2019
\x{1F6A8},164,🚨,2010,Travel & Places,transport-ground,police car light,2019
\x{1F4A8},165,💨,2014,Smileys & Emotion,emotion,dashing away,2019
\x{1F92C},166,🤬,2017,Smileys & Emotion,face-negative,face with symbols on mouth,2019
\x{2708 FE0F},167,✈️,1995,Travel & Places,transport-air,airplane,2019
\x{1F380},168,🎀,2014,Activities,event,ribbon,2019
\x{1F37A},169,🍺,2014,Food & Drink,drink,beer mug,2019
\x{1F913},170,🤓,2015,Smileys & Emotion,face-glasses,nerd face,2019
\x{1F619},171,😙,2014,Smileys & Emotion,face-affection,kissing face with smiling eyes,2019
\x{1F49F},172,💟,2014,Smileys & Emotion,emotion,heart decoration,2019
\x{1F331},173,🌱,2014,Animals & Nature,plant-other,seedling,2019
\x{1F616},174,😖,2014,Smileys & Emotion,face-concerned,confounded face,2019
\x{1F476},175,👶,2014,People & Body,person,baby,2019
\x{1F974},176,🥴,2018,Smileys & Emotion,face-unwell,woozy face,2019
\x{25B6 FE0F},177,▶️,1995,Symbols,av-symbol,play button,2019
\x{27A1 FE0F},178,➡️,1995,Symbols,arrow,right arrow,2019
\x{2753},179,❓,2010,Symbols,other-symbol,question mark,2019
\x{1F48E},180,💎,2014,Objects,clothing,gem stone,2019
\x{1F4B8},181,💸,2014,Objects,money,money with wings,2019
\x{2B07 FE0F},182,⬇️,2003,Symbols,arrow,down arrow,2019
\x{1F628},183,😨,2014,Smileys & Emotion,face-concerned,fearful face,2019
\x{1F31A},184,🌚,2010,Travel & Places,sky & weather,new moon face,2019
\x{1F98B},185,🦋,2016,Animals & Nature,animal-bug,butterfly,2019
\x{1F637},186,😷,2014,Smileys & Emotion,face-unwell,face with medical mask,2019
\x{1F57A},187,🕺,2016,People & Body,person-activity,man dancing,2019
\x{26A0 FE0F},188,⚠️,2003,Symbols,warning,warning,2019
\x{1F645},189,🙅,2014,People & Body,person-gesture,person gesturing NO,2019
\x{1F61F},190,😟,2014,Smileys & Emotion,face-concerned,worried face,2019
\x{1F635},191,😵,2014,Smileys & Emotion,face-unwell,dizzy face,2019
\x{1F44E},192,👎,2014,People & Body,hand-fingers-closed,thumbs down,2019
\x{1F932},193,🤲,2017,People & Body,hands,palms up together,2019
\x{1F920},194,🤠,2016,Smileys & Emotion,face-hat,cowboy hat face,2019
\x{1F927},195,🤧,2016,Smileys & Emotion,face-unwell,sneezing face,2019
\x{1F4CC},196,📌,2014,Objects,office,pushpin,2019
\x{1F535},197,🔵,2015,Symbols,geometric,blue circle,2019
\x{1F485},198,💅,2014,People & Body,hand-prop,nail polish,2019
\x{1F9D0},199,🧐,2017,Smileys & Emotion,face-glasses,face with monocle,2019
\x{1F43E},200,🐾,2014,Animals & Nature,animal-mammal,paw prints,2019
\x{1F352},201,🍒,2014,Food & Drink,food-fruit,cherries,2019
\x{1F617},202,😗,2014,Smileys & Emotion,face-affection,kissing face,2019
\x{1F911},203,🤑,2015,Smileys & Emotion,face-tongue,money-mouth face,2019
\x{1F680},204,🚀,2010,Travel & Places,transport-air,rocket,2019
\x{1F30A},205,🌊,2010,Travel & Places,sky & weather,water wave,2019
\x{1F92F},206,🤯,2017,Smileys & Emotion,face-unwell,exploding head,2019
\x{1F437},207,🐷,2014,Animals & Nature,animal-mammal,pig face,2019
\x{260E FE0F},208,☎️,1995,Objects,phone,telephone,2019
\x{1F4A7},209,💧,2014,Travel & Places,sky & weather,droplet,2019
\x{1F62F},210,😯,2014,Smileys & Emotion,face-concerned,hushed face,2019
\x{1F486},211,💆,2014,People & Body,person-activity,person getting massage,2019
\x{1F446},212,👆,2014,People & Body,hand-single-finger,backhand index pointing up,2019
\x{1F3A4},213,🎤,2014,Objects,music,microphone,2019
\x{1F647},214,🙇,2014,People & Body,person-gesture,person bowing,2019
\x{1F351},215,🍑,2014,Food & Drink,food-fruit,peach,2019
\x{2744 FE0F},216,❄️,1995,Travel & Places,sky & weather,snowflake,2019
\x{1F334},217,🌴,2014,Animals & Nature,plant-other,palm tree,2019
\x{1F1E7 1F1F7},218,🇧🇷,2010,Flags,country-flag,flag: Brazil,2019
\x{1F4A3},219,💣,2014,Smileys & Emotion,emotion,bomb,2019
\x{1F438},220,🐸,2014,Animals & Nature,animal-amphibian,frog,2019
\x{1F48C},221,💌,2014,Smileys & Emotion,emotion,love letter,2019
\x{1F4CD},222,📍,2014,Objects,office,round pushpin,2019
\x{1F940},223,🥀,2016,Animals & Nature,plant-flower,wilted flower,2019
\x{1F922},224,🤢,2016,Smileys & Emotion,face-unwell,nauseated face,2019
\x{1F445},225,👅,2014,People & Body,body-parts,tongue,2019
\x{1F4A1},226,💡,2014,Objects,light & video,light bulb,2019
\x{1F4A9},227,💩,2014,Smileys & Emotion,face-costume,pile of poo,2019
\x{2049 FE0F},228,⁉️,2000,Symbols,other-symbol,exclamation question mark,2019
\x{1F450},229,👐,2014,People & Body,hands,open hands,2019
\x{1F4F8},230,📸,2014,Objects,light & video,camera with flash,2019
\x{1F47B},231,👻,2014,Smileys & Emotion,face-costume,ghost,2019
\x{1F910},232,🤐,2015,Smileys & Emotion,face-neutral-skeptical,zipper-mouth face,2019
\x{1F92E},233,🤮,2017,Smileys & Emotion,face-unwell,face vomiting,2019
\x{1F3BC},234,🎼,2014,Objects,music,musical score,2019
\x{270D FE0F},235,✍️,1995,People & Body,hand-prop,writing hand,2019
\x{1F975},236,🥵,2018,Smileys & Emotion,face-unwell,hot face,2019
\x{1F6A9},237,🚩,2010,Flags,flag,triangular flag,2019
\x{1F34E},238,🍎,2014,Food & Drink,food-fruit,red apple,2019
\x{1F34A},239,🍊,2014,Food & Drink,food-fruit,tangerine,2019
\x{1F47C},240,👼,2014,People & Body,person-fantasy,baby angel,2019
\x{1F48D},241,💍,2014,Objects,clothing,ring,2019
\x{1F4E3},242,📣,2014,Objects,sound,megaphone,2019
\x{1F942},243,🥂,2016,Food & Drink,drink,clinking glasses,2019
\x{2935 FE0F},244,⤵️,2002,Symbols,arrow,right arrow curving down,2019
\x{1F4F1},245,📱,2014,Objects,phone,mobile phone,2019
\x{2614},246,☔,2003,Travel & Places,sky & weather,umbrella with rain drops,2019
\x{1F319},247,🌙,2010,Travel & Places,sky & weather,crescent moon,2019
\x{1F37E},248,🍾,2014,Food & Drink,drink,bottle with popping cork,2019
\x{1F3A7},249,🎧,2014,Objects,music,headphone,2019
\x{1F341},250,🍁,2014,Animals & Nature,plant-other,maple leaf,2019
\x{2B55},251,⭕,2009,Symbols,other-symbol,hollow red circle,2019
\x{1F3C0},252,🏀,2014,Activities,sport,basketball,2019
\x{2620 FE0F},253,☠️,1995,Smileys & Emotion,face-negative,skull and crossbones,2019
\x{26AB},254,⚫,2005,Symbols,geometric,black circle,2019
\x{1F590 FE0F},255,🖐️,2014,People & Body,hand-fingers-open,hand with fingers splayed,2019
\x{1F627},256,😧,2014,Smileys & Emotion,face-concerned,anguished face,2019
\x{1F3AF},257,🎯,2014,Activities,game,direct hit,2019
\x{1F4F2},258,📲,2014,Objects,phone,mobile phone with arrow,2019
\x{2618 FE0F},259,☘️,2005,Animals & Nature,plant-other,shamrock,2019
\x{1F441 FE0F},260,👁️,2014,People & Body,body-parts,eye,2019
\x{1F377},261,🍷,2014,Food & Drink,drink,wine glass,2019
\x{1F444},262,👄,2014,People & Body,body-parts,mouth,2019
\x{1F41F},263,🐟,2014,Animals & Nature,animal-marine,fish,2019
\x{1F370},264,🍰,2014,Food & Drink,food-sweet,shortcake,2019
\x{1F4A4},265,💤,2014,Smileys & Emotion,emotion,zzz,2019
\x{1F54A FE0F},266,🕊️,2014,Animals & Nature,animal-bird,dove,2019
\x{1F4FA},267,📺,2014,Objects,light & video,television,2019
\x{1F4AD},268,💭,2014,Smileys & Emotion,emotion,thought balloon,2019
\x{1F431},269,🐱,2014,Animals & Nature,animal-mammal,cat face,2019
\x{1F41D},270,🐝,2014,Animals & Nature,animal-bug,honeybee,2019
\x{1F1F2 1F1FD},271,🇲🇽,2010,Flags,country-flag,flag: Mexico,2019
\x{1F9DA},272,🧚,2017,People & Body,person-fantasy,fairy,2019
\x{1F51D},273,🔝,2015,Symbols,arrow,TOP arrow,2019
\x{1F4E2},274,📢,2014,Objects,sound,loudspeaker,2019
\x{1F4F7},275,📷,2014,Objects,light & video,camera,2019
\x{1F415},276,🐕,2014,Animals & Nature,animal-mammal,dog,2019
\x{1F3B8},277,🎸,2014,Objects,musical-instrument,guitar,2019
\x{1F52B},278,🔫,2015,Objects,tool,pistol,2019
\x{1F91A},279,🤚,2016,People & Body,hand-fingers-open,raised back of hand,2019
\x{1F36D},280,🍭,2014,Food & Drink,food-sweet,lollipop,2019
\x{1F346},281,🍆,2014,Food & Drink,food-vegetable,eggplant,2019
\x{1F489},282,💉,2014,Objects,medical,syringe,2019
\x{1F30E},283,🌎,2010,Travel & Places,place-map,globe showing Americas,2019
\x{1F626},284,😦,2014,Smileys & Emotion,face-concerned,frowning face with open mouth,2019
\x{1F300},285,🌀,2010,Travel & Places,sky & weather,cyclone,2019
\x{1F47F},286,👿,2014,Smileys & Emotion,face-negative,angry face with horns,2019
\x{2611 FE0F},287,☑️,1995,Symbols,other-symbol,check box with check,2019
\x{1F3A5},288,🎥,2014,Objects,light & video,movie camera,2019
\x{1F327 FE0F},289,🌧️,2014,Travel & Places,sky & weather,cloud with rain,2019
\x{1F47D},290,👽,2014,Smileys & Emotion,face-costume,alien,2019
\x{1F34B},291,🍋,2014,Food & Drink,food-fruit,lemon,2019
\x{1F912},292,🤒,2015,Smileys & Emotion,face-unwell,face with thermometer,2019
\x{1F921},293,🤡,2016,Smileys & Emotion,face-costume,clown face,2019
\x{1F36B},294,🍫,2014,Food & Drink,food-sweet,chocolate bar,2019
\x{1F4DA},295,📚,2014,Objects,book-paper,books,2019
\x{1F3C1},296,🏁,2014,Flags,flag,chequered flag,2019
\x{1F915},297,🤕,2015,Smileys & Emotion,face-unwell,face with head-bandage,2019
\x{1F984},298,🦄,2015,Animals & Nature,animal-mammal,unicorn,2019
\x{1F345},299,🍅,2014,Food & Drink,food-fruit,tomato,2019
\x{1F697},300,🚗,2010,Travel & Places,transport-ground,automobile,2019
\x{1F6AB},301,🚫,2010,Symbols,warning,prohibited,2019
\x{1F4B5},302,💵,2014,Objects,money,dollar banknote,2019
\x{26BE},303,⚾,2009,Activities,sport,baseball,2019
\x{1F52A},304,🔪,2015,Food & Drink,dishware,kitchen knife,2019
\x{1F514},305,🔔,2015,Objects,sound,bell,2019
\x{2668 FE0F},306,♨️,1995,Travel & Places,place-other,hot springs,2019
\x{1F333},307,🌳,2014,Animals & Nature,plant-other,deciduous tree,2019
\x{1F50A},308,🔊,2015,Objects,sound,speaker high volume,2019
\x{1F36C},309,🍬,2014,Food & Drink,food-sweet,candy,2019
\x{1F48F},310,💏,2014,People & Body,family,kiss,2019
\x{1F37C},311,🍼,2014,Food & Drink,drink,baby bottle,2019
\x{1F35C},312,🍜,2014,Food & Drink,food-asian,steaming bowl,2019
\x{1F43C},313,🐼,2014,Animals & Nature,animal-mammal,panda,2019
\x{1F649},314,🙉,2014,Smileys & Emotion,monkey-face,hear-no-evil monkey,2019
\x{1F408},315,🐈,2014,Animals & Nature,animal-mammal,cat,2019
\x{1F43B},316,🐻,2014,Animals & Nature,animal-mammal,bear,2019
\x{1F938},317,🤸,2016,People & Body,person-sport,person cartwheeling,2019
\x{1F31D},318,🌝,2010,Travel & Places,sky & weather,full moon face,2019
\x{1F478},319,👸,2014,People & Body,person-role,princess,2019
\x{1F355},320,🍕,2014,Food & Drink,food-prepared,pizza,2019
\x{1F34C},321,🍌,2014,Food & Drink,food-fruit,banana,2019
\x{1F366},322,🍦,2014,Food & Drink,food-sweet,soft ice cream,2019
\x{26AA},323,⚪,2005,Symbols,geometric,white circle,2019
\x{1F469},324,👩,2014,People & Body,person,woman,2019
\x{1F63F},325,😿,2014,Smileys & Emotion,cat-face,crying cat,2019
\x{1F342},326,🍂,2014,Animals & Nature,plant-other,fallen leaf,2019
\x{1F4DE},327,📞,2014,Objects,phone,telephone receiver,2019
\x{23F0},328,⏰,2010,Travel & Places,time,alarm clock,2019
\x{1F51E},329,🔞,2015,Symbols,warning,no one under eighteen,2019
\x{1F30D},330,🌍,2010,Travel & Places,place-map,globe showing Europe-Africa,2019
\x{1F320},331,🌠,2010,Travel & Places,sky & weather,shooting star,2019
\x{1F640},332,🙀,2014,Smileys & Emotion,cat-face,weary cat,2019
\x{25AA FE0F},333,▪️,1995,Symbols,geometric,black small square,2019
\x{2601 FE0F},334,☁️,1995,Travel & Places,sky & weather,cloud,2019
\x{1F479},335,👹,2014,Smileys & Emotion,face-costume,ogre,2019
\x{1F349},336,🍉,2014,Food & Drink,food-fruit,watermelon,2019
\x{1F425},337,🐥,2014,Animals & Nature,animal-bird,front-facing baby chick,2019
\x{1F336 FE0F},338,🌶️,2014,Food & Drink,food-vegetable,hot pepper,2019
\x{31 FE0F 20E3},339,1️⃣,2010,Symbols,keycap,keycap: 1,2019
\x{1F335},340,🌵,2014,Animals & Nature,plant-other,cactus,2019
\x{1F1EE 1F1F3},341,🇮🇳,2010,Flags,country-flag,flag: India,2019
\x{1F467},342,👧,2014,People & Body,person,girl,2019
\x{1F344},343,🍄,2014,Food & Drink,food-vegetable,mushroom,2019
\x{1F46E},344,👮,2014,People & Body,person-role,police officer,2019
\x{1F4AE},345,💮,2014,Animals & Nature,plant-flower,white flower,2019
\x{1F430},346,🐰,2014,Animals & Nature,animal-mammal,rabbit face,2019
\x{1F537},347,🔷,2015,Symbols,geometric,large blue diamond,2019
\x{1F33E},348,🌾,2014,Animals & Nature,plant-other,sheaf of rice,2019
\x{1F539},349,🔹,2015,Symbols,geometric,small blue diamond,2019
\x{1F1F9 1F1F7},350,🇹🇷,2010,Flags,country-flag,flag: Turkey,2019
\x{1F947},351,🥇,2016,Activities,award-medal,1st place medal,2019
\x{1F1EE 1F1F9},352,🇮🇹,2010,Flags,country-flag,flag: Italy,2019
\x{1F36A},353,🍪,2014,Food & Drink,food-sweet,cookie,2019
\x{1F1E6 1F1F7},354,🇦🇷,2010,Flags,country-flag,flag: Argentina,2019
\x{1F6D1},355,🛑,2016,Travel & Places,transport-ground,stop sign,2019
\x{1F40D},356,🐍,2014,Animals & Nature,animal-reptile,snake,2019
\x{1F393},357,🎓,2014,Objects,clothing,graduation cap,2019
\x{1F1E8 1F1E6},358,🇨🇦,2010,Flags,country-flag,flag: Canada,2019
\x{1F34F},359,🍏,2014,Food & Drink,food-fruit,green apple,2019
\x{1F981},360,🦁,2015,Animals & Nature,animal-mammal,lion,2019
\x{1F63D},361,😽,2014,Smileys & Emotion,cat-face,kissing cat,2019
\x{1F6AC},362,🚬,2010,Objects,other-object,cigarette,2019
\x{1F356},363,🍖,2014,Food & Drink,food-prepared,meat on bone,2019
\x{1F374},364,🍴,2014,Food & Drink,dishware,fork and knife,2019
\x{1F198},365,🆘,2010,Symbols,alphanum,SOS button,2019
\x{1F91C},366,🤜,2016,People & Body,hand-fingers-closed,right-facing fist,2019
