hex,rank,emoji,year,category,subcategory,name,source
\x{1F44E},199,👎,2010,People & Body,hand-fingers-closed,thumbs down,2021
\x{1F680},200,🚀,2010,Travel & Places,transport-air,rocket,2021
\x{1F3AF},201,🎯,2010,Activities,game,bullseye,2021
\x{261D FE0F},202,☝️,2010,People & Body,hand-single-finger,index pointing up,2021
\x{1F37A},203,🍺,2010,Food & Drink,drink,beer mug,2021
\x{1F4CC},204,📌,2010,Objects,office,pushpin,2021
\x{1F4F7},205,📷,2010,Objects,light & video,camera,2021
\x{1F647},206,🙇,2010,People & Body,person-gesture,person bowing,2021
\x{1F4A8},207,💨,2010,Smileys & Emotion,emotion,dashing away,2021
\x{1F355},208,🍕,2010,Food & Drink,food-prepared,pizza,2021
\x{1F3E0},209,🏠,2010,Travel & Places,place-building,house,2021
\x{1F4F8},210,📸,2015,Objects,light & video,camera with flash,2021
\x{1F407},211,🐇,2015,Animals & Nature,animal-mammal,rabbit,2021
\x{1F6A9},212,🚩,2010,Flags,flag,triangular flag,2021
\x{1F630},213,😰,2010,Smileys & Emotion,face-concerned,anxious face with sweat,2021
\x{1F476},214,👶,2010,People & Body,person,baby,2021
\x{1F30A},215,🌊,2010,Travel & Places,sky & weather,water wave,2021
\x{1F415},216,🐕,2014,Animals & Nature,animal-mammal,dog,2021
\x{1F4AB},217,💫,2010,Smileys & Emotion,emotion,dizzy,2021
\x{1F635},218,😵,2010,Smileys & Emotion,face-unwell,knocked-out face,2021
\x{1F3A4},219,🎤,2010,Objects,music,microphone,2021
\x{1F3E1},220,🏡,2010,Travel & Places,place-building,house with garden,2021
\x{1F940},221,🥀,2016,Animals & Nature,plant-flower,wilted flower,2021
\x{1F927},222,🤧,2016,Smileys & Emotion,face-unwell,sneezing face,2021
\x{1F37E},223,🍾,2015,Food & Drink,drink,bottle with popping cork,2021
\x{1F370},224,🍰,2010,Food & Drink,food-sweet,shortcake,2021
\x{1F341},225,🍁,2010,Animals & Nature,plant-other,maple leaf,2021
\x{1F932},226,🤲,2017,People & Body,hands,palms up together,2021
\x{2B07 FE0F},227,⬇️,2010,Symbols,arrow,down arrow,2021
\x{1F446},228,👆,2010,People & Body,hand-single-finger,backhand index pointing up,2021
\x{1F62F},229,😯,2015,Smileys & Emotion,face-concerned,hushed face,2021
\x{270A},230,✊,2010,People & Body,hand-fingers-closed,raised fist,2021
\x{1F48C},231,💌,2010,Smileys & Emotion,emotion,love letter,2021
\x{2744 FE0F},232,❄️,2010,Travel & Places,sky & weather,snowflake,2021
\x{1F4B8},233,💸,2010,Objects,money,money with wings,2021
\x{1F9C1},234,🧁,2018,Food & Drink,food-sweet,cupcake,2021
\x{26BD},235,⚽,2010,Activities,sport,soccer ball,2021
\x{1F1FA 1F1F8},236,🇺🇸,2010,Flags,country-flag,flag: United States,2021
\x{2753},237,❓,2010,Symbols,punctuation,red question mark,2021
\x{1F57A},238,🕺,2016,People & Body,person-activity,man dancing,2021
\x{2049 FE0F},239,⁉️,2010,Symbols,punctuation,exclamation question mark,2021
\x{1F63A},240,😺,2010,Smileys & Emotion,cat-face,grinning cat,2021
\x{1F4A7},241,💧,2010,Travel & Places,sky & weather,droplet,2021
\x{1F4A3},242,💣,2010,Smileys & Emotion,emotion,bomb,2021
\x{1F910},243,🤐,2015,Smileys & Emotion,face-neutral-skeptical,zipper-mouth face,2021
\x{1F34E},244,🍎,2010,Food & Drink,food-fruit,red apple,2021
\x{1F437},245,🐷,2010,Animals & Nature,animal-mammal,pig face,2021
\x{1F425},246,🐥,2010,Animals & Nature,animal-bird,front-facing baby chick,2021
\x{1F481},247,💁,2010,People & Body,person-gesture,person tipping hand,2021
\x{1F4CD},248,📍,2010,Objects,office,round pushpin,2021
\x{1F380},249,🎀,2010,Activities,event,ribbon,2021
\x{1F645},250,🙅,2010,People & Body,person-gesture,person gesturing NO,2021
\x{1F947},251,🥇,2016,Activities,award-medal,1st place medal,2021
\x{1F31D},252,🌝,2015,Travel & Places,sky & weather,full moon face,2021
\x{1F52B},253,🔫,2010,Objects,tool,water pistol,2021
\x{260E FE0F},254,☎️,2010,Objects,phone,telephone,2021
\x{1F431},255,🐱,2010,Animals & Nature,animal-mammal,cat face,2021
\x{1F423},256,🐣,2010,Animals & Nature,animal-bird,hatching chick,2021
\x{271D FE0F},257,✝️,2014,Symbols,religion,latin cross,2021
\x{1F3A7},258,🎧,2010,Objects,music,headphone,2021
\x{1F49F},259,💟,2010,Smileys & Emotion,emotion,heart decoration,2021
\x{1F479},260,👹,2010,Smileys & Emotion,face-costume,ogre,2021
\x{1F48D},261,💍,2010,Objects,clothing,ring,2021
\x{1F37C},262,🍼,2015,Food & Drink,drink,baby bottle,2021
\x{1F590 FE0F},263,🖐️,2014,People & Body,hand-fingers-open,hand with fingers splayed,2021
\x{1F4A1},264,💡,2010,Objects,light & video,light bulb,2021
\x{1F63D},265,😽,2010,Smileys & Emotion,cat-face,kissing cat,2021
\x{1F34A},266,🍊,2010,Food & Drink,food-fruit,tangerine,2021
\x{1F628},267,😨,2010,Smileys & Emotion,face-concerned,fearful face,2021
\x{1F36B},268,🍫,2010,Food & Drink,food-sweet,chocolate bar,2021
\x{1F9E2},269,🧢,2017,Objects,clothing,billed cap,2021
\x{1F915},270,🤕,2015,Smileys & Emotion,face-unwell,face with head-bandage,2021
\x{2618 FE0F},271,☘️,2015,Animals & Nature,plant-other,shamrock,2021
\x{1F6AB},272,🚫,2010,Symbols,warning,prohibited,2021
\x{1F3BC},273,🎼,2010,Objects,music,musical score,2021
\x{1F43B},274,🐻,2010,Animals & Nature,animal-mammal,bear,2021
\x{1F4F2},275,📲,2010,Objects,phone,mobile phone with arrow,2021
\x{1F47B},276,👻,2010,Smileys & Emotion,face-costume,ghost,2021
\x{1F5E3 FE0F},277,🗣️,2014,People & Body,person-symbol,speaking head,2021
\x{1F47F},278,👿,2010,Smileys & Emotion,face-negative,angry face with horns,2021
\x{1F9DA},279,🧚,2017,People & Body,person-fantasy,fairy,2021
\x{1F32E},280,🌮,2015,Food & Drink,food-prepared,taco,2021
\x{1F36D},281,🍭,2010,Food & Drink,food-sweet,lollipop,2021
\x{1F41F},282,🐟,2010,Animals & Nature,animal-marine,fish,2021
\x{1F438},283,🐸,2010,Animals & Nature,animal-amphibian,frog,2021
\x{1F41D},284,🐝,2010,Animals & Nature,animal-bug,honeybee,2021
\x{1F408},285,🐈,2014,Animals & Nature,animal-mammal,cat,2021
\x{1F535},286,🔵,2010,Symbols,geometric,blue circle,2021
\x{1F327 FE0F},287,🌧️,2014,Travel & Places,sky & weather,cloud with rain,2021
