route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Voodoo Chile,Hanging Garden > Moore's Wall (Routes) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/201940428/voodoo-chile,3,Trad,5.10+ PG13,1,65,36.39624,-80.28668
Angels and Alcohol,The Cave > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/202067269/angels-and-alcohol,2,Trad,5.10+,1,60,35.449,-82.2143
Golden goose,Herrin Knob > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/202284829/golden-goose,2,Sport,5.10+,1,90,35.33813,-82.60733
Decisions,Zen Canyon > Gold Coast Cliffs > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/124699382/decisions,2,Trad,5.10c/d,1,NA,35.87389,-81.90412
Stegg Co.,Big Green > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/124604796/stegg-co,3,Sport,5.10c/d,1,115,35.1562,-83.0281
P-Funk,The Dump aka Warpin and Dorphin (Routes) > The Dump > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/123699627/p-funk,2,Trad,5.10d,1,NA,36.09709,-81.7719
Toxic Wasteland,Sun Wall > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/125722333/toxic-wasteland,2.8,Trad,5.10d R,6,600,35.30308,-82.79529
Hindu Kush Direct,Main Tier > Ship Rock > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/126091968/hindu-kush-direct,3,Trad,5.10d R,1,60,36.099,-81.7815
Rain Dance,Stone Mountain North Face > Stone Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/126625361/rain-dance,2,Trad,5.10d PG13,2,100,36.3953,-81.0453
Jiffy Pop Queen,Big Green > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/126472538/jiffy-pop-queen,3,Trad,5.10d,2,300,35.1562,-83.0281
Trail of Smears,Woody Wall > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200698328/trail-of-smears,3,Trad,5.10d,1,175,35.16807,-83.0312
Safe Sex,Woody Wall > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200698553/safe-sex,3,Trad,5.10d,1,100,35.16807,-83.0312
Anomie Theory,Last Wall > Moore's Wall (Routes) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/201456311/anomie-theory,4,Trad,5.10d,1,80,36.39894,-80.27683
