route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Classic Slab Direct,Classic Overhang Boulder > Classics Patio > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/201887380/classic-slab-direct,3,Boulder,V2,1,20,35.17503,-81.36209
Pinocchio,Whale's Head Boulder > Classics Patio > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/201887463/pinocchio,2,Boulder,V2,1,6,35.17499,-81.36205
Chef's Special,Far Away Slab > Pride Lands > Upper Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/201918736/chefs-special,3.5,Boulder,V2,1,20,35.17708,-81.35835
Early Bird Special,Old Folks Home > Gus’s Old School Jams > Upper Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/201919007/early-bird-special,3,Boulder,V2 X,1,40,35.17592,-81.36014
Family Hug,Family Boulders > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/202076803/family-hug,2,Boulder,V2,1,6,35.44986,-82.21387
Seam Traveler,TMI Boulder > TMI > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/202278945/seam-traveler,3,Boulder,V2,1,10,35.17529,-81.36139
Daddy’s arete,Eighth Dome > Wash Rock > Latta Nature Preserve > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/124091607/daddys-arete,3,Boulder,V2+,1,8,35.35547,-80.92191
Right Trash Can,Hound Ears > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/125320484/right-trash-can,3,Boulder,V2+,1,NA,35.6037,-79.2773
Barb's Face,The Pit Area > Central Area > Sentinel Buttress Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/126384508/barbs-face,2.2,Boulder,V2+,1,NA,35.44931,-82.2116
Seller's nightmare,XXX Boulder > The Valley Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/125825291/sellers-nightmare,4,Boulder,V2+,1,1,36.40087,-80.28441
DogScrimps,Dogsback Mountain boulders > Gold Coast Cliffs > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/200608568/dogscrimps,2,Boulder,V2+,1,NA,35.86483,-81.9141
Unknown,Upper Upper Thunder Hill Boulders > Thunder Hill Boulders > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/200697682/unknown,3,Boulder,V2+,1,12,36.14934,-81.65295
Unknown,Upper Upper Thunder Hill Boulders > Thunder Hill Boulders > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/200697784/unknown,3,Boulder,V2+,1,12,36.14934,-81.65295
Hand of God,Big Rock Nature Preserve > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/201760889/hand-of-god,2,Boulder,V2+,1,7,35.06157,-80.82779
Floof,Sugar Creek Gap > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/125098054/floof,3,Boulder,V2-3,1,10,35.29306,-83.00681
Cary Crab Walk,North Cary Park Boulders > Raleigh area climbing > 4. Eastern Region > North Carolina,https://www.mountainproject.com/route/125514568/cary-crab-walk,2,Boulder,V2-3,1,NA,35.82189,-78.78747
Ferns and Firearms,Bench Boulder > Central Area > Sentinel Buttress Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/125316437/ferns-and-firearms,2,Boulder,V2-3,1,15,36.39747,-80.28772
Hoppy,North Cary Park Boulders > Raleigh area climbing > 4. Eastern Region > North Carolina,https://www.mountainproject.com/route/200628225/hoppy,4,Boulder,V2-3,1,8,35.82189,-78.78747
Rapture,TMI Boulder > TMI > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/125666584/rapture,2.7,Boulder,V2-3 R,1,30,35.17529,-81.36139
Sting-Ray,Ray Boulder > Gus’s Old School Jams > Upper Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/127338316/sting-ray,2.5,Boulder,V2-3,1,8,35.17608,-81.35984
Classic Arete,West side > Northside Boulders > Looking Glass Boulders > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/202247979/classic-arete,4,Boulder,V2-3,1,15,35.30392,-82.79627
Experience Arete,The Ramp (Area) > Northside Boulders > Looking Glass Boulders > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200795269/experience-arete,3.5,Boulder,V3-,1,15,35.30553,-82.79018
Six seven,Trailside Boulders > 00. Pilot Mountain Boulders > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/201422812/six-seven,3,Boulder,V3-,1,10,36.34043,-80.48428
Shark Attack,The Shark Fin > Buffalo Creek Park > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/123683806/shark-attack,2.6,Boulder,V3,1,11,35.48153,-82.18871
The Road Not Taken,Gateway Boulders > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/123796563/the-road-not-taken,2,Boulder,V3,1,NA,35.44965,-82.21805
Heist,Cloak Boulder > East Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/123930352/heist,3,Boulder,V3,1,NA,35.44937,-82.21249
On the Rocks,The Ice Block > East Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/123930433/on-the-rocks,2,Boulder,V3,1,NA,35.44939,-82.2125
Gas pack,Gas Boulder > Wash Rock > Latta Nature Preserve > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/124092204/gas-pack,3,Boulder,V3,1,10,35.35557,-80.92167
Cornbread,Sweet Tea Boulder > The Terraces > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/124273844/cornbread,3,Boulder,V3,1,10,35.45219,-82.22047
Hidden corner,NCSU Traverse Wall > NC States Campus > Raleigh area climbing > 4. Eastern Region > North Carolina,https://www.mountainproject.com/route/125390591/hidden-corner,3,Boulder,V3,1,18,35.78376,-78.67237
The Bowl,Washing Machine Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/125758222/the-bowl,3,Boulder,V3,1,NA,35.34877,-82.16269
Bidet Water,Aretes Area > Hickory Nut Boulders > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/126438671/bidet-water,4,Boulder,V3,1,4,35.46017,-82.30684
Unnamed boulder problem,Big Rock Nature Preserve > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/127367962/unnamed-boulder-problem,2.5,Boulder,V3,1,10,35.06157,-80.82779
