original_category,group,is_violent,safety_risk
ALL TRAFFIC (EXCEPT DWI),Traffic,FALSE,FALSE
TRAFFIC,Traffic,FALSE,FALSE
TOWED/ABANDONED VEHICLE,Traffic,FALSE,FALSE
OFFENSE AGAINST FAMILY - OTHER,Offenses Against Family,FALSE,FALSE
SEX OFFENSE - STATUTORY RAPE,Sex Offenses,TRUE,TRUE
OFFENSES AGAINST FAMILY - DESERTION/ABANDONMENT,Offenses Against Family,FALSE,FALSE
OFFENSES AGAINST FAMILY - NEGLECT,Offenses Against Family,FALSE,FALSE
ALL OTHER CRIMINAL OFFENSES,Other / Unclassified,FALSE,FALSE
ALL OTHER OFFENSES,Other / Unclassified,FALSE,FALSE
ALL OTHER OFFENSES-CITY ORDINANCE VIOLATIONS,Other / Unclassified,FALSE,FALSE
ALL OTHER OFFENSES-COURT VIOLATIONS,Other / Unclassified,FALSE,FALSE
ALL OTHER OFFENSES-ESCAPE FROM CUSTODY OR RESIST ARREST,Other / Unclassified,FALSE,FALSE
ALL OTHER OFFENSES-PAROLE/PROBATION VIOLATIONS,Other / Unclassified,FALSE,FALSE
ALL OTHER OFFENSES - HARASSING PHONE CALLS,Other / Unclassified,FALSE,FALSE
MISCELLANEOUS,Other / Unclassified,FALSE,FALSE
CALLS FOR SERVICE (NO CRIME),Administrative / Non-Crime,FALSE,FALSE
DV INFO REPORT (NO CRIME),Administrative / Non-Crime,FALSE,FALSE
CRIME SCENE INVESTIGATION,Administrative / Non-Crime,FALSE,FALSE
ASSIST OTHER AGENCY,Administrative / Non-Crime,FALSE,FALSE
FOUND PROPERTY,Administrative / Non-Crime,FALSE,FALSE
LOST PROPERTY,Administrative / Non-Crime,FALSE,FALSE
MISSING PERSON,Administrative / Non-Crime,FALSE,FALSE
RUNAWAY,Administrative / Non-Crime,FALSE,FALSE
SEX OFFENSE - INCEST,Sex Offenses,TRUE,TRUE
SEX OFFENSE - INDECENT EXPOSURE,Sex Offenses,FALSE,TRUE
SEX OFFENSE - PEEPING TOM,Sex Offenses,FALSE,TRUE
WEAPON VIOLATIONS,Weapons,FALSE,TRUE
WEAPONS VIOLATION,Weapons,FALSE,TRUE
